origin: C(C)(C)CNCC(C)(C)C, cl: C(CC)[n+]1c(C)n(C)c(c1C)C, target: C1CN(C)CCN(C)CCN1C
origin: C(C)[N+]1(CC)C(C)CCCC1C, cl: C(C)[N+](CC)(CC)CC, target: C(C)[P+](CC)(CC)CC
origin: CC[N+]1(C(CCCC1C)C)CC, cl: c1cc(F)cc(CN2CCCC2)c1, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C1CCC([N+](C1C)(C)C)C, cl: c1c(C)[n+](CC)c(n1C)C, target: CCC1CCCC[N+]1(C)C
origin: C1(C)CCCC([N+]1(C)C)C, cl: c1c(CN2CCCC2CO)cccc1, target: CC1[N+](C)(CC)C(C)CCC1
origin: C1CCC(C)[N+](C1C)(CC)C, cl: C1CCCN1Cc1ccc(cc1)F, target: C1CC(C)[N+](CC)(CC)C(C)C1
origin: CC1[N+](C(CCC1)C)(CC)CC, cl: N(CC)(CC)CC, target: C1CC[N+]2(C(C)CCCC2C)C1
origin: C1(CCCC(C)[N+]12CCCC2)C, cl: C1CC(N(C2CCCCC2)C)CCC1, target: CC1(C)C=CC(C)(C)C[N+](C)(C)C1
origin: C(C)(NC(C)C)C, cl: C1CCCCC1N(C)C1CCCCC1, target: CC[N+](CC)(CC)CC
origin: C(CN(C)C)N(C)C, cl: c1cccc(c1)C(O)C(N(C)Cc1ccccc1)C, target: CC(C)N(CC)C(C)C
origin: C1CC[N+](C)(CCCCC[N+]2(CCCC2)C)C1, cl: c1ccc(cc1)C(O)C(C)NC, target: C(C)(C)N(CC)C(C)C
origin: C1CCCC(C1)N(C)C1CCCCC1, cl: C1N(CCN(C)CCN(C)CCN(CCN(C)CCN(C1)C)C)C, target: CN1CCN(C)CCN(C)CC1
origin: C1(C)(CC(NCCNC(C)(C)CC(NCCN1)C)C)C, cl: [N+](CCO)(CCO)(CCO)C, target: N1(C)CCN(C)CCN(C)CC1
origin: C1CC[N+](C)(CCCC[N+]2(C)CCCCC2)CC1, cl: C(C(c1ccccc1)O)(NC)C, target: C1CC[C@@H](C)[N+](C)(C)[C@H]1C
origin: C12CC3CC(CC(C3)C1)(C2)[N+](C)(C)C, cl: C12CC3(CC(CC(C1)C3)C2)[N+](C)(C)C, target: [C@@H]1(C)CCC[C@H](C)[N+]1(C)C
origin: C1(C[N+](C)(CC(C1)C)C)C, cl: c1(Cn2cc[n+](C)c2C)ccccc1, target: [C@@H]1(C)[N+](C)(C)[C@H](C)CCC1
origin: C1C(C)CC(C[N+]1(C)C)C, cl: C(N(CC)CC)C, target: C[C@H]1C[N+](C)(C)C[C@@H](C)C1
origin: C1C2CC3CC(C2)(CC1C3)[N+](C)(C)C, cl: c1cccc(c1)C(O)C(C)NC, target: C1[N+](C)(C)C[C@H](C)C[C@@H]1C
origin: C[N+]1(C)CC2CCC(CC1)C2, cl: C(C(NC)C)(c1ccccc1)O, target: C[N+]1(C)C[C@@H](C)C[C@@H](C)C1
origin: C12CC3CC(CC(C2)C3)(C1)[N+](C)(C)C, cl: C(C[N+](CCC)(CCC)CCC)C, target: C([P+](CC)(CC)CC)C
origin: C1CCCC(C)[N+]1(CC)C, cl: c1c(CN2C(CO)CCC2)cc(F)cc1, target: CC1CC(C)C[N+](C)(C)C1
origin: CC[N+]1(C(C)CCCC1C)CC, cl: c1cc(CN2CCCC2)cc(c1)F, target: C[N+]1(C)CC(C)CC(C)C1
origin: C(C)(N(CC)C(C)C)C, cl: c1ccc(C(O)C(NC)C)cc1, target: C([N+](CC)(CC)CC)C
origin: CC1(C)C[N+](CC(C)(C)C1)(C)C, cl: C(N(CC)CC)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: CC1C[N+](C)(CC(C)C1)C, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C1(C)CC(C)C[N+](C)(C1)C, cl: c1c(CN2CCCC2CO)cccc1F, target: C([P+](CC)(CC)CC)C
origin: C1C(C)[N+](C)(C(CC1)C)CC, cl: C(C)(N(CC)C(C)C)C, target: CC[P+](CC)(CC)CC
origin: C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C, cl: c1ccc(cc1)CN1CCCC1CO, target: CC[P+](CC)(CC)CC
origin: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, cl: C12CC3CC(C2)CC(C1)(C3)[N+](C)(C)C, target: C([P+](CC)(CC)CC)C
origin: C1CN(CCCN(C)CCN(C)CCCN1C)C, cl: C1CCCCC1N(C1CCCCC1)C, target: CC(N(CC)C(C)C)C
origin: C12CC3CC(CC(C3)C2)[N+](C)(C)C1, cl: C(CC[n+]1ccn(c1)C)C, target: C1[C@H](C)C[NH2+]C[C@@H]1C
origin: C12CC3CC(C2)CC(C1)(C3)[N+](C)(C)C, cl: C12C3CC(CN1CCCC2)C1[N+](CCCC1)(C3)C, target: C[C@@H]1CCC[C@H](C)[NH2+]1
origin: C(CN(CCO)CC)O, cl: C1(CO)N(CCC1)Cc1ccccc1, target: N(C(C)C)(C(C)C)CC
origin: CC(N(C(C)C)CC)C, cl: C1CN(Cc2ccccc2F)CC1, target: CC(N(CC)C(C)C)C
origin: C(CCC)CCCCCCCCCCCCC[N+](C)(C)C, cl: C1CC(CCC1)N(C1CCCCC1)C, target: N(CC)(C(C)C)C(C)C
origin: C1CCCC2C(CCCC2)[N+](C)(C)C1, cl: C(C)C[N+](CCC)(CCC)CCC, target: C1(C)C[N+](C)(C)CC(C)C1
origin: N(CC)(CC)CC, cl: C1CCCCC1N(C)C1CCCCC1, target: CC[N+](CC)(CC)CC
origin: C1CCC(C)[N+](C)(C)C1, cl: C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C, target: C([N+](CC)(CC)CC)C
origin: C1CCC(CC1)N, cl: C(C)(N(C(C)C)CC)C, target: CC(N(C(C)C)CC)C
origin: C1C(C)NCCNC(C)(CC(C)NCCNC1(C)C)C, cl: C1CC(CO)N(Cc2ccccc2)C1, target: CCN(C(C)C)C(C)C
origin: C1CC[N+](C)(CC)C(C1)C, cl: c1([n+](ccn1C)CC)C, target: CC1(C)[N+](C)(CC)C(C)(C)CCC1
origin: C(C)(C)N(C(C)C)CC, cl: C1CCCN2C1C1C[N+]3(C(C(C2)C1)CCCC3)C, target: CC(C)N(CC)C(C)C
origin: C1(C[N+](C)(C)CC(C)C1)C, cl: c1(ccccc1)C(O)C(C)NC, target: C1[C@H](C)[N+](CC)(CC)[C@H](C)CC1
origin: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, cl: C1CCN(C1)Cc1c(F)cccc1, target: C1C(C)CC(C)C[N+]1(C)C
origin: [N+]1(C)(CCCC1)CCCCC[N+]1(CCCC1)C, cl: c1(ccccc1)CN1C(CO)CCC1, target: CC(C)N(CC)C(C)C
origin: N(CCO)(CCO)CCO, cl: c1c(cc(CN2CCCC2)cc1)F, target: C(C)(N(CC)C(C)C)C
origin: C1CC[N+](C)(CCCCC[N+]2(C)CCCC2)C1, cl: c1[n+](CCCC)c(C)n(C)c1, target: C1C(C)CC(C)C[N+]1(C)C
origin: C(NCC)C, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C(C)(C)N(C(C)C)CC
origin: C(C)CCCNCCCCC, cl: C1CN(Cc2cccc(F)c2)CC1, target: C[N+]1(C)CC(C)CC(C)C1
origin: c1n(C)c([n+](c1)C)C, cl: C12C[N+]3(C)CCCCC3C(C2)CN2CCCCC21, target: C([N+](CC)(CC)CC)C
origin: C1(C)NCCNC(C)(C)CC(C)NCCNC(C)(C)C1, cl: c1cc(ccc1CN1CCCC1CO)F, target: C(C)N(C(C)C)C(C)C
origin: C1(C)(C)CC(C)NCCNC(C)(CC(C)NCCN1)C, cl: c1(CN2CCCC2)cc(ccc1)F, target: N(CC)(C(C)C)C(C)C
origin: C1CCCC(C)[N+]1(CC)C, cl: C1CC(CCC1)N(C)C1CCCCC1, target: C1[C@H](C)C[NH2+]C[C@H]1C
origin: C1CCC(C)[N+](C1C)(C)CC, cl: C(C)CC[n+]1ccn(C)c1, target: C1CC[C@@H](C)[NH2+][C@H]1C
origin: [N+]1(C)(C)CC(CC(C1)C)C, cl: [N+]1(CC)(CC)C(CCCC1)CC, target: CC1[N+](C)(C)C(C)CCC1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1CCCC(C1)N(C1CCCCC1)C, target: C1C(C)[N+](CC)(CC)C(C)CC1
origin: CC1CC(C[N+](C1)(C)CC)C, cl: C(c1ccccc1)(C(C)NC)O, target: [N+]1(C)(CC)C(C)CCCC1C
origin: CC(C)N(C(C)C)CC, cl: C12CC3CC(C(C([N+](C)(C)C)C1)C3)C2, target: CC[n+]1ccn(C)c1
origin: C1CC(C[N+](C1)(C)C)(C)C, cl: CC(C(c1ccccc1)O)NC, target: C1C(C)CC(C)C[N+]1(C)C
origin: C(C)(NC(C)C)C, cl: C(CC)CNCCCC, target: NCCNCCNCCN
origin: CC1CC(C)(C)NCCNC(CC(NCCN1)(C)C)C, cl: CN(C1CCCCC1)C1CCCCC1, target: C(CNCCN)CNCCN
origin: Cn1c([n+](C)cc1)C, cl: c1cc(cc(c1)F)CN1CCCC1, target: N1CCN[C@@H](C)CC(C)(C)NCCN[C@@H](C)CC1(C)C
origin: C1CC(C)NCCNC(C)(C)CC(NCCN1)(C)C, cl: C(CC)N(CCC)CCC, target: C1C(C)(C)NCCN[C@@H](C)CC(C)(C)NCCN[C@H]1C
origin: C1(C)C[N+](CC(C1)C)(C)CC, cl: C1N(CCC1)Cc1ccccc1, target: C[C@H]1C[C@@H](C)C[N+](C)(C)C1
origin: C1CC(C)CC[N+](C)(C)C1, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C[N+]1(C)C[C@@H](C)C[C@H](C)C1
origin: C1C2CC3CC1CC(C2)C[N+]3(CC)C, cl: C(C)C(N(CCC)CCC)CC, target: C1(C)C[N+](C)(C)CC(C)C1
origin: CC1CCCC(C)[N+]1(C)C, cl: C1CC(N(C)C2CCCCC2)CCC1, target: C1CC(C)[N+](CC)(CC)C(C)C1
origin: C[N+]1(C)C(CCCC1C)C, cl: C1N(CCC1)Cc1ccccc1, target: C1C2CCCC(CC1)[N+]2(C)C
origin: C1C(C)[N+](CC)(CC)C(C)CC1, cl: C([n+]1c(n(C)cc1)C)C, target: C(C)[N+]1(CC)C(C)CCCC1C
origin: C1CC(C[N+](C)(C)C1)(C)C, cl: C(CC)N(CCC)CCC, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1C([N+](C(CC1)C)(C)C)C, cl: C([N+](C)(C)C)C, target: C(C)[P+](CC)(CC)CC
origin: C1C(C[N+](C)(C)CC1C)C, cl: C(C(O)c1ccccc1)(N(C)C)C, target: C[N+]1(C)C(C)CCCC1C
origin: C1CCC(C)[N+](CC)(CC)C1C, cl: C1CCN(Cc2ccccc2F)C1, target: CC[N+]1(C)C(C)(C)CCCC1(C)C
origin: C1C(C[N+](C)(CC1C)C)(C)C, cl: N1(CCCC1)Cc1c(F)cccc1, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: C1CC(C)[N+](C(C)C1)(C)C, cl: C1CCN(C1)Cc1ccccc1, target: C1(C)[N+](C)(C)C(C)CCC1
origin: C[N+]1(CCCC2CCCC21)C, cl: c1n(cc[n+]1CCCC)C, target: C12C(C)(C)C(C1)CCC[N+]2(C)C
origin: C1CCC[N+](C1)(CC)C, cl: c1(ccccc1)CN1C(CO)CCC1, target: CC1(C)CC2CC(C)(C[N+]2(C)C)C1
origin: C1C(CCCC1)[N+](C)(C)C, cl: C(C)(N(CC)C(C)C)C, target: C1CC2CC(C2(C)C)[N+](C)(C)C1
origin: CC1(CCCC(C)([N+]1(C)C)C)C, cl: c1c(C)n(c[n+]1CC)C, target: C[N+]1(C)C2CC(C(C)CC1)C2(C)C
origin: C1CCC(CC1)N, cl: OC(C(NC)C)c1ccccc1, target: CC(C)N(CC)C(C)C
origin: C1N(CCN(C)CCCN(C)CCN(C)CC1)C, cl: c1cccc(c1)C[n+]1ccn(C)c1C, target: CC(N(C(C)C)CC)C
origin: C1CCN(CCN(C)CCCN(CCN1C)C)C, cl: c1ccc(CN2CCCC2)cc1F, target: CC(C)N(CC)C(C)C
origin: CC1CC(C)(NCCNC(C)CC(C)(C)NCCN1)C, cl: C1CCCCC1N(C1CCCCC1)C, target: [n+]1(C)cn(CC)cc1
origin: C1NCCN(C1)C, cl: C(c1ccccc1)N1CCCC1, target: C(C)(C)N(C(C)C)CC
origin: C1C(C)[N+](CC)(C(C)CC1)C, cl: C(C)CN(CCC)CCC, target: CC[P+](CC)(CC)CC
origin: C1(C)CCCC(C)[N+]1(CC)CC, cl: C(N(CC)CC)C, target: C1C(C)CC(C)C[N+]1(C)C
origin: C1([N+](C(CCC1)C)(C)CC)C, cl: c1ccc(C(O)C(NC)C)cc1, target: C1[N+](C)(C)C(CC)CCC1
origin: C1C(C)CC(C[N+]21CCCC2)C, cl: C1(N(C)C2CCCCC2)CCCCC1, target: CC[N+]1(C)C(C)CCCC1C
origin: C1CC([N+](C(C1)C)(C)C)C, cl: C1CCC2C3C[N+]4(C)C(C(CN2C1)C3)CCCC4, target: C1(C)CCCC(C)[N+]1(CC)CC
origin: C12CC3CC(C1)CC([N+](C)(C)C)(C3)C2, cl: C(N(CC)CC)C, target: C1C[N+]2(CC1)C(C)CCCC2C
origin: C1C(C)(C)C[N+](CC1)(CC)CC, cl: c1cc(cc(c1)F)CN1C(CO)CCC1, target: C[N+]1(C)CC(C)(C)C=CC(C)(C)C1
origin: CC(N(C(C)C)CC)C, cl: c1(c(CN2CCCC2)cccc1)F, target: C(C)[N+](CC)(CC)CC
origin: C(CC[N+]1(CCCC1)C)C[N+]1(C)CCCC1, cl: c1ccc(C(O)C(C)NC)cc1, target: CCN(C(C)C)C(C)C
origin: C(CCCC)NCCCCC, cl: c1(C)n(C)cc[n+]1CCCC, target: N(C(C)C)(CC)C(C)C
origin: C(CC[N+]1(CCCC1)C)C[N+]1(CCCC1)C, cl: c1ccc(cc1)C(O)C(NC)C, target: N1(C)CCN(C)CCN(C)CC1
origin: CC1(C)CC(C)NCCNC(CC(NCCN1)(C)C)C, cl: CCCN(CCC)CCC, target: C1N(C)CCN(C)CCN(C)C1
origin: C1CCCC2CC[N+](CC21)(C)C, cl: C1C(CO)N(Cc2ccccc2)CC1, target: C1[C@H](C)[N+](C)(C)[C@H](C)CC1
origin: C1CCCCC2CC[N+](CC21)(C)C, cl: C(N(CC)CC)C, target: C[N+]1(C)[C@H](C)CCC[C@@H]1C
origin: C[N+]1(C2CCCC2CCC1)C, cl: C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C, target: C1C[C@H](C)[N+](C)(C)[C@H](C)C1
origin: C1CCC2CCC[N+](C)(C)C21, cl: C1CCC(CO)N1Cc1ccccc1, target: C[N+]1(C)C[C@H](C)C[C@H](C)C1
origin: C1CCC2C(C1)CCC[N+](C2)(C)C, cl: C1N(CCC1)Cc1ccccc1, target: C1[N+](C)(C)C[C@@H](C)C[C@H]1C
origin: C1[N+](C)(CCC2C(C1)CCC2)C, cl: CN(C)C(N(C)C)=N, target: C[C@H]1C[N+](C)(C)C[C@@H](C)C1
origin: CC1(C)CCC[N+](C1)(C)C, cl: c1(F)ccc(C[N+](C)(C)Cc2ccccc2)cc1, target: C([P+](CC)(CC)CC)C
origin: C1CC([N+](C(C1)C)(C)C)C, cl: c1c(cccc1)C[N+](C)(Cc1ccc(F)cc1)C, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C1CC(C[N+](CC)(C1)CC)(C)C, cl: C1N(Cc2ccccc2)CCC1, target: C1[N+](C)(C)CC(C)CC1C
origin: C(C)(C)N(C(C)C)CC, cl: C1(CO)N(CCC1)Cc1ccccc1, target: CC[N+](CC)(CC)CC
origin: [N+]1(C)(CC(CC(C)C1)C)C, cl: C1CC(N(C2CCCCC2)C)CCC1, target: C1(C)CC(C)C[N+](C)(C)C1
origin: CC[N+]1(CC)C(CCCC1C)C, cl: C1CCC(CC1)N(C)C1CCCCC1, target: CC1CC(C)C[N+](C)(C)C1
origin: CC1CC(C[N+](C1)(C)C)C, cl: C(C)(C)N(CC)C(C)C, target: C(C)[P+](CC)(CC)CC
origin: C1[N+](CC(CC1C)C)(CC)CC, cl: C1C2CC3CC1CC(C3)C2n1c[n+](C24CC5CC(CC(C5)C3)C2)cc1, target: [P+](CC)(CC)(CC)CC
origin: C12CC3CC([N+](C)(C)C)(C1)CC(C2)C3, cl: C(C(O)c1ccccc1)(NC)C, target: C([P+](CC)(CC)CC)C
origin: C1C2CC3CC(C2)CC1([NH3+])C3, cl: C(N(CC)CC)C, target: CC[P+](CC)(CC)CC
origin: C1N(CCNC1)C, cl: C1(N(Cc2ccccc2)CCC1)CO, target: CC(N(C(C)C)CC)C
origin: C1CCC(C[N+]1(C)CC)(C)C, cl: c1cccc(c1)C(C(NC)C)O, target: C1[C@@H](C)C[NH2+]C[C@H]1C
origin: C12CC3CC(CC(C2)C3)(C1)n1c[n+](C23CC4CC(C3)CC(C4)C2)cc1, cl: C1(CO)N(CCC1)Cc1ccccc1, target: [C@H]1(C)[NH2+][C@@H](C)CCC1
origin: C(CCCCCCCCCCCC[N+](C)(C)C)CCCCCCCCCCCCCCCCCC, cl: C1CCN(CCN(CCCN(CCN1C)C)C)C, target: CC(N(CC)C(C)C)C
origin: C(CC[N+](C)(C)C)CCCCCCCC, cl: c1ccc(C[N+](Cc2ccccc2)(C)C)cc1, target: C(C)N(C(C)C)C(C)C
origin: C(CC)NCCC, cl: C1N(Cc2ccccc2)CCC1, target: C(N(CC)C(C)C)(C)C
origin: C12CC3CC(C(C(C2)C3)[N+](C)(C)C)C1, cl: C1N(CCC1)Cc1cccc(F)c1, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1CN(CCN1)C, cl: C(N(CC)CC)C, target: C(C)[N+](CC)(CC)CC
origin: C1CC[N+](C)(C1)CCCCC[N+]1(CCCC1)C, cl: C1CCC(CC1)N(C1CCCCC1)C, target: CC[N+](CC)(CC)CC
origin: C(C)(C)N(CC)C(C)C, cl: N1(Cc2ccccc2)CCNCCOCC1, target: CC(C)N(CC)C(C)C
origin: C1(C)CC(NCCNC(C)(C)CC(NCCN1)(C)C)C, cl: C12CC3CC(CC(C2)C3)(C1)[N+](C)(C)C, target: CC(C)N(CC)C(C)C
origin: C[N+]1(CC(C)CC(C1)C)C, cl: c1(C)cn(C(C)C)c[n+]1C, target: C1(C)(C)CCCC(C)(C)[N+]1(C)CC
origin: C([N+](CC)(CC)CC)C, cl: C1CCCC2[N+]1(C)CC1CC2CN2C1CCCC2, target: C(C)(N(CC)C(C)C)C
origin: CC1[N+](CC)(C(C)CCC1)C, cl: c1cccc(C(O)C(N(C)C)C)c1, target: CC[N+]1(CC)[C@H](C)CCC[C@@H]1C
origin: [N+]1(CC(C)CC(C)C1)(C)C, cl: C1CN(Cc2ccccc2F)CC1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C1C[N+](CCCCC[N+]2(C)CCCC2)(C)CC1, cl: C1N(Cc2ccccc2)C(CO)CC1, target: CCN(C(C)C)C(C)C
origin: C(CCCCCCCC)CCCCCCCCCCCC[N+](C)(C)C, cl: C1(CCCCC1)N(C1CCCCC1)C, target: CC(C)N(CC)C(C)C
origin: C(C)CN(CCC)CCC, cl: C(C1NCCNC1)N, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C1C(N)CCCC1, cl: C1N(CCN(CCN(CCN(C)CCN(CCN(C1)C)C)C)C)C, target: N(CC)(C(C)C)C(C)C
origin: CC[N+](CC)(CC)CC, cl: c1ccc(F)c(c1)CN1CCCC1, target: CC1C[N+](C)(C)CC(C)C1
origin: c1n(c([n+](c1)C)C)C, cl: C(C)CC[n+]1ccn(c1C)C, target: CC[N+](CC)(CC)CC
origin: [n+]1(cn(cc1)C)CC, cl: C1C(N(C2CCCCC2)C)CCCC1, target: CC(N(CC)C(C)C)C
origin: C[N+](C)(C)C, cl: C(CC)N(CCC)CCC, target: CC(N(C(C)C)CC)C
origin: C1(C)[N+](CC)(CC)CCCC1, cl: C1C(N(C2CCCCC2)C)CCCC1, target: C1[C@@H](C)C[C@H](C)C[NH2+]1
origin: C1C(C[N+](CC1C)(C)C)C, cl: c1c(cc(CN2CCCC2)cc1)F, target: C1[C@H](C)[NH2+][C@H](C)CC1
origin: CC1CC(C)C[N+](C)(C)C1, cl: C1(N(Cc2ccccc2)CCC1)CO, target: C[N+]1(C)C(C)CCCC1C
origin: C1(C)[N+](C(CCC1)C)(CC)C, cl: CCC[N+](CCC)(CCC)CCC, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: C1CC(C)[N+](C(C)C1)(C)C, cl: C1CCCN2CC3CC(C21)C[N+]1(CCCCC13)C, target: C([N+]1(C)C(C)CCCC1C)C
origin: C1CCCC(N)C1, cl: c1(ccncc1)N1CCCC1, target: n1(C)cc[n+](CC)c1
origin: C1C(C)CC(C)C[N+]1(C)C, cl: c1c(C(C(NC)C)O)cccc1, target: CC1C[N+](C)(C)CC(C)C1
origin: C(CC)N(CCC)CCC, cl: c1ccc(C[n+]2cn(C)cc2)cc1, target: C(CN)NCCNCCN
origin: CCN(C(C)C)C(C)C, cl: C1C2CC3CC1CC(C3)C[N+]2(C)CC, target: C(CN)NCCCNCCN
origin: n1(c(C)c[n+](C)c1)C, cl: c1ccc(cc1F)CN1CCCC1, target: N1CCN[C@@H](C)CC(C)(C)NCCN[C@@H](C)CC1(C)C
origin: C1(C)CC(NCCNC(C)CC(NCCN1)(C)C)(C)C, cl: C1CCN(Cc2cccc(c2)F)C1, target: C1NC(C)(C)C[C@H](C)NCCNC(C)(C)C[C@H](C)NC1
origin: C1C(C[N+](C)(C)CC1C)C, cl: [n+]1(CCCC)cn(C)cc1, target: C1[C@H](C)C[C@H](C)C[N+]1(C)C
origin: C1C(C)[N+](C)(C(CC1)C)C, cl: C(CC[n+]1c(n(C)cc1)C)CC, target: C1[C@H](C)C[N+](C)(C)C[C@H]1C
origin: C1CCCC(C1)[N+](CC)(C)C, cl: C1CC(N(Cc2cccc(F)c2)C1)CO, target: C1[N+](C)(C)CC(C)CC1C
origin: C1[N+](C)(C)CC(C)CC1C, cl: C1C2CC3CC1CC(C3)C2[N+](C)(C)C, target: C(C)[N+]1(CC)C(C)CCCC1C
origin: C1C(C)(C)[N+](C)(C)CCC1, cl: c1cc(ccc1)C[n+]1ccn(C)c1C, target: C1CCC2[N+](C)(C)C1CCC2
origin: C1CCC(C)[N+](CC)(C1C)CC, cl: C(N(CC)CC)C, target: C1CC(C)[N+](CC)(CC)C(C)C1
origin: CC1C[N+](C)(C)CC(C)C1, cl: C12CC3CC(C1)CC(C3)(C2)[N+](C)(C)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1CC(CCC1)[N+](C)(C)CC, cl: C1N(Cc2ccccc2F)CCC1, target: CC[P+](CC)(CC)CC
origin: C1CC(C)[N+](C)(CC)C(C)C1, cl: C1CCCNCC1, target: C1C(C)[N+](C)(C)C(C)CC1
origin: C1CC(C[N+](C1)(CC)C)(C)C, cl: C1C(N(Cc2ccccc2)CC1)CO, target: CC1(C)[N+](C)(CC)C(C)(C)CCC1
origin: C1C2CC3C[N+](C(CC1C3)C2)(C)C, cl: C(C(C)NC)(O)c1ccccc1, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1CC2C(CC[N+](C)(C)CC2)C1, cl: c1c[n+](CC)cn1C, target: C1(C)[N+](C)(C)C(C)CCC1
origin: C1CCCC2[N+](C)(CCCC21)C, cl: C1N2C(C3CC(C2)C2CCCC[N+]2(C)C3)CCC1, target: C1C2C(C)(C)C1[N+](C)(C)CCC2
origin: C1(C)C[N+](CC(C)(C)C1)(C)C, cl: C(C)CN(CCC)CCC, target: C1C(C)(C)CC2CC1(C)C[N+]2(C)C
origin: C([N+](C)(C)C)CO, cl: c1cccc(c1)C(O)C(NC)C, target: C1CCC2C(C)(C)C(C2)[N+]1(C)C
origin: [N+]1(C)(C)CC(C)CC(C)C1, cl: n1(cc[n+](CCCC)c1C)C, target: C1C(C)C2C(C)(C)C([N+](C)(C)C1)C2
origin: C(C)(C)N(C(C)C)CC, cl: C1CCC(CO)N(Cc2ccccc2)C1, target: CC(C)N(CC)C(C)C
origin: C(C)(C)N(C(C)C)CC, cl: C(C(c1ccccc1)O)(C)N(C)Cc1ccccc1, target: CC(C)N(CC)C(C)C
origin: C1C(CCCC1)N, cl: C(CO)(N(C)C)c1ccccc1, target: CC(C)N(C(C)C)CC
origin: C1(C)(NCCNC(C)(C)CC(C)(C)NCCNC(C)C1)C, cl: C(CC)N(CCC)CCC, target: c1[n+](C)ccn1CC
origin: C1NCCN(CC(C)NCCNC(C)(C)CC(C)NC1)C, cl: C(CC)C[n+]1ccn(c1C)C, target: C(C)(C)N(C(C)C)CC
origin: C1[N+](C)(CC(CC1C)C)C, cl: [N+](C)(Cc1ccccc1)(Cc1ccccc1)C, target: CC[P+](CC)(CC)CC
origin: C1CC(C)[N+](C(C)C1)(CC)C, cl: c1cc(ccc1)C(O)C(N(C)Cc1ccccc1)C, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C1CCC(C)[N+](CC)(C1C)CC, cl: C(C(NC)C)(c1ccccc1)O, target: C1(CC)CCCC[N+]1(C)C
origin: C1CCCC([N+]1(C)C)CC, cl: C(N(CC)CC)C, target: C[N+]1(CC)C(C)CCCC1C
origin: C1C([N+](C)(C(C)CC1)C)C, cl: C(C)N(CC)CC, target: CC[N+]1(CC)C(C)CCCC1C
origin: CC1CCC(C)[N+](CC)(C1)C, cl: c1cc(F)cc(c1)CN1CCCC1, target: CC1CCCC(C)[N+]12CCCC2
origin: C1C[N+](C)(C(C)CC1)CC, cl: c1ccc(CN2CCCC2)cc1F, target: CC1(C)C[N+](C)(C)CC(C)(C)C=C1
origin: C(C)(N(CC)C(C)C)C, cl: C(C)CN(CCC)CCC, target: C([N+](CC)(CC)CC)C
origin: C(CCCCCCCCCCCCCC)CCCCCC[N+](C)(C)C, cl: C1CCNCCC1, target: C(C)(C)N(C(C)C)CC
origin: C(CCCN(C)C)CCN(C)C, cl: C(C)[N+]12CCCCC2CC2CC1CN1CCCCC21, target: CC(C)N(CC)C(C)C
origin: C[N+]1(CCCCC[N+]2(CCCC2)C)CCCC1, cl: C1CCC(N(C2CCCCC2)C)CC1, target: N1(C)CCN(C)CCN(C)CC1
origin: C(CCCCC[n+]1cn(cc1)C)[n+]1cn(C)cc1, cl: C(C)CN(CCC)CCC, target: C1N(C)CCN(C)CCN(C)C1
origin: C1C2CC3CC1CC(C2)C[N+]3(CC)C, cl: CC(C(c1ccccc1)O)NC, target: [C@@H]1(C)CCC[C@H](C)[N+]1(C)C
origin: C1CC[N+](CC)(CC)C2CC(C1C2)(C)C, cl: C1CC(CO)N(Cc2ccccc2)C1, target: C[C@H]1[N+](C)(C)[C@@H](C)CCC1
origin: C[N+]1(CCCC2CCCC21)C, cl: C([n+]1ccn(C)c1C)CC, target: C1[C@@H](C)[N+](C)(C)[C@@H](C)CC1
origin: C1CCC2CCC[N+](C)(C2C1)C, cl: C1(N(C2CCCCC2)C)CCCCC1, target: C[C@H]1C[N+](C)(C)C[C@@H](C)C1
origin: C12CC3CC(CC(C1)C3)(C2)[N+](C)(C)C, cl: C1C(CO)N(Cc2ccccc2)CC1, target: [N+]1(C)(C)C[C@@H](C)C[C@@H](C)C1
origin: C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C, cl: C(C(NC)C)(c1ccccc1)O, target: [C@@H]1(C)C[C@H](C)C[N+](C)(C)C1
