origin: N1(C)CCN(C)CCN(C)CC1(C)CCN(C)CC, cl: C1CN(C)CCN(, target: N1(C)CCN(C)CCN(C)CC1
origin: C([N+](CC(())C)(C)C)C, cl: C([N+](CC)(CC)CC)C, target: C([N+](CC)(CC)CC)C
origin: CC1C[N+](C)(C)CC(C)C1, cl: CC1C[N+](C)(C)CC(C))1, target: CC1C[N+](C)(C)CC(C)C1
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C1C(C)C[N+](C)(C)CC1C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C(C)[P+](CC)(CC)CC, cl: C(C)[P+](CC)(CC)CC, target: C(C)[P+](CC)(CC)CC
origin: CC[P+](CC)(CC)CC, cl: [P+](CC)(CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C(C)[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: C(C)[P+](CC)(CC)CC
origin: C(C)[P+](C)CCCCC([)+](C)Cccccc1)[, cl: CC[P+](CC)(CC)CC, target: C(C)[P+](CC)(CC)CC
origin: CC(N(CC)C(C)C)C, cl: C(C)(N(C()))C)C, target: CC(N(CC)C(C)C)C
origin: [C@@H]1(CCCC(C)C)ccc(C[n+]1c(C)n(C)c(C)c1C)C, cl: C[C@H]1C[C+](C)(C)C, target: [C@@H]1(C)C[NH2+]C[C@H](C)C1
origin: [NH2+]1[C+](C))CCC1, cl: C1[C@H](C2(CCCC2)C2)CC1NCCC, target: [NH2+]1[C@@H](C)CCC[C@H]1C
origin: C(N(C(C)C)(C)C)C, cl: CC(N(CC)C(C)C)C, target: C(N(C(C)C)C(C)C)C
origin: CC(N(C(C)C)CC)C, cl: C(C)(N(CCCCCN(C)C)C)C, target: CC(N(C(C)C)CC)C
origin: N(C(C)C)(C)C, cl: C(C)(N(C(C)C)CC)C, target: N(C(C)C)(C(C)C)CC
origin: C1[N+](C)(C)CC2C(C)CC1CC2, cl: C1(C)C[N+](C)(CCCC)(C)CC1, target: C1[N+](C)(C)CC(C)CC1C
origin: C(C)[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CC(C)N(C())C, cl: N(C(C)C)(CC)C(C)C, target: CC(C)N(C(C)C)CC
origin: CC(N(C(C)C)CC)C, cl: CCN(C(C)C)C(C)C, target: CC(N(C(C)C)CC)C
origin: CC1(C)[N+](C)(C))(C(C)CCCCC, cl: CC1(C)CCCN(C)CC, target: CC1(C)[N+](CC)(C)C(C)(C)CCC1
origin: N(C(C)C)(C)CCOC(())C, cl: N(C(C)C)(CC)C(C)C, target: N(C(C)C)(CC)C(C)C
origin: CC[N+]1(CCCCCCNNCCC)CC, cl: C[C@@H]1C(C)CCCC[N+](C)(C)C, target: CC[N+]1(CC)[C@@H](C)CCC[C@H]1C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1C(C)CC(C[N+]1(C)C)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: CC(N(CC)C(C)C)C, cl: C(N(C(C)C)CC)C, target: CC(N(CC)C(C)C)C
origin: C(N(C(C)C)CC)C, cl: C(C)(N(C())))), target: C(N(C(C)C)CC)(C)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: CC1C[N+](C)(CCCC)(C)CC1, target: C[N+]1(C)CC(C)CC(C)C1
origin: C(C)N(C(C)C)C(C)C, cl: CCN(C(C)C)C(C)C, target: C(C)N(C(C)C)C(C)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: [N+]1(C)(CCCCC[N+]2(C)CCCC2)CCCC1, target: C[N+]1(C)CC(C)CC(C)C1
origin: CC[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C(C)(N(C(C)C)CC)C, cl: CC(N(C(C)C)CC)C, target: C(C)(N(C(C)C)CC)C
origin: CCN(C(C)C)C(C)C, cl: N(C(C)C)(CC)C(C)C, target: CCN(C(C)C)C(C)C
origin: C1[C@H](C1[N+]2(C)CCCCC2)(C)CCC1, cl: [NH2+]1C[(+]((CCC1)()))CCC, target: C1[C@H](C)C[NH2+]C[C@H]1C
origin: [C@@H]1(CC))cCc(c[c+](c)ccC)c1, cl: [C@@H]1(CCCC[C+](C)(C)C)CCC[[+]1(C)CCCCC, target: [C@@H]1(C)[NH2+][C@H](C)CCC1
origin: C1CCC(C)[N+](C))CC, cl: CC1[N+](CC)(CCCC1)C, target: C1CCC(C)[N+](C)(C)C1C
origin: C1(C)[N+](CC)(CC)C(C)CCC1, cl: C1CCC(C)[N+](C1C)(C)C, target: C1(C)[N+](CC)(CC)C(C)CCC1
origin: C(C)[N+]1(CC)C(C)CCCC1C, cl: C1(C)[N+](CC((C1CCCC1)C)(C)CCCCCCNNCCCC1)C, target: C(C)[N+]1(C)C(C)CCCC1C
origin: [n+]1(CC)cnnCC1, cl: [n+]1(CC)cc(())(n)c))C, target: [n+]1(CC)cn(C)cc1
origin: C1[N+](C)(C)CC(C)CC1C, cl: C1(C)C[N+](C)(C)(C)CCC1, target: C1[N+](C)(C)CC(C)CC1C
origin: NCCNCCNCCN, cl: C(CNCCNCCNCNNCNNC)), target: NCCNCCNCCN
origin: N(CCCNCCNCCN)CCN, cl: C(CCNCCN)C, target: N(CCCNCCN)CCN
origin: C1CN[C@@HCc]ccc1, cl: N1C(C)(C)(CC(NCCNC(C)(C)(C)CCCN1)C)C, target: C1CN[C@@H](C)CC(C)(C)NCCN[C@@H](C)CC(C)(C)N1
origin: C[C@@H]1N(C)C, cl: C1C(C)(C)NCCNC(CC(C)(CCNNC11)C)C, target: C[C@@H]1NCCNC(C)(C)C[C@H](C)NCCNC(C)(C)C1
origin: C1[N+](C)(C)CC(C)CC1C, cl: C1[C@@H](](())))CC, target: C1[N+](C)(C)C[C@@H](C)C[C@H]1C
origin: C[C@@H]1C(n)cccc1, cl: C[N+]1(C)CC(CC(C))1)C, target: C[C@@H]1C[N+](C)(C)C[C@@H](C)C1
origin: C1[N+](C)(C)CCCC1, cl: C[N+]1(C)CCCC(C))C11CCCCC1, target: C1[N+](C)(C)CC(C)CC1C
origin: C1CC(C)[N+](C)(C)C(C)C1, cl: [N+]1(CC)CC(CCCC)CC(C1CCCC11CCCC1)C, target: C1CC(C)[N+](CC)(CC)C(C)C1
origin: C1CC2CCCCC[[+]]2CCC(C)C1, cl: C12CCCC([C+]1(C)C)CC2, target: C1CC2CCCC([N+]2(C)C)C1
origin: C1C(C)[N+](CC)(CC)C(C)CC1, cl: C1CC(C)[N+](CCC()))1CCC, target: C1C(C)[N+](CC)(CC)C(C)CC1
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C[N+]1(C)CC(CCCC)CCC1, target: C1(C)C[N+](C)(C)CC(C)C1
origin: CC[P+](CC)(CC)CC, cl: C(C)[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1C(C)[N+](C)CC(C))1, target: C[N+]1(C)C(C)CCCC1C
origin: C1(C)(C)[N+](C)(C)CCCC1, cl: CC1(C)CCCN(C)CC, target: C1(C)(C)[N+](CC)(C)C(C)(C)CCC1
origin: C1CCC(C)[N+](C)(C)C1C, cl: CC[N+]1(CCCC(C)(C1CCCC1)C, target: C1CCC(C)[N+](CC)(CC)C1C
origin: C[N+]1(C)CC2C(C3C=CC2C133C(C[N+](C)(C)C2)C33, cl: C1C(C)[N+](C(C)CC1)(C)C, target: C[N+]1(C)C(C)CCCC1C
origin: C[N+]1(C)CC2CCCCCCC2C1, cl: C12[N+](CC((C1CCC))CC)2C(C)CCC, target: C[N+]1(C)C2CC(CCC1)C2(C)C
origin: CC1(C)CC2[C+](C))CC((2)C11CCCC1, cl: C12(C)CC(CC([N+](C)(C1)C)C2)(C)C, target: CC1(C)CC2(C)CC(C1)[N+](C)(C)C2
origin: CC1(C)C2CC1[N+](CC(())C)CC(C)C11, cl: CC1(C)C2CC1C(CCCN))[N+]2(C)C, target: CC1(C)C2CC1CCC[N+]2(C)C
origin: C1C2C(C)CC[N+](C))C(1))C2, cl: C1(C)(C)C2CC1CNCC2, target: C1C2C(C)CC[N+](C)(C)C1C2(C)C
origin: CC(C)N(C())C, cl: N(C(C)C)(CCCCCN(C(C)C)C(C)C)C(()CCCC(())CCCN(CCCC)CCCC)CCC, target: CC(C)N(C(C)C)CC
origin: CC(N(C(C)C)CC)C, cl: CCN(C(C)C)C(C)C, target: CC(N(C(C)C)CC)C
origin: CC(C)N(CC(C)C)CC, cl: CC(N(CC)C(C)C)C, target: CC(C)N(CC)C(C)C
origin: n1(CC)cc[n+](C)c1, cl: [n+]1(C)cn(Cc)ccC, target: n1(CC)cc[n+](C)c1
origin: CCN(C(C)C)C(C)C, cl: C(N(C(C)C)CC)C, target: CCN(C(C)C)C(C)C
origin: CC[P+](CC)(CC)CC, cl: C(C)[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C1C(C)CC(C)C[N+]1(C)C, cl: C1C(C)C[N+](CC)CC(C))1, target: C1C(C)CC(C)C[N+]1(C)C
origin: C1CC[N+](CC(())C(())C)CCC, cl: [N+]1(C)(C)CC(CC(C))1)C, target: C1CC[N+](C)(C)C(CC)C1
origin: CC1CCCC(C)[N+]1(CC)C, cl: C1CCC(C)[N+](C1())CCCC, target: CC1CCCC(C)[N+]1(CC)C
origin: CC[N+]1(CCCCCNNCCC)CC, cl: CC1CCCC(CN[[+]12(CCCCC))C, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1(C)[N+](CC)(C)C(C)CCC1, cl: C1CCC(C)[N+](C1C)(C)C, target: C1(C)[N+]2(CCCC2)C(C)CCC1
origin: [N+]1(C)(CC)C(C)CCCC1, cl: C1=CC(C)(C[N+](C)(C)CC)(C)C1, target: [N+]1(C)(C)CC(C)(C)C=CC(C)(C)C1
origin: C(C)[N+](CC)CCCC[[+]1(C)C, cl: CC[N+](CC(()C)CC)(C)C, target: C(C)[N+](CC)(CC)CC
origin: C(C)(C)N(CC)CCCCC(())C, cl: C(N(C(C)C)CC)C, target: C(C)(C)N(C(C)C)CC
origin: CC(N(CC)C(C)C)C, cl: C(N(C(C)C)CC)C, target: CC(N(CC)C(C)C)C
origin: C1CN(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN1C, cl: CN1CCN(C)CCN(C)CCN, target: C1CN(C)CCN(C)CCN1C
origin: N1(C)CCN(C)CCN(C)CC1(C)CCN(C)C2CCCCC, cl: C1CN(C)CC((CCNN)CCN(C)CCN(C1)C)C, target: N1(C)CCN(C)CCN(C)CC1
origin: C[N+]1(C)CCCCC1C, cl: [C@@H]1(CCCCCCC)CC, target: C[N+]1(C)[C@H](C)CCC[C@@H]1C
origin: [N+]1(C)(C)CCCCCCCC, cl: [C@H]1(C)CCCC[[+]1(C)CCCC, target: [N+]1(C)(C)[C@@H](C)CCC[C@H]1C
origin: [C@H]1(C)CcCc(c[c+](c)c(C)c2C[n+](c)c(C)c2)c1, cl: [C@H]1(C)CCCC[[+]1(C)C, target: [C@H]1(C)CCC[C@@H](C)[N+]1(C)C
origin: C[N+]1(C)CCCC2CCCC22, cl: C[C@H]1C[C+](C)(C)C, target: C[N+]1(C)C[C@H](C)C[C@H](C)C1
origin: [C@H]1(C)CnCcccc1, cl: C[N+]1(C)CC2C3CCC(C2C1)C=C3, target: [C@H]1(C)C[N+](C)(C)C[C@@H](C)C1
origin: C[N+]1(C)CC2C3C4C(C[C+](C))CC(C22CCCC4)C1, cl: C[C@H]1C[C+](C)(C)C, target: C[N+]1(C)C[C@@H](C)C[C@@H](C)C1
origin: C([P+](CCCC)CCCC[N+](CC)(CC)CC)CC, cl: CC[P+](CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1(C)CC(C)C[N+](C)(C)C1, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1C(C)C[N+](C)(C)CC1C, cl: C1(C)CC(C)C[N+](C))C1, target: C1C(C)C[N+](C)(C)CC1C
origin: C([N+](CC)(CC)CC)C, cl: C([N+](CC)(CC)CC)C, target: C([N+](CC)(CC)CC)C
origin: CC1C[N+](C)(C)CC(C)C1, cl: C1(C)CC(C)C[N+](C)(C1CCCC1)C, target: CC1C[N+](C)(C)CC(C)C1
origin: CC1C[N+](C)(C)CC(C)C1, cl: C1(C)CC(C)C[N+](C1(())))), target: CC1C[N+](C)(C)CC(C)C1
origin: C([P+](CC)(CC)CC)C, cl: C(C)[P+](CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: [P+](CC)(CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: [P+](CC)(CC)(CC)CC
origin: [P+](CC)(CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: [P+](CC)(CC)(CC)CC
origin: C(C)(C)N(C)), cl: CC(N(C(C)C)CC)C, target: C(C)(C)N(C(C)C)CC
origin: C[C@H]1C[n+]1ccncC1, cl: C1[C@@H](]2(CCCC2)C))CCC, target: C[C@H]1C[C@@H](C)C[NH2+]C1
origin: [NH2+]1[C+](CC)(C)C2CCCCCCC2CC, cl: C1[C@@H](]2CCCC2CC1)C, target: [NH2+]1[C@H](C)CCC[C@@H]1C
origin: C(N(CC)C())C, cl: C(C)(C)N(CCCCCN(C)C)C, target: C(N(CC)C(C)C)(C)C
origin: C(C)(N(CCCCCC(()C(C)C)C)CCCCC(((C)CCCC)C(C))C, cl: CC(N(C(C)C)CC)C, target: C(C)(N(CC)C(C)C)C
origin: CC(C)N(C(C)C)CC, cl: C(N(C(C)C)CC)CC, target: CC(C)N(C(C)C)CC
origin: CC1C[N+](C)(C)CC(C)C1, cl: CC1C[N+](C)(C)(CCCC))CC11, target: CC1C[N+](C)(C)CC(C)C1
origin: C(C)[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: CC[N+](CC)(CC)CC, cl: [N+](CC)(CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CC(N(CC)C(C)C)C, cl: CC(N(CC)C(C)C)C, target: CC(N(CC)C(C)C)C
origin: CC(C)N(CC)C(C)C, cl: CCN(C(C)C)C(C)C, target: CC(C)N(CC)C(C)C
origin: C[N+]1(CCCCCNNCC))C, cl: CC[N+]1(CCCC2C(C))C1CCCC2, target: C[N+]1(CC)C(C)(C)CCCC1(C)C
origin: CCN(C(C)C)(()))C, cl: N(C(C)C)(CC)C(C)C, target: CCN(C(C)C)C(C)C
origin: [C@@H]1(CCC)NCCCC, cl: [C@H]1(C)C[C+](C)(C)C, target: [C@@H]1(C)CCC[C@H](C)[N+]1(CC)CC
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C1C(C)CC(C)N[N+](C)(C)C1, target: C1(C)C[N+](C)(C)CC(C)C1
origin: CC(N(C(C)C)CCCCCN(C(C)C)C, cl: CC(N(CC)C(C)C)C, target: CC(N(C(C)C)CC)C
origin: C(C)(N(CCCCCC(()C)C)C)C, cl: CCN(C(C)C)C(C)C, target: C(C)(N(CC)C(C)C)C
origin: C1C(C)C[N+](C)(C)CC1C, cl: C1(C)CC(C)NCCNC(C)(C)(C)(CCNCC11CCCC1C, target: C1C(C)C[N+](C)(C)CC1C
origin: CCN(C(C)C)C(C)C, cl: CC(C)N(CCCCCN(C(C)C)C(C)C)C(C)C, target: CCN(C(C)C)C(C)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1(C)CC(C)N[C+](C)(C)C1, target: C[N+]1(C)CC(C)CC(C)C1
origin: CC[N+](CC)(CC)CC, cl: C([N+](CC(()))cccc1)(C)c, target: CC[N+](CC)(CC)CC
origin: N(CC)(C(C)C)C, cl: CCN(C(C)C)C(C)C, target: N(CC)(C(C)C)C(C)C
origin: CC(N(CC)CCCCC(N)C)C, cl: C(C)(C)N(CCCCCN(C)C)C, target: CC(N(CC)C(C)C)C
origin: C1[C@H](C([N+]2(C)CCCCC2)CCCCC))CCCCC, cl: C1[NH2+]CC(C)CC1C, target: C1[C@H](C)C[NH2+]C[C@H]1C
origin: [NH2+]1[C+]2CCCCCCCC))(CC(CCCC2CC2)C1, cl: [C@@H]1(CCCC[C+](C)(C)C)cCccc1C, target: [NH2+]1[C@H](C)CCC[C@@H]1C
origin: CC1[N+](C)(C)C(C)CCC1, cl: C[N+]1(C)(C)(C)CC(C)(CCC1)C, target: CC1[N+](C)(C)C(C)CCC1
origin: C1CCC(C)[N+](C)(C)C1C, cl: C(C)[N+]1(CC)CC2C3C4C(C(N2C1)C=C3)CCCC4, target: C1CCC(C)[N+](CC)(CC)C1C
origin: CC1CCCC(C)[N+]1(CCCCCC)C, cl: C1(C)CCCC([)+]1(C)C, target: CC1CCCC(C)[N+]1(C)CC
origin: C([n+]1cnnCCC)c1, cl: C(C)[n+]1ccn(c1)C, target: C([n+]1cn(C)cc1)C
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: CC1CC(C)C[N+](C)(C1CC)C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C(NCCN)CN, cl: N(CCNCCN)CCN, target: C(NCCN)CNCCN
origin: C(CNCCCNCCCN)N, cl: C(N)CNCCCCCN, target: C(CNCCCNCCN)N
origin: N1CCN[C@@(CCCCCNNCCC)C1, cl: N1CCN[C@@(C)(CCCN(C)CC)(C)C1, target: N1CCN[C@@H](C)CC(C)(C)NCCN[C@@H](C)CC1(C)C
origin: C1CN[C@@HCc]ccc1, cl: N1C(C)(C)(CCCC1(C)C)CC, target: C1CN[C@@H](C)CC(C)(C)NCCN[C@@H](C)CC(C)(C)N1
origin: C1[C@@H](](c)ccc2)(CCCCCC[C+](C)Cccccc, cl: C[N+]1(C)CC(CC(C)C1)C, target: C1[C@@H](C)C[N+](C)(C)C[C@H]1C
origin: C1[C@H](C([)+]2ccccc2)cccc1, cl: C1[C@@H](](())))CC((1)C)C, target: C1[C@H](C)C[N+](C)(C)C[C@H]1C
origin: C1[N+](C)(C)CCCC1, cl: C1C(C)C[N+](C)(CCCC)(C)C1, target: C1[N+](C)(C)CC(C)CC1C
origin: CC[N+]1(C)C(C)CCCC1, cl: C(C)[N+]1(CCCC(C)(C1)C)C, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1CCC2CCCCCC[N+]2(C)C, cl: C[N+]1(C)CC(CC(C1)C)C, target: C1CCC2CCCC1[N+]2(C)C
origin: C([N+]1(CC)C(C)CCCC1C)C, cl: CC[N+]1(CCCC(C)(C1)C)C, target: C([N+]1(CC)C(C)CCCC1C)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: [N+]1(C)(C)CC(CC(C1)C)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: C(C)[P+](CC)(CC)CC, cl: C([P+](CC)(CC)CC)C, target: C(C)[P+](CC)(CC)CC
origin: C1C(C)[N+](CC)(C))(C)CCC, cl: C1C(C)[N+](C(CC1)C)(C)C, target: C1C(C)[N+](C)(C)C(C)CC1
origin: CC1(C)[N+](C)(CCCC[N+]1(C)CCCCC2)CCCC1, cl: C1C(C)(C)[N+](C(C)1CCC1)(C)C, target: CC1(C)[N+](CC)(C)C(C)(C)CCC1
origin: C1CC(C)[N+](C)(C)C(C)C1, cl: C1CCC(C)[N+](C1C)(C)C, target: C1CC(C)[N+](CC)(CC)C(C)C1
origin: C1C(C)[N+](C)(C)C(C)CC1, cl: C[N+]1(C)C2CC(C))CC(C)(C2)C1, target: C1C(C)[N+](C)(C)C(C)CC1
origin: CC1(C)C2CC1[N+](CC(())C)CC1CCCC2, cl: C1CC[N+](C2CCCCC21)(C)C, target: CC1(C)C2CC1CCC[N+]2(C)C
origin: C1C2[N+](C))CC(C1))C22CCCC1, cl: CC1(C)CC2[C+](C)(C)1C1CC, target: C1C2[N+](C)(C)CC1(C)CC(C)(C)C2
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C12C(C)(C)C(C2)[N+](CC(11CCCCC1)(C)C)C, target: C[N+]1(C)CCCC2CC1C2(C)C
origin: C[N+]1(C)C2(C)CC(C(()(C)C1CCCCC))C2, cl: C[N+]1(C)CC(CC(C))1)C, target: C[N+]1(C)C2C(C)(C)C(C(C)CC1)C2
origin: C(N(C(C)C)(C)C)C, cl: N(C(C)C)(CC)C(C)C, target: C(N(C(C)C)CC)(C)C
origin: CC(N(CC)C(C)C)C, cl: CC(N(C(C)C)CC)C, target: CC(N(CC)C(C)C)C
origin: CCN(C(C)C)C(C)C, cl: CC(C)N(CCCCC(())))C, target: CCN(C(C)C)C(C)C
origin: [n+]1(C)ccn(CC)c1, cl: c1[n+](C)cn(C1)C, target: [n+]1(C)ccn(CC)c1
origin: CC(C)N(CCCCCN(CCC)CCC))CC, cl: CC(N(CC)C(C)C)C, target: CC(C)N(CC)C(C)C
origin: CC[P+](CC)(CC)CC, cl: [P+](CC)(CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C[N+]1(C)CC(C)CC(C)C1, cl: [N+]1(C)(C)CC(CC(C))1)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: CCC1[N+](C)(C)C(C)CCC1, cl: CCC1[N+](CCCC1)(C)C, target: CCC1[N+](C)(C)CCCC1
origin: CC1CCCC(C)[N+]1(CCCCCC)C1, cl: CC1CCCC(CN[[+]11(C)CCCCC)), target: CC1CCCC(C)[N+]1(C)CC
origin: C1C(C)[N+](C))CC(C)CC1, cl: CC[N+]1(CC)CC(CC(C))1)C, target: C1C(C)[N+](CC)(CC)C(C)CC1
origin: [N+]12(CCCCCC)CCC(CCC))CC, cl: C1C[N+]2(CCC1CCC))CCCC2, target: [N+]12(CCCC1)C(C)CCCC2C
origin: CC1(C)C[N+](CC(())C(C)CCCCCC))C1, cl: C1=CC(C)(C)N[C+](C))C((1)()1)C, target: CC1(C)C[N+](C)(C)CC(C)(C)C=C1
origin: C(C)[N+](CC)CCCCCNNCC, cl: C([N+](CC(()C)C)(C)C)C, target: C(C)[N+](CC)(CC)CC
origin: CCN(C(C)C)C(C)C, cl: CC(C)N(C(C)C)CC, target: CCN(C(C)C)C(C)C
origin: CC(N(C(C)C)CC)C, cl: C(C)N(C(C)C)C(, target: CC(N(C(C)C)CC)C
origin: C1N(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)C1, cl: CN1CCN(C)CCN(C)CC1, target: C1N(C)CCN(C)CCN(C)C1
origin: N1(C)CCN(C)CCN(C)CC1, cl: C1N(C)CCN(C)CCNNCCC, target: N1(C)CCN(C)CCN(C)CC1
origin: C[C@@H]1C(n)cccc1, cl: C[C@@H]1[(+](C)(C)C)C, target: C[C@@H]1CCC[C@H](C)[N+]1(C)C
origin: [N+]1(C)(C)CCCC21CCCC22CC1C1, cl: C1CC[C@@HC+]1C(C)C, target: [N+]1(C)(C)[C@@H](C)CCC[C@H]1C
origin: [C@H]1(C)CnCCcCc1C, cl: C[C@H]1[N+](C)(C)C, target: [C@H]1(C)[N+](C)(C)[C@@H](C)CCC1
origin: C[C@H]1C[n+]1ccc(1)cc(c)c1, cl: C[N+]1(C)CC(CC(C))1)C, target: C[C@H]1C[C@@H](C)C[N+](C)(C)C1
origin: C[N+]1(C)CCCCCCC, cl: [C@@H]1(CCCC[C+](C)(C)C)c, target: C[N+]1(C)C[C@@H](C)C[C@@H](C)C1
origin: C[N+]1(C)CC2C(CCC)2CCCCC1, cl: C[C@H]1C[C+](C)(C)C, target: C[N+]1(C)C[C@@H](C)C[C@@H](C)C1
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C1C(C)CC(C)C[N+]1(C)C, cl: C1(C)CC(C[C+](C1(()))))), target: C1C(C)CC(C)C[N+]1(C)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C[N+]1(C))C(CCCC1C)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C1C(C)CC(N)C11NCCCC1, target: C1(C)C[N+](C)(C)CC(C)C1
origin: CC1C[N+](C)(C)CC(C)C1, cl: C[N+]1(C)CC(C)(C)CCC1, target: CC1C[N+](C)(C)CC(C)C1
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: CC[P+](CC)(CC)CC, cl: C([P+](CC)(CC)CC)C, target: CC[P+](CC)(CC)CC
origin: [P+](CC)(CC)(CC)CC, cl: C([P+](CC(()C)CC)(C(C)C)C)C, target: [P+](CC)(CC)(CC)CC
origin: CC[P+](CC)(CC)CC, cl: C([P+](CC(()C)CC(()C)C)(C)C)CCCP[N+](C)(C)C, target: CC[P+](CC)(CC)CC
origin: C(N(C(C)C)CCCCNNCCC, cl: N(CC)(C(C)C)C(C)C, target: C(N(C(C)C)CC)(C)C
origin: C1[NH2+]CC2CCC1CCC2, cl: C1[C@@H](]2(CCCC2)C2)CC1CC2CC[N+]1(C)C, target: C1[NH2+]C[C@H](C)C[C@@H]1C
origin: C1CC[C@H]+]1cccc11, cl: [NH2+]1[C+3(CCCCC))CCCC3CCCC12, target: C1CC[C@H](C)[NH2+][C@@H]1C
origin: N(C(C)C)(CCCCCC(()))C, cl: CC(C)N(C(C)C)CC, target: N(C(C)C)(C(C)C)CC
origin: C(C)(N(CCCC(C)C)CCCC)C, cl: CC(N(C(C)C)CC)C, target: C(C)(N(CC)C(C)C)C
origin: CC(N(CC)C(C)C)C, cl: C(C)N(C(C)C)C, target: CC(N(CC)C(C)C)C
origin: C1[N+](C)(C)C22CCCCCCCCCC2, cl: C1C(C)CC(C[N+]1(C)C)C, target: C1[N+](C)(C)CC(C)CC1C
origin: C([N+](CC)(CC)CC)C, cl: C([N+](CC)(CC)CC)C, target: C([N+](CC)(CC)CC)C
origin: C(C)[N+](CC)(CC)CC, cl: [N+](CC)(CC)(CC)C, target: C(C)[N+](CC)(CC)CC
origin: C(C)(N(CC)CCCCC(()))C, cl: CC(N(CC)C(C)C)C, target: C(C)(N(CC)C(C)C)C
origin: CC(N(C(C)C)CC)C, cl: C(C)N(C(C)C)C(, target: CC(N(C(C)C)CC)C
origin: C1CC(C)(C)C[N+](C)(C)C1, cl: CC1(C)CCCC(C)([N+]1(CCCC1)C)C, target: C1CC(C)(C)[N+](CC)(C)C(C)(C)C1
origin: C(N(C(C)C)CCCCCNNCCCC)C, cl: CC(N(CC)C(C)C)C, target: C(N(C(C)C)CC)(C)C
origin: [N+]1(CC)(CC)CCCC(())C1, cl: [C@H]1(C)C[C+](C)(C)CCCC[C+](C)(C)C, target: [N+]1(CC)(CC)[C@H](C)CCC[C@@H]1C
origin: C1[N+](C)(C)CC2C1C1C=CC2C2C1C1C[N+](C)(C)CC22, cl: C1(C)CC(C)N[N+](C))C1, target: C1[N+](C)(C)CC(C)CC1C
origin: C(C)(N(CCCCCC(()C)C)C)C, cl: C(C)(C)N(CC)C(C)C, target: C(C)(N(CC)C(C)C)C
origin: CC(N(CC)C(C)C)C, cl: CC(C)N(C(C)C)CC, target: CC(N(CC)C(C)C)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: CC1CC(C)C[N+](C)(C)C1, target: C[N+]1(C)CC(C)CC(C)C1
origin: CC(C)N(CCCCCN(CCC)CCC))CC, cl: C(C)(C)N(CCCCCN(C)C)C, target: CC(C)N(CC)C(C)C
origin: C1C(C)CC(C)C[N+]1(C)C, cl: C1C(C)C[N+](C)(CC1C)C, target: C1C(C)CC(C)C[N+]1(C)C
