origin: C1CNCCC1N, cl: C1CNCCC1N, target: C1CNCCC1N1CCCCC1
origin: C1C2CC3CC(CC1C[N+]3(C)))C2, cl: C12([N+](C)(C)C)CC3CC(C2(CCCC3)C1)C, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2, cl: C1C2CC3CC(CN)CC((3)C1)C2, target: C12([N+](C)(C)C)CC3CC(C1)CC(C3)C2
origin: C12CC3([N+](C)(C)C)CC(C1(CCCC2)C3)C, cl: C1C2CC3CC(CC)(CN1C3)[N+](C)(C)C, target: C12CC3([N+](C)(C)C)CC(C1)CC(C3)C2
origin: NCCCN, cl: NCCCN, target: NCCCN
origin: C([N+](CC)(CC)CC)C, cl: C([N+](CC)(CC)CC)C, target: C([N+](CC)(CC)CC)C
origin: C1C2CC3([N+](C)(C)C)CC(CC)C3)CC2, cl: C[N+](C)(C1CCCCC1)C, target: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3
origin: C1C2CC3CC(CN)C(CC)(C3)[2+]11, cl: [N+](C)(C)(C)C12CC3CC(CC(C3)C1)C2, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C([P+](CC)(CC)CC)C, cl: C([P+](CC)(CC)CC)C, target: C([P+](CC)(CC)CC)C
origin: C12CC3([N+](C)(C)C)CC(CC)C3(CC))CCCC, cl: C1C2CC3([C+](C)(C)C(C2)CC1C3)C, target: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2
origin: C1CNCCN1C, cl: N1CCN(CCN)CC1, target: C1CNCCN1CCN
origin: C[N+](C)(C1CC2CCCCCC2)CCC, cl: C12CC3([N+](C)(C)C)CC(CC)CC1C3, target: C[N+](C)(C12CC3CC(C1)CC(C3)C2)C
origin: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2, cl: C[N+](C)(C)C12CC3CC(C2)CC(C3)C1, target: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2
origin: CC[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: [N+](C)(C)2CC3CC(CC(C3)C2)C1, cl: C1C2CC3CC(CC)CCNCCN[3+]1CC, target: [N+](C)(C12CC3CC(CC(C1)C3)C2)(C)C
origin: C1(N)CCCCC1, cl: C1CCCC(N)C1, target: C1(N)CCCCC1
origin: C1CCCCC1N, cl: C1CC(N)CCC1, target: C1CCCCC1N
origin: C1C2CC3([N+](C)(C)C)CC(CC)C3)CC2, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CNCCCC, cl: C(CCNC)C, target: CNCCCC
origin: CCCNCCC, cl: CCCNCCC, target: CCCNCCC
origin: C(CNCCC)C, cl: CCCNCCC, target: C(CNCCC)C
origin: CC(NC(C)C)C, cl: CC(C)NC(C)C, target: CC(NC(C)C)C
origin: C(C)(C)NC(()))CN, cl: CC(NC(C)C)C, target: C(C)(C)NC(C)C
origin: C(N(CC)CCCCCC(()C)CCC)), cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C([N+]1(CC)CCCC(C)C1)C, cl: [N+]1(CC)CC((CCC1)C)CC, target: C([N+]1(C)CCCCC1C)C
origin: C1CC[N+](C)(CCCC)CCC, cl: C1CC[N+](C(()C)C1)(CC)C, target: C1CC[N+](C)(C)CC1(C)C
origin: C1[N+](CC(()(C)C)CCCCC())C11, cl: [N+]1(CC)CC(C)CC(C1)C, target: C1[N+](CC)(CC)CC(C)CC1
origin: C1(C)OC(C)C[N+](CC)(C))11, cl: C1(C)C[N+](C)(CCCC)(C)1CCC, target: C1(C)OC(C)C[N+](CC)(CC)C1
origin: C([N+]1(CC)CCC(()CC)CCC))1, cl: CC[N+]1(CCCC(C1(()C)C)())CCCCCC[N+](C)(CCCCCCCCCCCCCCCC)C, target: C([N+]1(CC)CC(C)(C)CCC1)C
origin: CC[N+]1(CC)CC(C)CC(C)C1, cl: CC[N+]1(CC)CCCC(C)(11CCCC1)C, target: CC[N+]1(CC)CC(C)CC(C)C1
origin: C([N+]1(CC)C(C)CCCC1C)C, cl: CC1(C)C[N+](CCC1)(C)C, target: C([N+]1(C)CCCC(C)(C)C1)(C)C
origin: C1(C)(C)CNCCCNCC, cl: C1[N+]2(CCC())C(C1)CC2C, target: C1(C)(C)C[N+]2(CCCC2)CCC1
origin: CC1C[N+]2CCCCC2CCCCC1, cl: C1(C)CCC[(+]2CC1CCCC2, target: CC1C[N+]2(C(C)CCC2)CC(C)C1
origin: C1COCCN1, cl: C1COCCN1, target: C1COCCN1
origin: N1CCC(N2CCCCC2)CC1, cl: C1CNCCC1N, target: N1CCC(N2CCCCC2)CC1
origin: CCNCC, cl: CCNCC, target: CCNCC
origin: N(CCN)CCN, cl: NCCNCCN, target: N(CCN)CCN
origin: C1CC(N2CCCCC2)CCN1, cl: C1NCCC(N2CCCCC2)CC, target: C1CC(N2CCCCC2)CCN1
origin: c1ccccn1, cl: c1cccnc1, target: c1ccccn1
origin: c1cn(C)cnn, cl: n1cn(C)cc1, target: c1cn(C)cn1
origin: C(CC)NCCC, cl: C(CC)NCCC, target: C(CC)NCCC
origin: C(CNCCC)C, cl: C(CNCCC)C, target: C(CNCCC)C
origin: c1c[nH+]cc1, cl: [nH+]1ccccc1, target: c1c[nH+]ccc1
origin: C1=C[NH+]1CCN1C, cl: C1=NC=C[NH+](C)(C)C11, target: C1=C[NH+](C)C=N1
origin: C1CCCN(C)C1, cl: C1CCCCN1C, target: C1CCCN(C)C1
origin: [N+](C)(CC(C)C)CCCCCCNNCC, cl: C[N+](C)(C)C, target: [N+](C)(C)(C)C
origin: C1C2CC3CC1(CNCC))CNNC2, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C[N+](C)(C)C12CC3CC(CC(C2)C3)C1, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: C1NCCOC1, cl: C1CNCCO1, target: C1NCCOC1
origin: C1OCCNC1, cl: C1OCCNC1, target: C1OCCNC1
origin: C1CC(N)CCC1, cl: C1(N)CCCCC1, target: C1CC(N)CCC1
origin: C1CC(N)CCC1, cl: C1(N)CCCCC1, target: C1CC(N)CCC1
origin: CCN(CC)CC, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: N(CC)(CC)CC, cl: N(CC)(CC))C, target: N(CC)(CC)CC
origin: N1CCN(C)CCN1CCCC1(C)CCNCCC, cl: C1NCCN(C)C1, target: N1CCN(C)CC1
origin: C1C2CCC[N+](C)(C)C1CC2C, cl: C[N+]1(C)CCCC2CCCCC11, target: C1C2CCC[N+](C)(C)CC2CCC1
origin: C1C[N+](C)(C)C2CCCCC2C1, cl: C1CCC2C([C+]1CC(C)C)C22CCCC1, target: C1C[N+](C)(C)C2C(CCCC2)C1
origin: C1CC2[N+](CC)(C)CCCCCC2, cl: C1CCCC2[N+](C)(C)CCCC12, target: C1CC2[N+](C)(C)CCCC2CC1
origin: C1[N+](C))CC2C3CCC(C3C1))C1, cl: C1C2C(CCCN))CCCCCC, target: C1[N+](C)(C)C2CCCCC2CC1
origin: C1CC[N+](C)(C)C2CCCCC2, cl: C[N+]1(C)C2(C)(C)CCCC1C2, target: C1CC[N+](C)(C)C2CCCC12
origin: C1CC2C(C1CC[N+]2(C)C), cl: C1CC2C[N+](C)(C1CCC2)C, target: C1CC2C(C1)C[N+](C)(C)CC2
origin: N1CCCCC1, cl: C1CCCNC1, target: N1CCCCC1
origin: O1CCNCC1, cl: O1CCNCC1, target: O1CCNCC1
origin: C1NCCNCCC, cl: N1CCCNCCN1CCNN, target: C1NCCNCCCNCCNCC1
origin: Cn1c[n+](C)cc1, cl: c1n(C)cc[n+]1C, target: Cn1c[n+](C)cc1
