origin: C1CCCN(C2)CCC1, cl: C1CCN(C2CCCCC2)CC1, target: C1CCCN(C2CCNCC2)C1
origin: C([O-])(CCCCCCC2)cc1, cl: [NH4+].CC(C=C2)[N+](CCC1)(C)C, target: C([O-])(C)=O.[NH4+]
origin: [NH4+].[O+](CC(C)CCCC2)CCCCC1, cl: C(C(=O)[O-])[O+](C)(C)C, target: [NH4+].[O-]C(C([O-])=O)=O.[NH4+]
origin: O=C(O)[O-]1(C)CCCCCC1, cl: [NH4+].C(=O)([O-])=O, target: O=C(O)[O-].[NH4+]
origin: OCCN(C)CCCCC1, cl: CN(CCO)CCO, target: OCCN(C)CCO
origin: C(O)CN(C)CCCC1, cl: C(N(C)CCO)CO, target: C(O)CN(C)CCO
origin: N(CCO)(C)CCCCCC2, cl: CN(CCO)CCO, target: N(CCO)(C)CCO
origin: NCCOCCO, cl: C(COCCO)N(CCO)C, target: NCCOCCO
origin: C(C)(O)CNCC2, cl: OC(C)CNCC(C)O, target: C(C)(O)CNCC(O)C
origin: OCCN(CCO)CC1, cl: C(O)CN(C)CCO, target: OCCN(CCO)C
origin: C(CN(CC)CC)[N+](C)(C)C, cl: C(C)N(CCO)CC, target: C(CN(CC)CC)O
origin: CC(CN)(C)CC1, cl: CC(O)(CN)C, target: CC(CN)(C)O
origin: C1([N+](C)(CCC)CC)CCCC1, cl: C1C([N+](CC)(CC)C(C)CC1)C, target: C1([N+](C)(C)C)CCCCC1
origin: c1ccncc1, cl: c1cnccc1, target: c1ccncc1
origin: CCNCC, cl: N(CC)CC, target: CCNCC
origin: CCNCC, cl: N(CC)CC, target: CCNCC
origin: N(C(C)C)CCN(CCCCO)C1, cl: CC(NC(C)C)C, target: N(C(C)C)C(C)C
origin: C(C)(NC(C)C)c1, cl: CC(NC(C)C)C, target: C(C)(NC(C)C)C
origin: C(CN(C)C)CCCC[N+]1(C)CCCC2, cl: N(CCN(C)C)CC, target: C(CN(C)C)N(C)C
origin: CN(CCN(C)C)CC2, cl: CN(CCN(C)C)C, target: CN(CCN(C)C)C
origin: C1CCCCCN1CCCC2, cl: C1CCCCNC1, target: C1CCCCCN1
origin: [n+]1(CC)ccccc1C, cl: c1n(C)c[n+](c1)CCCC, target: [n+]1(CC)ccn(C)c1
origin: CCCC[n+]1ccccc1, cl: c1[n+](CC)ccn1C, target: CCCC[n+]1cn(C)cc1
origin: CCN(CC)CCCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CCCC2, cl: C(C)N(CC)CCO, target: CCN(CC)CC
origin: C[N+](C)(C)CCC1, cl: CCCCCCCCCCCCCC[N+](C)(C)C, target: C[N+](C)(CCCCCCCCCCCC)C
origin: C(CCCCCCCCC[N+]1(CCC)CCCCCCCCC3)ccc1, cl: C(CCCCCCCCCCC)CCCCCC[N+](C)(C)C, target: C(CCCCCCCCCC[N+](C)(C)C)CCCCC
origin: C1C(N)CCCCCCC[N+]1(C)CCCCC2, cl: C1CCC(N)CC1, target: C1C(N)CCCC1
origin: C1CCCCC1N(C)CCCC1, cl: C1CCCCC1N, target: C1CCCCC1N
origin: C(N(CC)CCCCC2)CCCCCC, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C(N(CC)CCCCC2)c1ccccc1, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C(N(CC)CCCCC2C)c(C)c(C)c(C)c1C, cl: C(N(CC)CC)C, target: C(N(CC)CC)C
origin: C(N(CC)CCCCCCCCCCC[n+](C)cc[n+](C)ccc(C)n(C)c1C)cccc1, cl: C(C)N(CC)CC, target: C(N(CC)CC)C
origin: CCNCC, cl: CCNCC, target: CCNCC
origin: C1(C)(C)CCCC[N+]1(C)CCCC1, cl: C1[N+](C)(CC2C1C1C2C2C3C[N+](C)(CC32)C)C2C1C[N+](C)(C2)C, target: C1(C)(C)CCC[N+](C)(C)C1
origin: CC1(C)C[N+](C)(C)CCC[N+](C)(C)C, cl: C(C)[N@+](CCCCC[N+](CC)(CC)CC)(CC)CC, target: CC1(C)C[N@+](CC)(C)CCC1
origin: C1C[N@@+](C)(CC)CCCC2(C)CC1, cl: C1CCC[N@@2(OCC1)CCCC[N+]2(C)C, target: C1C[N@@+](C)(CC)[C@H](C)CC1
origin: C1C(C)(C)CCC(C)CC[N+](C)(C)CC1, cl: CC1(C)CCC[N+](C1)(C)C, target: C1C(C)(C)C[N@@+]2(C(C)CCC2)CC1
origin: C1CC2[N+](C)(C)CCCCCC1, cl: [N+]1(CC)(CCCC2CC1C2(C)C)C, target: C1CC2[N+](CC)(C)C(C1)CCC2
origin: C1C2[N+](CCCCCC(C)CCCCCCCCCCCCC[n+]2cccc2)CCCCCCC2, cl: C12CCCC(CCC1)[N+]2(C)CCCCCC[N+]1(C2CCC1CCC2)C, target: C1C2[N+](C)(CC)C(C1)CCC2
origin: C1CC2CCC(C)[N+]1(CCCCCC2)CC(C)CCCC1, cl: C12[N+](CCCC(C2(C)C)C1)(C)C, target: C1CC2CCC([N+]2(CC)C)C1
origin: C1C2C[N+](C)(CCCCCCCCCCCCCCC[n+]1cccc2)CCCC1, cl: C1C2C[N+](C)(CC(C)C)CC1CCCC2, target: C1C2C[N+](CC)(C)CC(C1)CC2
origin: C1C2C[N+](CC)(CCCCCCCCC[N+](C)(C)C)CC2, cl: C12CCC(CC1)C[N+](C2)(CC)C, target: C1C2C[N+](C)(CC)CC(CC2)C1
origin: C1C2[N+](CCCCCCCCCCCCCC[n+]2c(C)c(C)n(C)cc2)cccc1, cl: C1N(C)CC2[N+](C)(C)C(C1)CCC2, target: C1C2[N+](C)(CC)CC1CN(C)C2
origin: C1CC2CCC[N+]1(C)CCCC(C)C(C1CC2C)CC1, cl: C1C2CCC1C1C[N+](C)(CC1C2)C, target: C1CC2CCC[N+](C)(C)C1C2
origin: C12CC3CC(C3)C1CC12CCCCC1, cl: [N+]1(C)(CC(CC(C1)C)C)C, target: C12CC3CC(CC(C1)[N+](C)(C)C3)C2
origin: [C@H]12[C+](C)(CCCCCC[N+](C)(C)C)CCCCC1, cl: [N@@+]12(CCC(CC1)CC2)CCCCCC[N+]12CCC(CC2)CC1, target: [C@H]12[C@@H]3CC[C@H](C[N@+]1(C)CCCC2)C3
origin: [N+]1(C)(CCCCCCCC2)CCCCCCCCCCCCCCCCCC[N+]2(CCCCCCCCCCCCCCCCCCCCCCCCC[N+]1(C)CCCCC2)CCCCC1, cl: C1C2CC3[N+](C)(CC)CC(CC(C3)C2)C1, target: [N+]1(C)(CC)CC2CC3CC(C2)CC1C3
origin: C1[N+](C)(CCCCCCCC[N+]1(C)CCCCC2)CCCC1, cl: C1C2[N+](C)(C(CCC2)CC1)CC, target: C1[N+](C)(C)C2CC3CC1CC(C2)C3
origin: C1C2[N+](CCCCCC3)CC[N+](C)(C)CCCCC1, cl: C([N+]1(CCCCC1)C)CCCCC[N+]1(CCCCC1)C, target: C1C2[N+](CC)(C)CC3CC1CC(C2)C3
origin: C(N(CCO)CC)CCCCCCCCC, cl: OCCN(CCO)C, target: C(N(CCO)C)CO
origin: C(O)CN(CCCCCCCC)[n+](C)c1, cl: C(CO)N(CCO)CCO, target: C(O)CN(CC)CCO
origin: C(C)[N+](C)(C)CCCC(C)C1, cl: C(C)[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: N1CCC(CN)CCCCCCCCCCCCCCC[n+]1c(C)cc1, cl: C1C(CN)CCCC1CCNC1, target: N1CCC(CN)CC1
origin: c1ccncc1, cl: c1ncccc1, target: c1ccncc1
origin: C(C)[N+]1(CCCCCCCCCC2)cccc1, cl: C1C2C(C)(C)C1[N+](CC)(C)CCC2C, target: C(C)[N+]1(CC)C2C(C)(C)C(C2)CCC1
origin: OCCN(CCO)CCCCC2, cl: OCCN(CCO)C, target: OCCN(CCO)CCN(CCO)CCO
origin: C[N+](C)(C)CCCCCC1, cl: C1CCC2CCC[N+](C1C2)(C)CC, target: C[N+](C)(C)C1C2CCCC1CCC2
origin: C1C[N+]2(CCCCCC2)CCCC2, cl: C1[N+]2(CCN(C1)CC2)CCCC[N+]12CCC(CC2)CC1, target: C1C[N+]2(CC1)CC1CCC(CC1)C2
origin: C1CC2C=CC(C)CC[N+](CC)CCCCCCCC1, cl: C12C[N+](CC(CC1)CC2)(CC)C, target: C1CC2C=CC1C1C[N+](C)(C)CC21
origin: C12CC3CC(CC3CCCC1)CCCC1, cl: C[N+](C12CC3CC(C1)CC(C2)C3)(C)C, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: C1C2CC3CC(CCC2)CC1CC1, cl: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
origin: [N+](C)(CCCCCCCCCC[N+]2(C)C)CCCCC1, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: [N+](C)(C12CC3CC(C1)CC(C3)C2)(C)C
origin: NCCCN, cl: NCCCN, target: NCCCN
origin: CC[N+](CC)(CC)CCN(CC)C, cl: C([N+](CC)(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: C1C2([N+](C)(C)C)(C)C2, cl: C[N+](C)(C12CC3CC(CC(C1)C3)C2)C, target: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3
origin: C1C2([N+](C)(C)CCCCC2)CCCC1, cl: C[N+](C12CC3CC(C2)CC(C3)C1)(C)C, target: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2
origin: CC[P+](CCCCCCCCCCCCCCCC[N+](C)(C)CCCC1)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C1C2CC3([N+](C)(C)C)(C)C1, cl: C1C2CC3([N+](C)(C)C)CC(CC(C3)C1)C2, target: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
origin: C1CNCCN1CCCCCC2, cl: C(N1CCNCC1)CO, target: C1CNCCN1CCN
origin: C1C2CC3CC(CCC[N+](C)(C)CCC[N+](C)(C)C)CC(C)C2, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: C1C2CC3CC(C)(C)C3CC(C1C2)C1, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
origin: CC[N+](CCCCCCCCCCCCCCCCCCCCCC[N+]1(C)CCCCCC3)CCC1, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C12CC3([N+](C)(C)C)(C)CCC(C)CC1, cl: [N+](C12CC3CC(C1)CC(C2)C3)(C)C, target: C12CC3([N+](C)(C)C)CC(C1)CC(C2)C3
origin: C1C(N)CCCC[N+]1(C)CCCCCC1, cl: C1C(N)CCCC1, target: C1C(N)CCCC1
origin: C1C(N)CCCCC1, cl: NC1CCCCC1, target: C1C(N)CCCC1
origin: C1C2CC3([N+](C)(C)CCCC2)CCC1, cl: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2, target: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
origin: CC[N+](CCCCCC(C)CCCCC[N+](C)(C)C)C, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C(C)CCNC, cl: CNCCCC, target: C(C)CCNC
origin: C(CNCCC)CCCC1, cl: N(CCC)CCC, target: C(CNCCC)C
origin: CCCNCCC, cl: C(NCCC)CC, target: CCCNCCC
origin: CC(NC(C)CC2)CC1, cl: CC(C)NC(C)C, target: CC(NC(C)C)C
origin: C(C)(C)NCC(C)CC1, cl: N(C(C)C)C(C)C, target: C(C)(C)NC(C)C
origin: C(N(CC)CCCC2)CCCCCCCCCCn1ccccc1, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: CC[N+]1(CCCCCCCCC[N+](C)(C)C)CCCC1, cl: CC[N+]1(CC)CC(C)CC(C1)C, target: CC[N+]1(C)CCCCC1C
origin: C1(C)(C)C1CC2CCCCCC[N+]1(C)CCCCCC1, cl: [N+]1(C)(CC(CC(C)C1)C)C, target: C1(C)(C)C[N+](C)(C)CCC1
origin: C1C[N+](C)(C)CCCC2, cl: CC1C[N+](CC)(CC)CC(C1)C, target: C1C[N+](CC)(CC)CC(C)C1
origin: C1(C)C[N+](C)(C)CCC(C)C1, cl: C1(C)OC(C[N+](C)(C)C1)C, target: C1(C)C[N+](CC)(CC)CC(C)O1
origin: CC[N+]1(CC)CCC(C)CCCC1, cl: C(C)[N+]1(CC)CC(C)CCC1, target: CC[N+]1(CC)CC(C)(C)CCC1
origin: CC1C[N+](C)(C)C1CCCCCC1, cl: CC[N+]1(CC)CC2C(C3C=CC2C2C3C[N+](CC)(CC)CC23)C1, target: CC1C[N+](CC)(CC)CC(C)C1
origin: C1C(C)(C)C1, cl: C1[N+](C(CCC1)C)(CC)C, target: C1C(C)(C)CCC[N+]1(C(C)C)C
origin: [N+]12(CCCCCCCCCCC2)CC1, cl: C1CCC(C)(C)C[N+]1(CC)CC, target: [N+]12(CCCC(C)(C)C1)CCCC2
origin: C1[N+]2(C)CCCC2, cl: C1(C)C[N+](C)(C)CC(C1)C, target: C1[N+]2(CC(C)CC1C)C(C)CCC2
origin: C1COCCN1, cl: C1NCCOC1, target: C1COCCN1
origin: C1CCN(C2CCCCC[N+](C)(C)C)(C)C, cl: C1N(C2CCNCC2)CCN1, target: C1CCN(C2CCNCC2)CC1
origin: C(NCC)C, cl: C(C)NCC, target: C(NCC)C
origin: C(CN)NCCN(C)CCCC1, cl: NCCNCCN, target: C(CN)NCCN
origin: N1CCC(N2CCCC2)CCCC1, cl: C1CCCN(C2)C(CO)CCC1, target: N1CCC(N2CCCCC2)CC1
origin: c1ccccn1, cl: c1ncccc1, target: c1ccccn1
origin: n1(C)ccncc1, cl: n1cn(C)cc1, target: n1(C)ccnc1
origin: C(C)CNCCCCCC1, cl: CCCNCCC, target: C(C)CNCCC
origin: C(NCCC)CC[N+](C)(C)C, cl: C(NCCC)CC, target: C(NCCC)CC
origin: c1c[nH+]c1c(C)c(C)n(C)c1, cl: c1c[nH+]c(ccc1)C, target: c1c[nH+]ccc1
origin: N1=C[NH+]2(C)CCCC1, cl: N1=C[NH+](C)CC1, target: N1=C[NH+](C)C=C1
origin: C1CCCCN1CCCCC2)C, cl: N1(C)CCCCC1N, target: C1CCCCN1C
origin: C[N+](C)(C)CCCCC2, cl: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C, target: C[N+](C)(C)C
origin: C1C2CC3CCC(C)C2CC1CCCCC2, cl: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: C[N+](C)(C)CCCC1CC1, cl: C12CC3CC(CC(C2)C3)([N+](C)(C)C)C1, target: C[N+](C)(C)C12CC3CC(CC(C1)C3)C2
origin: C1COCCN1, cl: C1NCCOC1, target: C1COCCN1
origin: C1OCCNC1, cl: C1NCCOC1, target: C1OCCNC1
origin: C1CCCC(N)CCCCCC1, cl: C1C(N)CCCC1, target: C1CCCC(N)C1
origin: C1CCCC(N)CCC1, cl: C1CCC(N)CC1, target: C1CCCC(N)C1
origin: N(CC)(CC)CCCC1, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: CCN(CC)CCCC2, cl: CCN(CC)CC, target: CCN(CC)CC
origin: N1(C)CCNCC(C)C[N+](C)(C)CC1, cl: C1NCCN(C)CCN(CCCN(CCN1C)C)C, target: N1(C)CCNCC1
origin: C1CC2CCCC([N+]2(C)CCCCC2)CCC, cl: C12C[N+](C)(C)CC(CC1)CC2, target: C1CC2CCCCC2C[N+](C)(C)C1
origin: C[N+]1(C)CCCCCCCC, cl: C12CCCCC1CCC[N+]2(C)C, target: C[N+]1(C)CCCC2CCCCC12
origin: C[N+]1(C)CCCCCCC1, cl: [N+]1(C)(C)CC(C)CC(C)C1, target: C[N+]1(C)CCCC2C1CCCC2
origin: C1C[N+](C)(C)CCCC2, cl: C[N+]1(C)CC(C)CC(C)C1, target: C1C[N+](C)(C)C2C(C1)CCCC2
origin: C1C2C([N+](C)(C)CCCCCC2)CCCCC[n+]1cccc1, cl: C1[N+](C)(CC(C)(CC1)C)CC, target: C1C2C([N+](C)(C)CCC2)CC1
origin: [N+]1(C)(CCC)C2CCCC1, cl: C1[N+](C)(CC(CC1C)C)C, target: [N+]1(C)(C)CC2CCCC2CC1
origin: C1CCCNC1, cl: C1CCCCN1, target: C1CCCNC1
origin: C1COCCN1, cl: C1OCCNC1, target: C1COCCN1
origin: C1CNCCCNCCCCCC1, cl: C1CCNCCNC1, target: C1CNCCCNCCNCCCN1
origin: c1n(C)cc[n+](C)cc(C)cc1, cl: c1cn(C)c[n+]1C, target: c1n(C)cc[n+]1C
