origin: C1CCC(C)(C)NC1(C)C, cl: C1CC[N+](C1)(CCCCC[N+]1(C)CCCC1)C, target: C1CNCCC1N1CCCCC1
origin: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2, cl: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, target: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2
origin: C12CCCCC1CCC[N+]2(C)C, cl: OCC[N+](C)(C)C, target: C[N+](C)(CCO)C
origin: C(N(CC)CC)C, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C(C)N(CCO)CC, cl: C1OCCN(CCOCCOCCOCCN2CCOCCOCCOCC2)CCOCCOCCOCCOCC1, target: C1COCCN1
origin: C1CC(N)CCC1, cl: C(C)[N+](C)(C)CC, target: CCCNCCC
origin: CN(CCO)CCO, cl: C1(N)CCCCC1, target: NC1CCCCC1
origin: C(C)N(CC)CC, cl: C1COCCN(CCOCCOCCOCCN1C)CCCCN1CCOCCOCCOCCOCC1, target: N1CCOCC1
origin: C(C)(C)N(CC)C(C)C, cl: N(CCO)(C)CCO, target: CCNCC
origin: C(C)CNCCC, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C(C)(C)(C)N(CC)C(C)C, cl: [N+]1(C)(CCCCC[N+]2(C)CCCC2)CCCC1, target: CC[N+](CC)(CC)CC
origin: C(NCCN)CNCCNCCNCCN, cl: C(CNCCN)NCCN, target: C(CNCCNCCNCCN)N
origin: N(CCN)CCNCCNCCN, cl: C(N)COCCOCCOCCN, target: C(NCCNCCNCCN)CNCCN
origin: C([N+](C)(C)C)CCCCCCCCCCCCCCC, cl: C(CNCCN)NCCN, target: NCCNCCN
origin: C(NCCNCCN)CNCCN, cl: OCCN(CCO)CCN, target: N(CCO)CCN
origin: C(CNCCNCCN)NCCN, cl: C(NCCN)CNCCN, target: C(NCCNCCN)CN
origin: C(N)CNCCNCCNCCN, cl: N(CCN)CCNCCNCCNCCN, target: NCCNCCCNCCN
origin: C(N)CNCCNCCNCCN, cl: N(CCN)CCNCCNCCN, target: C(CNCCNCCCN)CN
origin: C1C([N+](C)(C)C)CCCC1, cl: [N+](C)(C)(C12CC3CC(C1)CC(C2)C3)C, target: C1CC([N+](C)(C)C)CCC1
origin: CC1(C)C2CC1[N+](CC)(CC)CCC2, cl: OCC[N+](C)(C)C, target: [N+](C)(CCO)(C)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: CC[N+]1(CC)C(CCCC1C)C, target: C([N+](CC)(CC)CC)C
origin: C(C)[N+](CC)(CC)CC, cl: C[N+](C)(C)C, target: [N+](C)(C)(C)C
origin: C1N2CN3CN1C[N+](C)(C2)C3, cl: C([N+](CC)(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: C[N+]12CC[N+](C)(CC1)CC2, cl: CCC[N+](CCC)(CCC)CCC, target: CCC[N+](CCC)(CCC)CCC
origin: CC[N+](CC)(CC)CC, cl: [NH+](C)(C)C, target: [NH+](C)(C)C
origin: [O-]C(=O)C.[NH4+], cl: C1N2CN3CN(C2)CN1C3, target: N12CN3CN(C1)CN(C3)C2
origin: CC[N+](CC)(CC)CC, cl: [NH4+].[NH4+].C([O-])(=O)C([O-])=O, target: [NH4+].C(C)([O-])=O
origin: C(C)[N+](CC)(CC)CC, cl: [NH4+].C([O-])(=O)[O-], target: [O-]C(C([O-])=O)=O.[NH4+].[NH4+]
origin: [O-]C(=O)C.[NH4+], cl: C(O)C[N+](C)(C)C, target: [NH4+].C([O-])(O)=O
origin: CC(C)(C)N(CC)C(C)C, cl: OCCN(CCO)C, target: C(N(C)CCO)CO
origin: C(CO)N(CCO)C, cl: C(O)COCCOCCN, target: C(CN(C)CCO)O
origin: C1CCC(N)CC1, cl: OCCN(C)CCO, target: OCCN(CCO)C
origin: C(C)(C)(C)N(C(C)C)C, cl: NCCOCCOCCOCCCN, target: C(COCCN)O
origin: C1CCCC(N)C1, cl: C(NCCOCCO)CO, target: OC(C)CNCC(C)O
origin: C(CO)N(C)CCO, cl: N(CCCCCN(C)C)(C)C, target: OCCN(CCO)C
origin: CN(CCO)CCO, cl: OCCN(CCO)C, target: C(N(CC)CC)CO
origin: CC(C)(N(CC)C(C)C)C, cl: C(N)CCOCCOCCOCCOCCCN, target: C(N)C(C)(C)O
origin: CC1(C)C2CC1CCC[N+]2(C)C, cl: C[N+](C)(C12CC3CC(CC(C3)C2)C1)C, target: C1CC([N+](C)(C)C)CCC1
origin: c1[n+](CC)cn(C)c1, cl: c1ccccc1, target: c1ccncc1
origin: C(C)(C)N(CC)C(C)C, cl: CCNCC, target: CCNCC
origin: CCN(CC)CC, cl: CCNCCC, target: C(C)NCC
origin: CC(N(CC)C(C)C)C, cl: CC(C)N(C(C)C)CC, target: CC(C)NC(C)C
origin: CC(C)(C)CN, cl: C(NC(C)C)(C)C, target: CC(NC(C)C)C
origin: C(CC)NCCC, cl: C(N(C)C)CCCCCN(C)C, target: N(C)(CCN(C)C)C
origin: C(C)N(C(C)C)C(C)C, cl: C(CN(C)C)CCCCN(C)C, target: C(N(C)C)CN(C)C
origin: C(C)(C)(C)N(CC)C(C)C, cl: N1CCNCC1, target: C1CCCCCN1
origin: C(C)(C)N(CC)C(C)C, cl: C(C)[N+](CC)(C)C, target: CC[n+]1ccn(C)c1
origin: C1CC(N2CCCCC2)CCN1, cl: c1n(c[n+](CC)c1)C, target: C(CCC)[n+]1ccn(C)c1
origin: C1C(C)(C)NCCNC(C)CC(C)(C)NCCNC1C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CC(C)N(CC)C(C)C, cl: C(N(CC)CC)CO, target: N(CC)(CC)CC
origin: N(C)(C)CCCCCCN(C)C, cl: C(CCCC[N+]1(C)CCCC1)[N+]1(C)CCCC1, target: [N+](C)(C)(CCCCCCCCCCCC)C
origin: C(C)[N+](CC)(CC)CC, cl: C(CCCCCCCCCCCCC)CC[N+](C)(C)C, target: C(CCCCCC)CCCCCCCCC[N+](C)(C)C
origin: C1CCC(N2CCCCC2)CC1, cl: C1(NCCNC(CC(C)(NCCNC(C)C1)C)(C)C)C, target: NC1CCCCC1
origin: C(CNCCNCCN)N, cl: C1(N)CCCCC1, target: C1(N)CCCCC1
origin: CC1(C)NCCNC(C)CC(C)(C)NCCNC(C)C1, cl: N(CC)(CC)CC, target: C(N(CC)CC)C
origin: C1CCCC(N)C1, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C1CCC(N)CC1, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: C(C)N(CC)CC, cl: C(C)(C)N(CC)C(C)C, target: CCN(CC)CC
origin: Cc1c[n+](C)c(CC)n1C, cl: CCNCC, target: C(C)NCC
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: C[N+]1(C)CCCC2CCCCC2C1, target: C1[N+](C)(C)CC(C)(C)CC1
origin: C12CC3CC(CC([N+](C)(C)C3)C1)C2, cl: C1(C)CC(C)C[N+](C)(C)C1, target: C1[N@+](C)(CC)CC(C)(C)CC1
origin: C1CCC2CCCCC2[N+]1(C)C, cl: C1CC2CCC[N+](C)(C)C2CC1, target: CC[N@+]1(C)CCCC[C@H]1C
origin: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3, cl: C1[N+](C)(C)C2C(CCC2)CC1, target: C1CC[N@@+]2(C1C)CC(C)(C)CCC2
origin: C1C2CC3CC(CC1C[N+]3(C)C)C2, cl: C12CC3CC(C1)CC(C3)(C2)[N+](C)(C)C, target: C1C2[N+](C)(CC)C(CCC2)CC1
origin: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2, cl: CC[N+]1(C)C2CCCC1CC2, target: C1C2CCCC(C1)[N+]2(C)CC
origin: C1CCC2C(C1)CCC[N+](C)(C)C2, cl: CC[N+]1(CC)CC2C3C4C[N+](CC4C(C=C3)C2C1)(CC)CC, target: C12[N+](CC)(C)C(CCC1)CC2
origin: C12CCCC1[N+](C)(C)CCC2, cl: CC[N+]1(CC2C(CCCC2)CC1)C, target: C1C2C[N+](CC)(C)CC(CC2)C1
origin: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, cl: C[N+](C12CC3CC(CC(C3)C1)C2)(C)C, target: C12CCC(C[N+](C)(CC)C1)CC2
origin: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C1N(C)CC2CC1[N+](C)(CC)C2
origin: C1C2CC3CC(CC1C3)[N+](C)(C)C2, cl: C12CCC[N+](C)(C)C1CCC2, target: C1C[N+](C)(C)C2CC(C1)CC2
origin: C1CC2C([N+](C)(C)CCC2)C1, cl: C12C(CCCC2)CCC[N+]1(C)C, target: C1C2CC3CC1CC([N+](C)(C)C2)C3
origin: C1CC2C(CC1)[N+](C)(C)CCC2, cl: [N@@CCCC[N+](C)(C)C, target: C1[C@@H]2C[N@@+]3(C)[C@@H](CCCC3)[C@H](C1)C2
origin: C1C2CC3CC(CC1C3)[N+](C)(C)C2, cl: C12CC3CC(CC(C3)C2)[N+](C)(C1)C, target: C1C2CC3CC1CC([N+](CC)(C)C2)C3
origin: C12([N+](C)(C)C)CC3CC(C1)CC(C2)C3, cl: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, target: C[N+]1(C)C2CC3CC(CC(C3)C1)C2
origin: C12CC3CC(C1)CC([N+](C)(C)C)(C2)C3, cl: C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C, target: C([N+]1(C)CC2CC3CC1CC(C3)C2)C
origin: C(C)N(CC)CC, cl: OCCN(CCO)C, target: C(O)CN(CCO)C
origin: C1CCC(N)CC1, cl: C(CO)N(CCO)C, target: CCN(CCO)CCO
origin: C1CCC(N2CCCCC2)CC1, cl: CC[N+](CC)(C)C, target: CC[N+](CC)(CC)CC
origin: C(CN)(C)N, cl: C1NCCC(CN)C1, target: C1C(CN)CCNC1
origin: N1CCNCC1, cl: c1ccccc1C[N+](C)(C)CCCCCN, target: c1cnccc1
origin: C1C(C)C[N+](C)(C)CC1C, cl: CC1(C2CC1[N+](CCC2C)(C)C)C, target: C1C2CC([N+](CC)(CC)CC1)C2(C)C
origin: C(C)(C)(C)N(CC)C(C)C, cl: C(CN(C)C)CCCCN(C)C, target: C(CN(CCN(CCO)CCO)CCO)O
origin: C1C2CCCC(CC1)[N+]2(CC)C, cl: C1CC2CCC[N+](C)(C2CC1)C, target: C12CCCC(CCC1)C2[N+](C)(C)C
origin: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, cl: C1C[N+](C)(C)C2C(C1)CCCC2, target: C1C[N+]2(CC3CCC(CC3)C2)CC1
origin: C1C2CC3CC(CC1C3)C[N+]2(C)CC, cl: C12CC3CC([N+](C)(C)C)(C1)CC(C2)C3, target: C1CC2C=CC1C1C[N+](C)(C)CC12
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C12CC3CC(C2)CC(C3)(C1)[N+](C)(C)C, target: C12CC3CC([N+](C)(C)C)(CC(C3)C1)C2
origin: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2, cl: C12CC3CC(C1)CC(C2)(C3)[N+](C)(C)C, target: [N+](C)(C12CC3CC(C1)CC(C2)C3)(C)C
origin: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, cl: C1C2CC3CC1(CC(C3)C2)[N+](C)(C)C, target: C[N+](C)(C)C12CC3CC(C1)CC(C2)C3
origin: N1CCNCC1C, cl: NCCCN, target: C(CCN)N
origin: C1CCCC(N2CCCCC2)C1, cl: CC[N+](CC)(C)C, target: CC[N+](CC)(CC)CC
origin: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3, cl: [N+](C)(C12CC3CC(C1)CC(C3)C2)(C)C, target: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3
origin: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2, cl: C12CC3CC(CC([N+](C)(C)C)(C3)C2)C1, target: C12CC3([N+](C)(C)C)CC(C1)CC(C3)C2
origin: C1C(C)C[N+](C)(C)CC1C, cl: CC[P+](CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C, target: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2
origin: C1CNCCN(CCN)C1, cl: C1NCCNCC1, target: C1N(CCN)CCNC1
origin: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2, cl: C1C2CC3CC1CC(C2)([N+](C)(C)C)C3, target: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2
origin: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2, cl: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, target: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1C2CC3CC1CC([N+](C)(C)C3)C2, cl: C[N+]1(C)C2CC(CC(C)(C)C2)(C)C1, target: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3
origin: C1CCCC(N)C1, cl: NC1CCCCC1, target: C1CCCC(N)C1
origin: C1CCCC(N)C1, cl: C1CC(CCC1)N, target: C1CC(N)CCC1
origin: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, cl: [N+](C)(C)(C12CC3CC(CC(C3)C2)C1)C, target: C[N+](C12CC3CC(C1)CC(C3)C2)(C)C
origin: C(N(CCO)CCO)C, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C(C)(C)N(C(C)C)CC, cl: CNCCCCCCCCCCCCCCCCCC[N+](C)(C)C, target: CCCCNC
origin: C1CCCC(N)C1, cl: N(CCO)(CCO)C, target: C(C)CNCCC
origin: C(C)N(CCO)CCO, cl: N(CCO)(CCO)C, target: CCCNCCC
origin: CC(C)(C)N(C(C)C)C, cl: C(NCCN)CO, target: CC(NC(C)C)C
origin: C(CCCCCCCCC)CCCC[N+](C)(C)C, cl: CC(N(C(C)C)CC)C, target: C(C)(C)NC(C)C
origin: C(C)N(CC)CC, cl: C(C)[N+](C)(C)CC, target: C(C)N(CC)CC
origin: CC1(C)CCC[N+](C)(C(C)C)C1, cl: C1CC(C)[N+](C)(CC)C(C1)C, target: [N+]1(C)(CC)CCCCC1C
origin: CC1CCCC(C)[N+]12CCCC2, cl: C[N+]1(C)CC(CC(C)C1)C, target: C[N+]1(C)CC(C)(C)CCC1
origin: C1CCC[N+]12C(C)CCCC2C, cl: CC1CC(C[N+](C)(C)C1)C, target: CC[N+]1(CC)CCCC(C)C1
origin: CC1CCCC(C)[N+]12CCCC2, cl: C1(C)CCCC([N+]1(C)CC)C, target: O1C(C)C[N+](CC)(CC)CC1C
origin: C1C(C)C[N+](CC)(CC)CC1, cl: C1C(C)[N+](C)(C(C)CC1)C, target: C1C[N+](CC)(CC)CC(C)(C)C1
origin: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2, cl: [N+]1(C)(CC)C(CCCC1C)C, target: CC[N+]1(CC)CC(C)CC(C)C1
origin: CC1(C)CCC[N+](C)(C(C)C)C1, cl: C1C[N+](C)(C)CC(C)(C)C1, target: CC1(C)C[N+](C)(C(C)C)CCC1
origin: C1C(C)[N+](C)(CC)C(C)CC1, cl: CC1(C)CCC[N+](C1)(C)C, target: C1CCC(C)(C)C[N+]12CCCC2
origin: [N+]1(C)(C)CCCC(C)(C)C1, cl: [N+]1(CC)(CC(CCC1)C)C, target: CC1C[N+]2(C(C)CCC2)CC(C)C1
origin: C(C)(C)(C)N(CC)C(C)C, cl: C1CNCCO1, target: O1CCNCC1
origin: C1CCCCC1N, cl: C1CCCC(N)C1, target: C1CCN(C2CCNCC2)CC1
origin: CC(C)(C)N(CC)C(C)C, cl: C(NC(C)C)(C)C, target: CCNCC
origin: C(N(C(C)C)C(C)C)C, cl: C(NCCN)CN, target: C(CN)NCCN
origin: CC(C)N(C(C)C)CC, cl: C1CNC(C)CC(C)(NCCNC(CC(N1)(C)C)C)C, target: N1CCC(N2CCCCC2)CC1
origin: c1cnccn1, cl: n1ccccc1, target: c1cnccc1
origin: C1=CN=C[NH+]1C, cl: c1nccn1C, target: Cn1ccnc1
origin: C1C(C)(C)NCCNC(C)CC(C)(C)NCCNC1C, cl: CCCNCCC, target: N(CCC)CCC
origin: C1CC(C)(C)NCCNC(C)CC(C)(C)N1C, cl: CCCNCCC, target: N(CCC)CCC
origin: C1=C[NH+](C)C=C1, cl: c1cccnc1, target: c1c[nH+]ccc1
origin: c1cc(C[n+]2ccn(C)c2)ccc1, cl: C1=C[NH+](C)C=C1, target: C1=NC=C[NH+]1C
origin: C1CCCCC1N, cl: C1CN(C)CCN(C)CCN(CCN(C)CCN1C)C, target: N1(C)CCCCC1
origin: C(C[N+](C)(C)C)CCCCCC[N+](C)(C)C, cl: C[N+](CCCCCC[N+](C)(C)CC)(C)C, target: C[N+](C)(C)C
origin: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3, cl: C[N+](C)(C12CC3CC(CC(C3)C2)C1)C, target: C[N+](C12CC3CC(CC(C3)C1)C2)(C)C
origin: C[N+](C12CC3CC(C1)CC(C2)C3)(C)C, cl: C1C2CC3CC1(CC(C2)C3)[N+](C)(C)C, target: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C
origin: C1CCCCC1N, cl: C1NCCNC(C)(CC(C)NCCNC(C1)(C)C)C, target: O1CCNCC1
origin: C1CCCCC1N, cl: C1CNCCO1, target: C1OCCNC1
origin: C(CO)N(CCO)C, cl: C1CCCC(C1)N, target: C1CC(N)CCC1
origin: C1CCC(N)CC1, cl: NC1CCCCC1, target: C1CC(N)CCC1
origin: C(CNCCNCCNCCN)N, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C(CNCCNCCN)N, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C1CNCCNC1, cl: C1CN(C)CCN(C)CCN(CCN(CCN(C)CCN1C)C)C, target: C1N(C)CCNC1
origin: C1C2C(CCC1)CCC[N+](C)(C)C2, cl: C1C2CC3CC(C2)[N+](C)(CC1C3)CC, target: C12CCCCC1C[N+](C)(C)CCC2
origin: C12CC3CC(CC(C1)C3)C[N+]2(C)C, cl: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2, target: C1CCC2C(CCC[N+]2(C)C)C1
origin: C1C2C(CCC1)CCC[N+]21CCCC1, cl: C1CC2CCCC2C[N+](C)(C)C1, target: C1CCCC2CCC[N+](C)(C)C12
origin: C12CC3CC(CC(C1)C3)C[N+]2(C)CC, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C[N+]1(C)C2CCCCC2CCC1
origin: C1CCC2CCCC2[N+]1(C)C, cl: C1C[N+](C2CC(CC(C2)C)C)(C)CC1, target: C12CCCC1[N+](C)(C)CCC2
origin: C1CC2C(CCCC2)[N+](C)(C)C1, cl: C1C2CC3CC1CC(C2)([N+](C)(C)C)C3, target: C[N+]1(C)CCC2C(CCC2)C1
origin: C1C(C)NCCNC(C)(C)CC(C)NCCNC1(C)C, cl: C1CCNC(C)CC(C)(NCCNC(C)CC(C)(C)CC(C)N1)C, target: N1CCCCC1
origin: C1CNC(C)(C)CC(C)NCCNC(C)(C)CC(C)N1, cl: C1NCCNC(CC(C)(C)NCCNC(C)CC(C)NC1)C, target: C1COCCN1
origin: C1(C)NCCNC(C)(C)CC(C)NCCNC(C)(C)C1, cl: N1CCNC(CC(C)(C)NCCNC(CC1(C)C)C)C, target: N1CCCNCCNCCCNCC1
origin: C(C)[n+]1ccn(C)c1, cl: c1c[n+](C)c(n1C)C, target: n1(C)c[n+](C)cc1
