origin: C1C(NCCNC(C)(C)CC(C)NCCNC1(C)C)C, cl: C(CC)[n+]1c(C)n(C)c(c1C)C, target: C1N(C2CCNCC2)CCCC1
origin: [N+]1(CC)(C(CCCC1C)C)CC, cl: N1(CCCC1)Cc1c(F)cccc1, target: C(C)[N+]1(CC)CC(C)CC(C)C1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1CCN(C1)Cc1ccccc1, target: C12CC3CC([N+](C)(C)C)(C1)CC(C2)C3
origin: C1CCC(C)(C)[N+](C1(C)C)(C)CC, cl: c1n(cc[n+]1CCCC)C, target: C1C([N+](CC)(C)C)CCCC1
origin: C(CC)CCCCCCCCCCCCC[N+](C)(C)C, cl: c1(ccccc1)CN1C(CO)CCC1, target: C([N+](CC)(CC)CC)C
origin: C1[N+](C)(CCCCC[N+]2(C)CCCC2)CCC1, cl: C(C)(N(CC)C(C)C)C, target: C1CNCCO1
origin: C1NCCNC1, cl: c1c(C)n(c[n+]1CC)C, target: N1CCOCC1
origin: C(NCC)C, cl: OC(C(NC)C)c1ccccc1, target: C(N(CC)CC)C
origin: C1CC(N)CCC1, cl: c1cccc(c1)C[n+]1ccn(C)c1C, target: C([N+](CC)(CC)CC)C
origin: N1CCN(CCN(C)CCN(C)CCN(C)CCN(CC1)C)C, cl: c1ccc(CN2CCCC2)cc1F, target: C1CCC(N)CC1
origin: CC1CC(C)(NCCNC(C)CC(NCCN1)(C)C)C, cl: C1CCCCC1N(C1CCCCC1)C, target: C1C(N)CCCC1
origin: CC1C[N+](CC)(CC(C1)C)CC, cl: C(c1ccccc1)N1CCCC1, target: C12C=CC(C3C[N+](CC)(CC)CC13)C1C2C[N+](CC)(CC)C1
origin: Cc1n(c([n+](C)c1)C)C, cl: C(C)CN(CCC)CCC, target: n1(C)cncc1
origin: c1c[n+](CC)cn1C, cl: C(N(CC)CC)C, target: c1ccncc1
origin: c1[n+](c(n(c1)C)C)C, cl: c1ccc(C(O)C(NC)C)cc1, target: n1ccc(C)cc1
origin: Cc1n(c(c(C)[n+]1C)C)C, cl: C1(N(C)C2CCCCC2)CCCCC1, target: n1(C)c[n+](CC)cc1
origin: C(O)C1CCCN1Cc1ccccc1, cl: C1CCC2C3C[N+]4(C)C(C(CN2C1)C3)CCCC4, target: [N+](CC)(CC)(CC)CC
origin: C1C[N+](CC1)(CCCCC[N+]1(CCCC1)C)C, cl: C(N(CC)CC)C, target: C1CCCC(N)C1
origin: C12CC3CC(CC(C3)C2)C[N+]1(C)C, cl: c1cc(cc(c1)F)CN1C(CO)CCC1, target: [N+](C)(C)(CCO)C
origin: C12CC3([N+](C)(C)C)CC(CC(C2)C3)C1, cl: c1(c(CN2CCCC2)cccc1)F, target: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2
origin: C1C2CC3CC(C2)([N+](C)(C)C)CC1C3, cl: c1ccc(C(O)C(C)NC)cc1, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
origin: c1c(C)n(c(C)[n+]1C)C, cl: c1(C)n(C)cc[n+]1CCCC, target: c1c(C)n(C)c(CC)[n+]1C
origin: Cn1c(C)c[n+](C)c1C, cl: c1ccc(cc1)C(O)C(NC)C, target: n1(C)c(C)c[n+](C)c1CC
origin: C1([N+](C)(CCCC1)C)CC, cl: CCCN(CCC)CCC, target: C[N+](C)(CCO)C
origin: CC1[N+](C(C)CCC1)(C)C, cl: C1C(CO)N(Cc2ccccc2)CC1, target: C(C)[N+](CC)(CC)CC
origin: C1C(C)C[N+](C)(CC1C)C, cl: C(N(CC)CC)C, target: C1CCCCC1[N+](C)(C)CC
origin: c1n(C)c([n+](c1)C)C, cl: C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C, target: N1CCOCC1
origin: C(CC[N+](C)(C)C)CC[N+](C)(C)C, cl: C1CCC(CO)N1Cc1ccccc1, target: CC[N+](CC)(CC)CC
origin: C(CC)N(CCC)CCC, cl: C1N(CCC1)Cc1ccccc1, target: C(C)NCC
origin: C(CN)NCCNCCN, cl: CN(C)C(N(C)C)=N, target: N(CCN)CCN
origin: C(CCN(CC)CC)N(CC)CC, cl: c1(F)ccc(C[N+](C)(C)Cc2ccccc2)cc1, target: NCCNCCN
origin: C(C)C1NCCCC1, cl: c1c(cccc1)C[N+](C)(Cc1ccc(F)cc1)C, target: OCCNCCN
origin: N(CC)(CC)CC, cl: C1N(Cc2ccccc2)CCC1, target: C(CO)NCCN
origin: N(CC)(CC)CC, cl: C1(CO)N(CCC1)Cc1ccccc1, target: NCCNCCNCCN
origin: CN(CC)CC, cl: C1CC(N(C2CCCCC2)C)CCC1, target: C(CCNCCNCCCN)N
origin: C1CC(N)CCC1, cl: C1CCC(CC1)N(C)C1CCCCC1, target: NCCCNCCNCCCN
origin: C(NCC)C, cl: C(C)(C)N(CC)C(C)C, target: C(NCCNCCNCCN)CN
origin: C(NCCNCC(N)C)(C)C, cl: C1C2CC3CC1CC(C3)C2n1c[n+](C24CC5CC(CC(C5)C3)C2)cc1, target: N(CCNCCNCCN)CCN
origin: C(NCCNCCN)CN, cl: C(C(O)c1ccccc1)(NC)C, target: N(CCNCCNCCNCCN)CCN
origin: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2, cl: C(N(CC)CC)C, target: C[N+](C)(C12CC3CC(C1)CC(C3)C2)C
origin: C1C2CC3CC(C2)(CC1C3)[N+](C)(C)C, cl: C1(N(Cc2ccccc2)CCC1)CO, target: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2
origin: C1CCCC2[N+](C)(C)CCCC21, cl: c1cccc(c1)C(C(NC)C)O, target: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C
origin: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C, cl: C1(CO)N(CCC1)Cc1ccccc1, target: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2
origin: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, cl: C1CCN(CCN(CCCN(CCN1C)C)C)C, target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: C1C2CC3CC1CC(C2)(C3)n1c[n+](C23CC4CC(C3)CC(C4)C2)cc1, cl: c1ccc(C[N+](Cc2ccccc2)(C)C)cc1, target: OCC[N+](C)(C)C
origin: C1CCCC(C1)N, cl: C1N(Cc2ccccc2)CCC1, target: C(N(CC)CC)C
origin: C(C)CN(CCC)CCC, cl: C1N(CCC1)Cc1cccc(F)c1, target: C1OCCNC1
origin: C(NCCC)CC, cl: C(N(CC)CC)C, target: CCCNCCC
origin: C(C)(N(CC)C(C)C)C, cl: C1CCC(CC1)N(C1CCCCC1)C, target: C1CC(N)CCC1
origin: C1CC[N+](C)(CCCCC[N+]2(C)CCCC2)C1, cl: N1(Cc2ccccc2)CCNCCOCC1, target: N1CCOCC1
origin: CCCC[N+]1(C)CCCC1, cl: C12CC3CC(CC(C2)C3)(C1)[N+](C)(C)C, target: C(NCC)C
origin: C(C)[N+](CC)(CC)CC, cl: c1(C)cn(C(C)C)c[n+]1C, target: C(C)N(CC)CC
origin: C(CCCC[N+](C)(C)C)CCCCCCCCCCC, cl: C1CCCC2[N+]1(C)CC1CC2CN2C1CCCC2, target: CC[N+](CC)(CC)CC
origin: C(CNCCNCCN)NCCN, cl: c1cccc(C(O)C(N(C)C)C)c1, target: C(NCCNCCN)CNCCN
origin: C1CCCNCC1, cl: C1CN(Cc2ccccc2F)CC1, target: C(CNCCNCCN)NCCNCCN
origin: C(NCCNCCN)NCCN, cl: C1N(Cc2ccccc2)C(CO)CC1, target: C(NCCN)CN
origin: C(CCNCCNCCNCCN)N, cl: C1(CCCCC1)N(C1CCCCC1)C, target: OCCNCCN
origin: C(CCC)NCCCCCN, cl: C(C1NCCNC1)N, target: C(CN)NCCNCCN
origin: NC(C)CCCCCCCCCCCCCCC[N+](C)(C)C, cl: C1N(CCN(CCN(CCN(C)CCN(CCN(C1)C)C)C)C)C, target: N(CCN)CCCNCCN
origin: C(CNCCNCCN)NCCNCCN, cl: c1ccc(F)c(c1)CN1CCCC1, target: C(NCCNCCCN)CCN
origin: C1CCC(C)[N+](C1C)(C)C, cl: C(C)CC[n+]1ccn(c1C)C, target: C1([N+](C)(C)C)CCCCC1
origin: C1CCCC(C)C[N+]1(C)C, cl: C1C(N(C2CCCCC2)C)CCCC1, target: C(CO)[N+](C)(C)C
origin: C1CC(C)CC[N+](C1)(C)CC, cl: C(CC)N(CCC)CCC, target: CC[N+](CC)(CC)CC
origin: C1CC[N+]2(CC[N+]13CCC(CC3)CC2)C, cl: C1C(N(C2CCCCC2)C)CCCC1, target: C[N+](C)(C)C
origin: [NH4+].C(C)(C)C, cl: c1c(cc(CN2CCCC2)cc1)F, target: C([N+](CC)(CC)CC)C
origin: C1C[N+]2(CC[N+]1(C)CC2)C, cl: C1(N(Cc2ccccc2)CCC1)CO, target: C(C)C[N+](CCC)(CCC)CCC
origin: C([N+](CC)(CC)CC)C, cl: CCC[N+](CCC)(CCC)CCC, target: [NH+](C)(C)C
origin: [NH4+].[O-].C([O-])=O, cl: C1CCCN2CC3CC(C21)C[N+]1(CCCCC13)C, target: C1N2CN3CN(C2)CN1C3
origin: C1[N+]2(CC[N+](CC2)(C)C1)C, cl: c1(ccncc1)N1CCCC1, target: [NH4+].CC(=O)[O-]
origin: [NH4+].[NH4+].[O-]C(C1)C, cl: c1c(C(C(NC)C)O)cccc1, target: C(C(=O)[O-])([O-])=O.[NH4+].[NH4+]
origin: [NH4+].[O-].[O-], cl: c1ccc(C[n+]2cn(C)cc2)cc1, target: C([O-])(O)=O.[NH4+]
origin: C(CCCCCCCCCCC)CCCCC[N+](C)(C)C, cl: C1C2CC3CC1CC(C3)C[N+]2(C)CC, target: C(O)CN(CCO)C
origin: CCCCN(CCC)CCC, cl: c1ccc(cc1F)CN1CCCC1, target: OCCN(C)CCO
origin: CC(C)N(C(C)C)CC, cl: C1CCN(Cc2cccc(c2)F)C1, target: C(CO)N(CCO)C
origin: C(CCCCCCCCCCCC)CCCCC[N+](C)(C)C, cl: [n+]1(CCCC)cn(C)cc1, target: C(CN)OCCO
origin: C(C)CN(CCC)CCC, cl: C(CC[n+]1c(n(C)cc1)C)CC, target: CC(O)CNCC(O)C
origin: C1CCCC(C1)N, cl: C1CC(N(Cc2cccc(F)c2)C1)CO, target: CN(CCO)CCO
origin: C(CCCCCC)CCCCCCCCCCC[N+](C)(C)C, cl: C1C2CC3CC1CC(C3)C2[N+](C)(C)C, target: C(O)CN(CC)CC
origin: C(CCCCC[N+](C)(C)C)CCCCCCCCCCCCC, cl: c1cc(ccc1)C[n+]1ccn(C)c1C, target: NCC(C)(C)O
origin: C1CC(C)[N+](CC1)(C)C, cl: C(N(CC)CC)C, target: [N+](C)(C1CCCCC1)(C)C
origin: c1cn(C)c[n+]1CC, cl: C12CC3CC(C1)CC(C3)(C2)[N+](C)(C)C, target: c1cccnc1
origin: C(CCCCCCCCCCCCC)CCCCCCC[N+](C)(C)C, cl: C1N(Cc2ccccc2F)CCC1, target: C(C)NCC
origin: (N(CC)CC)C, cl: C1CCCNCC1, target: C(C)NCC
origin: C(CCCCCCCCCCCCCC)CCCC[N+](C)(C)C, cl: C1C(N(Cc2ccccc2)CC1)CO, target: CC(NC(C)C)C
origin: C(CN)NCCNCCN, cl: C(C(C)NC)(O)c1ccccc1, target: C(C)(NC(C)C)C
origin: C(CCCCCCCCCC)CCCCCCC[N+](C)(C)C, cl: c1c[n+](CC)cn1C, target: C(N(C)C)CN(C)C
origin: C(C)(N(C(C)C)CC)C, cl: C1N2C(C3CC(C2)C2CCCC[N+]2(C)C3)CCC1, target: C(N(C)C)CN(C)C
origin: C1C[N+]2(CCCC[N+]34CCC(CC3)CC4)CCC1CC2, cl: C(C)CN(CCC)CCC, target: C1NCCCCC1
origin: C1CCC[N+](CCCCC[N+]2(C)CCCC2)(C)C1, cl: c1cccc(c1)C(O)C(NC)C, target: C(C)[n+]1cn(C)cc1
origin: C1CCC(CC1)N, cl: n1(cc[n+](CCCC)c1C)C, target: Cn1cc[n+](CCCC)c1
origin: C(C)(C)N(C(C)C)CC, cl: C1CCC(CO)N(Cc2ccccc2)C1, target: CCN(CC)CC
origin: C(CCCCC[N+](C)(C)C)CCCCCCCCC, cl: C(C(c1ccccc1)O)(C)N(C)Cc1ccccc1, target: CCN(CC)CC
origin: C(N(CC)C(C)C)(C)C, cl: C(CO)(N(C)C)c1ccccc1, target: C(CC)CCCCCCCCC[N+](C)(C)C
origin: C(C[N+]1(C)CCCC1)CCC[N+]1(C)CCCC1, cl: C(CC)N(CCC)CCC, target: C(CCCCCCCC)CCCCCCC[N+](C)(C)C
origin: CC1(CC(NCCNC(CC(NCCN1)(C)C)C)(C)C)C, cl: C(CC)C[n+]1ccn(c1C)C, target: C1C(N)CCCC1
origin: C(C)(N(C(C)C)CC)C, cl: [N+](C)(Cc1ccccc1)(Cc1ccccc1)C, target: C1C(N)CCCC1
origin: C(CCC[n+]1cn(C)cc1)[n+]1ccn(c1)C, cl: c1cc(ccc1)C(O)C(N(C)Cc1ccccc1)C, target: CCN(CC)CC
origin: C1(C)NCCNC(C)CC(C)(C)NCCNC(C)(C)C1, cl: C(C(NC)C)(c1ccccc1)O, target: CCN(CC)CC
origin: C1CCNCCC1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C(CCCCN)CN, cl: C(C)N(CC)CC, target: C(C)N(CC)CC
origin: c1c[n+](c(C)n1C)C, cl: c1cc(F)cc(c1)CN1CCCC1, target: C(NCC)C
origin: C[N+]1(C)C2CCC(C3CCC2C3)C1, cl: c1ccc(CN2CCCC2)cc1F, target: C[N+]1(C)CC(C)(C)CCC1
origin: CC1(CCC[N+](C)(C)C1)C, cl: C(C)CN(CCC)CCC, target: C1CC(C)(C)C[N@@+](C)(CC)C1
origin: C1CC2CCCCC2[N+](C)(C1)C, cl: C1CCNCCC1, target: C([N@@+]1(C)[C@H](C)CCCC1)C
origin: C12CCCCC1C[N+](CC)(CC)CC2, cl: C(C)[N+]12CCCCC2CC2CC1CN1CCCCC21, target: CC1(C)C[N@@+]2(C(C)CCC2)CCC1
origin: C12([N+](C)(C)C)CC3CC(C2)CC(C3)C1, cl: C1CCC(N(C2CCCCC2)C)CC1, target: [N+]1(C)(CC)C2CCCC1CCC2
origin: C12CC3CC(CC(C3)(C1)[N+](C)(C)C)C2, cl: C(C)CN(CCC)CCC, target: CC[N+]1(C)C2CCC1CCC2
origin: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2, cl: CC(C(c1ccccc1)O)NC, target: C1CC2CCCC1[N+]2(C)CC
origin: CC1CC(C)C[N+](C1)(C)C, cl: C1CC(CO)N(Cc2ccccc2)C1, target: C12CCC(CC1)C[N+](CC)(C)C2
origin: [N+](C12CC3CC(C1)CC(C3)C2)(C)(C)C, cl: C([n+]1ccn(C)c1C)CC, target: C1C2CCC(C[N+]1(C)CC)CC2
origin: CC1CC(C)C[N+](C1)(C)C, cl: C1(N(C2CCCCC2)C)CCCCC1, target: [N+]1(CC)(C)CC2CC1CN(C)C2
origin: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, cl: C1C(CO)N(Cc2ccccc2)CC1, target: C1CC2CC1CCC[N+]2(C)C
origin: C1CCC2C([N+](CCC2)(C)C)C1, cl: C(C(NC)C)(c1ccccc1)O, target: [N+]1(C)(C)CC2CC3CC1CC(C3)C2
origin: C12CC3CC(CC(C3)C2)C[N+]1(C)C, cl: C1CCCCN1Cc1c(F)cccc1, target: C1CCC[C@H]2[C@@H]3CC[C@H](C[N@+]12C)C3
origin: C1C2CC3CC1CC(C2)C[N+]3(CC)C, cl: c1(F)cccc(c1)C[N+](Cc1cc(F)ccc1)(C)C, target: C12CC3CC(CC(C1)C3)[N+](C)(CC)C2
origin: C1CC2C[N+](CCCC2CC1)(C)C, cl: C1CCCN2C1C1C[N+]3(CCCCC3C(C2)C1)C, target: C1C2CC3CC1[N+](C)(C)CC(C3)C2
origin: C12CC3CC(CC(C3)(C1)[N+](C)(C)C)C2, cl: C1CC(CCC1)N(C)C1CCCCC1, target: C1[N+](C)(CC)C2CC3CC1CC(C3)C2
origin: C(C)CNCCC, cl: c1c(CN2CCCC2)cccc1F, target: N(C)(CCO)CCO
origin: C(C)CNCCC, cl: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C, target: OCCN(CC)CCO
origin: C1CN(C)CCN(CCN(C)CCN(C)CCN(C)CCN1C)C, cl: CCCC[n+]1ccn(C)c1C, target: C([N+](CC)(CC)CC)C
origin: C1C(N)CC2CC1CC2, cl: c1ccccc1C(O)C(C)NC, target: C1CNCCC1CN
origin: C(C)(N)CC, cl: c1c(cccc1)CN1C(CO)CCC1, target: c1ncccc1
origin: C1[N+](CC(CC1C)C)(C)C, cl: C1CC(N(C2CCCCC2)C)CCC1, target: C1(C)(C)C2CC1CCC[N+]2(CC)CC
origin: C([N+](CC)(CC)CC)C, cl: c1c(cccc1)C[N+](C)(C)Cc1c(cccc1)F, target: C(CO)N(CCO)CCN(CCO)CCO
origin: [N+]1(CC2CCC(CC2)C1)(C)CC, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C1CCC2C([N+](C)(C)C)C1CCC2
origin: C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C1C2CCC(C[N+]13CCCC3)CC2
origin: C12CCC(CC2)C[N+](C)(C1)C, cl: c1c(CN2C(CO)CCC2)cccc1, target: C1C2C(C[N+]1(C)C)C1CCC2C=C1
origin: C1C2CCCC(C3CC[N+](C)(C3)C)C12, cl: C1CCCC2C3CC(CN21)C1[N+](C3)(CCCC1)C, target: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2
origin: C12CC3CC(C2)CC(C3)(C1)[N+](C)(C)C, cl: CCCN(CCC)CCC, target: C12CC3([N+](C)(C)C)CC(C1)CC(C2)C3
origin: C12CC3CC(C1)CC(C3)(C2)[N+](C)(C)C, cl: N(CC)(CC)CC, target: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C
origin: C1CCNC(C1)C, cl: C1N(CCCC1)Cc1ccccc1, target: C(CCN)N
origin: C(CCCC[N+]1(C)CCCC1)[N+]1(C)CCCC1, cl: C1CCCC(C1)N(C1CCCCC1)C, target: CC[N+](CC)(CC)CC
origin: C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2, cl: C1C2N(CCC1)CC1CC2C[N+]2(C)C1CCCC2, target: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C
origin: C1C2CC3CC1(CC(C3)C2)[N+](C)(C)C, cl: C1C2C3CC(C[N+]1(C)CC)C1CCCCN1C2, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: C1(C)C[N+](C)(CC(C1)C)C, cl: C1CCCCC1N(C1CCCCC1)C, target: CC[P+](CC)(CC)CC
origin: C[N+](C12CC3CC(CC(C3)C2)C1)(C)C, cl: C(CC)NCCC, target: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2
origin: C(CC[N+]1(CCCC1)C)C[N+]1(C)CCCC1, cl: c1(ccccc1)CN1CCCCC1, target: NCCN1CCNCC1
origin: C12CC3CC(CC(C1)C3)(C2)[N+](C)(C)C, cl: C(C)C[N+](CCC)(CCC)CCC, target: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: c1cc(C(O)C(NC)C)ccc1, target: C12([N+](C)(C)C)CC3CC(C1)CC(C3)C2
origin: C12CC3CC(C2)CC(C3)(C1)[N+](C)(C)C, cl: C1CCC2N(C1)CC1CC2C[N+]2(C)C1CCCC2, target: C(C)[N+](CC)(CC)CC
origin: C[N+]1(CCCC2CCCCC21)C, cl: c1c(CN2CCCC2)cccc1, target: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C
origin: C(NC(C)(C)C)(C)C, cl: C1N(CCC1)Cc1ccccc1, target: C1CCC(N)CC1
origin: N(CC)(CC)CC, cl: C[N+](C)(C)C1C2CC3CC(C2)CC1C3, target: NC1CCCCC1
origin: C12CC3CC(CC(C2)([N+](C)(C)C)C3)C1, cl: c1c(cccc1)C(O)C(C)NC, target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: C(CC[N+]1(C)CCCC1)C[N+]1(C)CCCC1, cl: C(CC)N(CCC)CCC, target: C([N+](CC)(CC)CC)C
origin: C(C)CNCCC, cl: C(N(CC)CC)C, target: CNCCCC
origin: C(C)CCN(CCC)CCC, cl: N(C)CC(c1ccccc1)O, target: N(CCC)CCC
origin: C1CC[N+](CCCCC[N+]2(CCCC2)C)(C1)C, cl: c1cc(ccc1)C(O)C(NC)C, target: C(CC)NCCC
origin: C(CO)N(CC)CCO, cl: c1(F)cccc(CN2CCCC2)c1, target: C(C)(C)NC(C)C
origin: C(CCCCCCCCCCCCCCCC)[N+](C)(C)C, cl: C(C)(C(N(CC)C)C)c1ccccc1, target: N(C(C)C)C(C)C
origin: C(C)[N+](CC)(CC)CC, cl: C1C(N(Cc2ccccc2)CC1)CO, target: C(C)N(CC)CC
origin: C12CC3CC(CC(C3)C2)(C1)[N+](C)(C)C, cl: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, target: C1CC[N+](C)(CC)C(C)C1
origin: C1(C)CC(C[N+](C)(C)C1)C, cl: C1C(CO)N(Cc2ccccc2)CCC1, target: C1C[N+](C)(C)CC(C)(C)C1
origin: CC1(C)C[N+](CCC1)(C)CC, cl: CCN(CC)CC, target: CC1C[N+](CC)(CC)CCC1
origin: C1CCC([N+](C1C)(CC)CC)C, cl: C1CCCN1Cc1ccc(F)cc1, target: C1(C)OC(C)C[N+](CC)(CC)C1
origin: C1CC[N+]2(CC(CC(C)C2)C)C1, cl: C1CC(N(C2CCCCC2)C)CCC1, target: C1C(C)(C)C[N+](CC)(CC)CC1
origin: C1CCC(C)(C[N+]1(CC)C)C, cl: C(C)(N(CC)C(C)C)C, target: CC1CC(C)C[N+](CC)(CC)C1
origin: C1CC(C)C[N+](C1C)(CC)C, cl: c1cccc(CN2CCCC2CO)c1, target: C1C[N+](C(C)C)(C)CC(C)(C)C1
origin: C1CC(C)(C)C[N+](CC)(C1)CC, cl: N(C(C(c1ccccc1)O)C)C, target: CC1(C)CCC[N+]2(C1)CCCC2
origin: C1(C)CC(C[N+](C)(C)C1)C, cl: C1CCCN1Cc1cccc(F)c1, target: [N+]12(CC(C)CC(C)C1)CCCC2C
origin: C1(C)NCCCC1, cl: CC(CN(C)C)N(C)C, target: N1CCOCC1
origin: C([N+]1(C)CCCC1)CCC[N+]1(C)CCCC1, cl: C(CN(CCO)CC)N(C)C, target: C1CN(C2CCNCC2)CCC1
origin: C([N+](C)(C)C)CCCCCCCCCCCCCCC, cl: C1CCCN1Cc1ccccc1, target: CCNCC
origin: CC1(C)CCCCC1, cl: c1ccc(CN2CCCC2)cc1F, target: NCCNCCN
origin: C1C(N)CCCC1, cl: C1CN(CCC1)Cc1ccccc1, target: C1CN(C2CCNCC2)CCC1
origin: c1[nH+](cn1C)C, cl: C(CN(CCO)CCO)O, target: c1cnccc1
origin: c1[nH]ccn1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: n1cn(C)cc1
origin: N(CC)(CC)CC, cl: [n+]1(C)c(C)n(C)cc1, target: CCCNCCC
origin: C1(C)CC(NCCNC(C)(CC(C)NCCN1)C)(C)C, cl: c1cccc(C[n+]2ccn(C)c2C)c1, target: CCCNCCC
origin: c1nccn1C, cl: c1ccc(CN2CCCC2)cc1F, target: c1cc[nH+]cc1
origin: c1nc[nH]1, cl: C1C2C3[N+](CCCC3)(CC1C1N(C2)CCCC1)C, target: [NH+]1(C)C=CN=C1
origin: C1CC[N+](C1)(C)CCCC[N+]1(CCCC1)C, cl: C1CCN(Cc2ccccc2)C1CO, target: C1CCCCN1C
origin: C([N+](CCCCC[N+](C)(CC)CC)(CC)CC)C, cl: C1CCC(CC1)N(C1CCCCC1)C, target: C[N+](C)(C)C
origin: C1C2CC3(CC(C2)CC1C3)[N+](C)(C)C, cl: c1ccc(CN2CCCC2CO)cc1, target: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C
origin: C12([N+](C)(C)C)CC3CC(C2)CC(C1)C3, cl: c1(c(C)[n+](c(n1C)C)C)C, target: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2
origin: c1n(C)c[n+](c1)C(C)C, cl: C(C1N(Cc2ccccc2)CCC1)O, target: C1OCCNC1
origin: C(CCCCCN)N, cl: c1c(CN2C(CO)CCC2)cccc1, target: O1CCNCC1
origin: C(C)CCCNCCCCC, cl: C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C, target: C1CCCCC1N
origin: C(NCC)C, cl: c1(C)ccccc1C(O)C(NC)C, target: C1C(N)CCCC1
origin: N(CC)(CC)CC, cl: c1(c(F)cccc1)CN1CCCC1, target: CCN(CC)CC
origin: C1C(CCCC1)N, cl: C1CCCN1Cc1cccc(c1)F, target: CCN(CC)CC
origin: C1N(C)CCN(C)CCCN(C)CCN(C)C1, cl: C1CCCC2C3CC(C[N+]12C)C1N(C3)CCCC1, target: CN1CCNCC1
origin: CC1(C)C[N+](CCC1)(CC)C, cl: C(N(CC)CC)C, target: C1[N+](C)(C)CC2C(CC1)CCCC2
origin: C12CC3CC(C1)CC(C2)(C3)[N+](C)(C)C, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C1C2C([N+](C)(C)CC1)CCCC2
origin: C1CCC(C)(C[N+]1(C)C)C, cl: c1cccc(c1)C(O)C(C)NC, target: C1CC2C(CCC[N+]2(C)C)CC1
origin: C1C2(C)CC(CC([N+]1(C)C)C2)(C)C, cl: c1ccc(cc1)C(O)C(NC)C, target: C1CCC2C(CCC[N+]2(C)C)C1
origin: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, cl: c1(C)[n+](C)ccn1CC, target: [N+]1(C)(C)C2CCCC2CCC1
origin: C12CC3CC(CC(C1)(C3)[N+](C)(C)C)C2, cl: C12C3CCCCN3CC(C3CCCC[N+]3(C)C1)C2, target: C[N+]1(C)CC2CCCC2CC1
origin: Cc1n(C)c[n+](c1)C, cl: c1cc(F)c(cc1)CN1CCCC1, target: C1CCCCN1
origin: n1(c(c[n+](c1)C)C)C, cl: c1cc(CN2C(CO)CCC2)ccc1, target: N1CCOCC1
origin: Cn1c[n+](CC)cc1, cl: c1c(F)cccc1CN1C(CCC1)CO, target: C1CCNCCNCCCNCCN1
origin: Cn1c(C)[n+](C)cc1, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C[n+]1cn(C)cc1
