origin: C(c1ccccc1)N1CCCC1CO, cl: CC(NC(C)C)C, target: C(c1ccccc1)N1CCC[C@H]1CO
origin: [C@@H]12[C+]2ccccc1)CC(()(C)C)(c)ccc1, cl: CN(C)C, target: [C@@H]12[N+](C)(CCCC1)C[C@H]1[C@@H]3CCCCN3C[C@@H]2C1
origin: N(CC)(CC))C, cl: C(C)N(CC)CC, target: N(CC)(CC)CC
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(N(CC)CC)C, cl: N12CCCC[C+]1(C)CCCCC2C, target: C(N(CC)CC)C
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: CCN(CC)CC, target: C1CCCC(N(C)C2CCCCC2)C1
origin: c1ccccc1[N+](C)(C)Cc1ccccc1, cl: C[C@@H]([(c]]ccc1)c1c(c)c11, target: c1ccccc1[C@H]([C@H](C)NC)O
origin: CN(C)C, cl: C1CCC(C)[N+]2(CC)CCCC2, target: CN(C)C
origin: CCN(CC)CC, cl: OCCN(CCO)CC, target: CCN(CC)CC
origin: C1CC(N(C2CCCCC2)C)CC11, cl: C([N+](CCC(())C)CC)C, target: C1CC(N(C2CCCCC2)C)CCC1
origin: C1CC2C3CC(C4CNCCCC44)CNNCCC2, cl: CCN(CC)CC, target: C1CC2C3CC(C4CCCC[N+]4(C)C3)CN2CC1
origin: CCN(CC)CC, cl: CCCNCCC, target: CCN(CC)CCO
origin: N(C1CCCCC1)(C)CCC1C, cl: c1(F)cccc(C[2+](C)2CCCCOC))c1, target: N(C1CCCCC1)(C)C1CCCCC1
origin: N(CC)(CC)CC, cl: c1(N(C)C)ccncc1, target: N(CC)(CC)CC
origin: C(C[N+](CCC)(CCC)CCC)CC, cl: C1CCCC(N(C2CCCCC2)C)C1, target: C(C[N+](CCC)(CCC)CCC)C
origin: [n+]1(CCCC)ccnCC1C, cl: C(CC)[N+](CCC)(CCC)CCC, target: [n+]1(CCCC)cc(C)c(C)cc1
origin: CCN(CC)CC, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CC, cl: C1CCC[C@@2(CCCCCN)C2CC11, target: CCN(CC)CC
origin: C1CCCCNC1, cl: C1CC(N(C2CCCCC2)C)CC11, target: C1CCCCNC1
origin: CCN(CC)CC, cl: c1n(C)c[n+](C)c1C, target: CCN(CC)CC
origin: C(CCC)N(CCC)CCC, cl: C(N(CC)CC(C)C)C, target: C(CCC)N(CCCC)CCCC
origin: CC[N+](CC)(CC)CC, cl: N(CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CC[N+](CC)(CC)CC, cl: C(CC)N(CCC)CCC, target: CC[N+](CC)(CC)CC
origin: C(C)[N+](CC)(CC)CC, cl: C(CC[n+]1ccC(()c(c)c1C)c1, target: C(C)[N+](CC)(CC)CC
origin: C(N(CC)CC)C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: CCN(CC)CC, cl: C(N(CC)CCCCCC(C)C)C, target: CCN(CC)CC
origin: CN(C1CCCCC1)C1CCCCC1, cl: C(N(CCO)CC)), target: CN(C1CCCCC1)C1CCCCC1
origin: [n+]1(CCCC)cc(()n(c)c2C)ccC1, cl: CCN(CC)CC, target: [n+]1(CCCC)ccn(C)c1C
origin: C(N(CC)CC)C, cl: C1N2[C@@HC+]3CC(CC))(CC)C(())C1)cccc11, target: C(N(CC)CC)C
origin: CC[N+](CC)(CC)CC, cl: C[N+]1(CCCC)CCCC, target: CC[N+](CC)(CC)CC
origin: C(CCC)NCCCC, cl: N1(Cc2c(F)cccc2)CCCC1, target: C(CCC)NCCCC
origin: C1CCCC(N(C)C2CCCCC2)C1, cl: N=C(N(C)C)N(C)C, target: C1CCCC(N(C2CCCCC2)C)C1
origin: C1CC[C@H]+]2c(c+c(c2cccncc2)Ccccc1, cl: c1cnccc1N(C)C, target: C1CC[C@H]2[N+](C)(C[C@@H]3C[C@H]2CN2[C@H]3CCCC2)C1
origin: n1(C)c[n+](CCCC)cc1, cl: CCN(CC)CC, target: n1(C)c[n+](Cc2ccccc2)cc1
origin: N(CCC)(CCC)CCC, cl: C(CC)N(CCC)CCC, target: N(CCC)(CCC)CCC
origin: c1(C)[n+](CCcccnCC))1C, cl: CCN(CC)CC, target: c1(C)[n+](C)ccn1CC(CO)O
origin: C(N(CC)CCCCCCCC(()C)CCC)), cl: N(CCC)(CCC)CCC, target: C(N(CC)CC)C
origin: CC(N(CC)CCC, cl: N(CC)(CC)CC, target: CC(N(CC)C(C)C)C
origin: CCCN(CCC)CCC, cl: CN(C1CCCCC1)C1CCCCC1, target: CCCN(CCC)CCC
origin: C(c1cc(F)ccc1)NNCCC, cl: [C@H]12C[(+]2(C))CCCCC1C(()(C)CCC2)C2, target: C(c1cc(F)ccc1)N1CCCC1
origin: Fc1cc(C[N+](C)(C)Cc2ccF(F)ccc2)ccc1, cl: C(N(CCC)CCC)), target: Fc1cc(C[N+](C)(Cc2cccc(F)c2)C)ccc1
origin: CCN(CC)CC, cl: CCCN(CCC)CCC, target: CCN(CC)CC
origin: C(N(CC)CCCCCCCCCCCCCC))C, cl: C(C)N(CC)CC, target: C(N(CC)CC)C
origin: C1CN(Cc2ccFccc2FCCC1, cl: CCN(CC)CC, target: C1CN(Cc2ccccc2F)CC1
origin: C1CNCCN1CC1CC1CCCCCOON, cl: C12CC3CC(CN)CC(C1)C[N+]1(C)CCCC21, target: C1CNCCN1CCN
origin: c1cc(CN2C(CO)CCC2)ccc1, cl: C(N(CC)CC)C, target: c1cc(CN2CCCC2)c(F)cc1
origin: C1C2CC3CC(CC1C[N+]2(C)))C, cl: C1CCC(N)CC1, target: C1C2CC3CC([N+](C)(C)CC1C3)C2
origin: C[N+](C1C2CC3CC(CC)C3)CC(()(C)C)CCC2, cl: CC(NC(C)C)C, target: C[N+](C1C2CC3CC(CC1C3)C2)(C)C
origin: C1N(Cc2cc(c)c(C)C2)CCCC1, cl: Cc1n(C)c(C)[n+](C)c1C, target: C1N(Cc2ccccc2)CCC1
origin: C12CC3CC(CN(C1CC1C3)C2NCCC22C, cl: C(N(CC)CC)C, target: C12CC3CC(C1)CC(C3)C2[N+](C)(C)C
origin: c1([C@H](]2ncccc1)CCcccc1, cl: C(C)CN(CCC)CCC, target: c1([C@H](O)[C@@H](NC)C)ccccc1
origin: C(C)CN(CCC)CCC, cl: C([n+]1ccC(C)cc1))C, target: C(C)CN(CCC)CCC
origin: CCN(CC)CC, cl: C(N(C(C)C)CC)C, target: CCN(CC)CC
origin: c1ccc(CN2CCCC2)cc1, cl: C1C2CC3C((NNCCCC))CCCC1)CC, target: c1ccc(CN2CCCC2)cc1
origin: C1N2CCN(CC))CC, cl: c1ccccc1[(+]1(C)C(C))CCC, target: C1N2CCN(CC2)C1
origin: CC(NC(C)C)C, cl: C1NCCCCC1, target: CC(NC(C)C)C
origin: C(C)[N+](CC)(CC)CC, cl: C1CCCCC1N(C1CCCCC1)C, target: C(C)[N+](CC)(CC)CC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: CCN(CC)CC, target: C1CCC(N(C2CCCCC2)C)CC1
origin: C(C)N(CC)CC, cl: [n+]1(CCCC)ccn(C)c1, target: C(C)N(CC)CC
origin: CN(C)C, cl: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, target: CN(C)C
origin: c1ccc(CN(C(C)C)O)cc1, cl: C1(N(C2CCCCC2)C)CCCCC1, target: c1ccc(CN([C@@H](C)[C@@H](c2ccccc2)O)C)cc1
origin: C(C)N(CC)CC, cl: C(CC)C[n+]1ccn(C)c1, target: C(C)N(CC)CC
origin: C1CCCCNC1, cl: O[C@H]([Cc]ccc1, target: C1CCCCNC1
origin: C(N(CC)CCCCCCCC(C)C)C, cl: OC[C@H]1N(C)C, target: C(N(CC)CC)C
origin: CC(C)NC(C)C, cl: c1ccccc1C[1+](Cc1c(F)cccc1)C1, target: CC(C)NC(C)C
origin: c1(CN2CCCC2)Occccc1, cl: C1CCCN2CC3C4(NCCCC4)CC(C3)C2N[1+]1CC, target: c1(CN2CCC[C@H]2CO)ccccc1
origin: c1nccc(N(C)C)c1, cl: CCN(CC)CC, target: c1nccc(N(C)C)c1
origin: c1[n+](CCCc)cnCC, cl: CCCN(CCC)CCC, target: c1[n+](CCCC)cn(C)c1
origin: c1c[n+](CCCC)c(1)cccc1, cl: C1CCC(N(C2CCCCC2)C)CC1, target: c1c[n+](CCCC)cn1C
origin: c1ccc(CN2CCCC2)cc1, cl: CCN(CC)CC, target: c1ccc(CN2CCCC2)cc1
origin: C(C)[N+](CC)(CC)CC, cl: C1CCC[C@@2(C)CCCCC2)C, target: C(C)[N+](CC)(CC)CC
origin: c1(CN2CCCC2)cccc(F)c1, cl: [N+](CC)(CC)(CC)CC, target: c1(CN2CCCC2)ccccc1F
origin: C(C)N(CC)CC, cl: CN(C)c1ccccc1, target: C(C)N(CC)CC
origin: CCC[N+](CCC)(CCC)CCC, cl: CCCN(CCC)CCC, target: CCC[N+](CCC)(CCC)CCC
origin: CCCN(CCC)CCC, cl: C(CCNCCCCCCC)C, target: CCCN(CCC)CCC
origin: C(N(CC)CC)C, cl: C1CC(N(C)C2CCCCC2)CCC1, target: C(N(CC)CC)C
origin: Cc1n(C)cc[n+]1CC, cl: CCN(CC)CC, target: Cc1n(C)cc[n+]1CC
origin: CN(CCO)CC, cl: N(C)[C@H]c]ccc11(C)1, target: CN(CCO)CCO
origin: C12([N+](C)(C)C)CC3CC(C1(C1)CC(C3)C2, cl: C(CC[n+]1cnnCCC)c1, target: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2
origin: N1(Cc2ccccc2)C(CO)CCC1, cl: C1CCCC(N(C2CCCCC2)C)C1, target: N1(Cc2ccccc2)CCCC1
origin: C(C)NCC, cl: C(N(CC)CC)C, target: C(C)NCC
origin: C[C@@H]([(c]]cnc1))1, cl: c1cc(C[N@]2CCNNCCC2)ccc1, target: C[C@@H]([C@H](O)c1ccccc1)NC
origin: C(C)CN(CCC)CCC, cl: C([n+]1ccn(C)c1C)C, target: C(C)CN(CCC)CCC
origin: c1(CN2CCCC2)ccc(()cc2)c1, cl: N(CC)(CC)CC, target: c1(CN2CCCC2)ccccc1
origin: C(CO)N(CCCCCCCCCCCCCCC)CCC, cl: CC[N+](CC)(CC)CC, target: C(CO)N(CC)CC
origin: [N+](CC)(CC)(CC)CC, cl: CCCC[n+]1cc(()cncC, target: [N+](CC)(CC)(CC)CC
origin: CCN(CC)CC, cl: C(N(CC)CCCCCCCCCCCC)CC, target: CCN(CC)CC
origin: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2, cl: c1ccc(C[N+](C)2CCCCCC))cc1, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: C12CC3CC(CC1[N+](C)(C)C))CC2, cl: C(C)N(CC)CC, target: C12CC3CC(C1)CC([N+](C)(C)C)(C3)C2
origin: CCN(CC)CC, cl: C1CCCCC1N(C)C1CCCCC1, target: CCN(CC)CC
origin: N(CC)(CC)CC, cl: C1CCCCNC1, target: N(CC)(CC)CC
origin: N(CC)(CC)CC, cl: c1(C)n(C)c([)+](C)ccC1, target: N(CC)(CC)CC
origin: C1N(Cc2ccccc2FCCCCOOOOCCOCC1CCCCC1, cl: [N+](CC)(CC)(CCCCCCCCCC)C, target: C1N(Cc2ccccc2F)CCC1
origin: CC[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: N(CC)(CC)CC, cl: C1C[C@@H]+](Cc2ccccc2)CC(1CCCCCO2Ccccc11CC, target: N(CC)(CC)CC
origin: C(C[N+]1(C)CCCC1)C, cl: C(CN1CCNCC1)c, target: C(C[N+]1(C)CCCC1)CC
origin: CCC[N+](CCC)(CCC)CCC, cl: C(C[N+](C)CC(C)C)C, target: CCC[N+](CCC)(CCC)CCC
origin: c1c([C@H]c]2c(()ccccc2)c(C)n(C)cc1), cl: CCN(CC)CC, target: c1c([C@H]([C@@H](N(C)C)C)O)cccc1
origin: C(N(CC)CC)C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: CCN(CC)CC, cl: c1cn(C)c[C+]1CCCCC1, target: CCN(CC)CC
origin: c1(C[N@@+(c)cccc2)(c)ccc11(C)C, cl: N(CC)(CC)CC, target: c1(C[N@@+]2(C)[C@H](CO)CCC2)ccccc1
origin: O1CCOCCN2CCOCCOCCN(CCOCCOCC2)CC1, cl: N(C1CCCCC1)(C)CCC1C, target: O1CCOCCN2CCOCCOCCN(CC1)CCOCCOCC2
origin: CCCC[n+]1cc(()ccc2Ccccc1)c, cl: O1CCOCCN2CCOCCOCCN(CCOCCOCC2)CC1, target: CCCC[n+]1ccn(C)c1
origin: CN(c1ccncc1)C, cl: CCN(CC)CC, target: CN(c1ccncc1)C
origin: N(C)(C)c1ccncc1, cl: C1N2C[C@@(C)CC(C)(C))C1NCCC2, target: N(C)(C)c1ccncc1
origin: C(C)CC[n+]1cc(()ccc1C)cc, cl: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3, target: C(C)CC[n+]1c(C)n(C)cc1
origin: CCCCN(CCC)CCC, cl: C(C)[N+](CC)(CC)CC, target: CCCCN(CCCC)CCCC
origin: C1N(Cc2ccFcccFFCC))CC11OcCccc1, cl: c1cccc(CN2CCCC2)O1, target: C1N(Cc2ccccc2)CCCC1
origin: C(C)N(CC)CC, cl: C(N(CC)CCCCCCCCCCCCC))C, target: C(C)N(CC)CC
origin: C(C[N+](C)CCCCCCNNC)), cl: CN(C)C, target: C(C[N+](CCC)(CCC)CCC)C
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: N(C)(C)C, cl: C(C[N+](CCC)(CCC)CCC)C, target: N(C)(C)C
origin: C(C)[N+](CC)(CC)CC, cl: c1(F)ccccCCNNCCCC, target: C(C)[N+](CC)(CC)CC
origin: c1cc(F)ccCCCNNCCC, cl: C([N+](CC())C)CCCCCCCCCCC, target: c1cc(F)ccc1C[N+](C)(C)Cc1ccc(F)cc1
origin: N(CCO)(CCO)C, cl: n1(C)c[n+](C)2(C)C(C)C(C)C2ccc1, target: N(CCO)(CCO)CCO
origin: C(C(C)C)NnCccc1, cl: C(N(CC)CC)C, target: C(C(C)C)NCC(C)C
origin: OCCN(CCO)C, cl: c1(C[N+](C)2CcCc(c)cc2)CCC(1)ccccc1, target: OCCN(CCO)CCO
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(C)C[N+](CCC)(CCC)CCC, target: C1CCCCC1N
origin: [C@H]12[N+22CCC(CC1)CC22cccccc2, cl: C(C)N(CC)CC, target: [C@H]12[N+](C)(C[C@H]3[C@@H]4CCCCN4C[C@@H]1C3)CCCC2
origin: N12[C@H](](C))CC1CC(CC)C22CCCCC1, cl: N(CC(C)O)CC, target: N12[C@H]([C@@H]3C[N+]4(C)CCCC[C@@H]4[C@@H](C3)C1)CCCC2
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: C(C)N(CC)CC, target: C1CN(Cc2ccccc2)CC1
origin: C[N+]12C[C+]4CCNCCC((())(C)C1)CC(C)CC, cl: C(CN(CCO)CCO)O, target: C[N+]12C[C@@H]3C[C@H]([C@H]1CCCC2)CN1[C@H]3CCCC1
origin: C[N+](C)(C122C3CCCCCC((1)CC)C3)C2, cl: CCN(CC)CC, target: C[N+](C)(C)C12CC3CC(CC(C1)C3)C2
origin: C(N(CC)CC)C, cl: c1cccc(CN(C)C)c1, target: C(N(CC)CC)C
origin: O1CCOCCN2CCOCCOCCN(CCOCCOCC2)CC1, cl: C(CN(CC)CC)O, target: O1CCOCCN2CCOCCOCCN(CCOCCOCC2)CC1
origin: c1ccc([C@](Cc2ccccc2)CCC))c1, cl: CCN(CC)CC, target: c1ccc([C@@H](O)[C@@H](NC)C)cc1
origin: C[N@+]1(CCCC)CCC11, cl: N(CC)(CC)CC, target: C[N@+]1(Cc2ccccc2)[C@H](CO)CCC1
origin: N(CC)(CC)CC, cl: C(C)N(CC)CC, target: N(CC)(CC)CC
origin: C(C)N(CC)CC, cl: [N+]12(C)CC3CC(C44CCCCC4CCCC3)CC2CCCC1, target: C(C)N(CC)CC
origin: CC(NC(C)C)C, cl: c1ccc(C[n+]2ccn(C)c2)cc1, target: CC(NC(C)C)C
origin: C1CCNCCC1, cl: C(C)N(CC)CC, target: C1CCNCCC1
origin: [N+]12(C)C(CCCC1)C1CC3CN2CCCC3C1C2, cl: C([N+](C)1CCCCC1)OC, target: [N+]12(C)CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1
origin: CCN(CC)CC, cl: CC(C)NC(C)C, target: CCN(CC)CC
origin: CC[N+](CC)(CCCCCCCCCCC)C, cl: OCCN(CCO)C, target: CC[N+](CC)(CC)CC
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: c1ccccc1CN1CCCC1, target: C1CN(Cc2ccc(F)cc2)CC1
