origin: c1c[n+](CCCCCC[n+]2cccccc1, cl: Cn1cc[n+](CC)c1, target: c1c[n+](CCCC)cn1C
origin: N(CC)(CC)CCCC2, cl: OC[C@@H]1c2cccc3c2[N+](CCC1)(C)CCCCC2, target: N(CC)(CC)CC
origin: c1(C)c(C)c1C, cl: CC[N+](CC)(C)CC, target: c1(C)c(C)n(C)c(C)[n+]1C
origin: c1(CN2CCCCC[N+](C)(C)C)CC, cl: CCN(CC)CC, target: c1(CN2CCCC2)cccc(F)c1
origin: c1(C)n(C)ccc1, cl: C1C2([N+](C)(C)C)CC3CC(C2)CC1C3, target: c1(C)n(C)cc[n+]1CCCC
origin: CCCN(CCC)c1, cl: c1cccc(CN2CCCC2CO)cc1, target: CCCN(CCC)CCC
origin: C1[N+]2(CCCCCCCCCCCCC[n+]1ccccc1)C1, cl: CCN(CC)CC, target: C1[N+]2(C)[C@H](CCC1)[C@@H]1CN3CCCC[C@H]3[C@H](C2)C1
origin: c1c(C[N+](C)(C)C)(C)CCCc([n+](C)cccc1)CCC[N+]1(CC)CCCC1, cl: [C@@H](c1ccccc1F)(C)C(C)C(C)C, target: c1c(C[N+](C)(Cc2ccccc2F)C)c(F)ccc1
origin: C([N+](CC)(C)CCCCCC2)CCCC1, cl: CCN(CC)CC, target: C([N+](CC)(CC)CC)C
origin: c1ccccc1[N+](C)(C)CCCC1, cl: OCCN(CCO)C, target: c1ccccc1[C@@H](O)[C@H](C)NC
origin: C(C)C[N+]1(C)CCCCCCCCC1, cl: N(CC)(CC)CC, target: C(C)C[N+](CCC)(CCC)CCC
origin: N(C)(C)C, cl: C1CN2CCOCCOCCN(CCOCCOCC1)CCOCCOCC2, target: N(C)(C)C
origin: c1ccc(C[N+](C)(C)C)c1ccccc1, cl: C1CN2[C@HN+](CC1C1C=CC2C2C1C[N+](C2)(CC)CC)(CC)CC, target: c1ccc(C[N+](C)(Cc2ccccc2)C)cc1
origin: N(CCO)(CCCC)c1, cl: c1c(N(C)C)ccnc1, target: N(CCO)(CC)CC
origin: C1OCCN2CCCCC1, cl: CN(C)C, target: C1OCCN2CCOCCOCCN(CCOCCOCC2)CCOC1
origin: N(CC)(CC)CCCC1, cl: C(CC)N(CCC)CCC, target: N(CC)(CC)CC
origin: CN(C)C, cl: CCN(CC)CC, target: CN(C)C
origin: CN(C1CCCC2)CC2, cl: C1CCC(N(C)C2CCCCC2)CC1, target: CN(C1CCCCC1)C1CCCCC1
origin: n1(C)c(C)n(C)cc1, cl: CCN(CC)CC, target: n1(C)c(C)[n+](CC)cc1
origin: N(C)(C)C, cl: C(C)N(CC)CCO, target: N(C)(C)C
origin: c1cccc(CN[N+](C)(C)C)CCCC1, cl: CCN(CC)CC, target: c1cccc(CN2CCCC2)c1
origin: N(c1ccncc2c1ccccc2)c1cccc1, cl: C(N(CC)CC)C, target: N(c1ccncc1)(C)C
origin: c1([C@@H]3(C)(C)C)(C)CCCC1, cl: C(C)N(CC)CC, target: c1([C@@H]([C@@H](N(Cc2ccccc2)C)C)O)ccccc1
origin: C(N(CCC)CCCC)ccc1, cl: C1CCN(Cc2ccccc2)C1, target: C(N(CCC)CCC)CC
origin: C(N(CC)CC(C)C)CCCCCC1, cl: CCC[N+](CCC)(CCC)CCC, target: C(N(CC)CC)C
origin: c1n(C)cc[n+](CCCCCCC)ccc1, cl: CCCN(CCC)CCC, target: c1n(C)cc[n+]1CCCC
origin: C(O)CN(CCCCCCCCCCCCCCCC)cccc1, cl: C(C)[N+](C)(C)CC, target: C(O)CN(CCO)CCN(CCO)CCO
origin: [C@@H]12[N+](C)(CCCCCCCC2)CCC1, cl: CCN(CC)CC, target: [C@@H]12[C@@H]3CCCCN3C[C@@H]([C@@H]3[N+](C)(CCCC3)C1)C2
origin: N(CC)(CC)CCCC1, cl: c1ccccc1C(C(C)NC)O, target: N(CC)(CC)CC
origin: C[n+]1c(C)n(C)c(C)c1C, cl: c1ccc([C@]3cccc1)Cc1ccccc1, target: C[n+]1c(C)n(C)c(C)c1
origin: N(CC)(CC)CCCC1, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C[N+](CCO)CCCCCCCCCCC[n+]1cccc1, cl: C(C[N+](C)(C)C)CCCCCCCCCCCCCCC[N+](C)(Cc1ccccc1)C, target: C[N+](CCO)(CCO)CCO
origin: N(CC)(CC)CCCCCC[N+](C)(C)C, cl: C(N(CC)CC)C, target: N(CC)(CC)CC
origin: CCN(CC)CCCCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: N(CC)(CC)CCCCC[N+]1(C)CCCCCC1, cl: C1[C@@H]2]=(C1C2C[N+](C)(C)CC21)(C)C, target: N(CC)(CC)CC
origin: C1CCC(N(C)C)C1, cl: [N+](CCO)(C)(C)CCO, target: C1CCC(N(C2CCCCC2)C)CC1
origin: CN(C)C, cl: CCN(CC)CC, target: CN(C)C
origin: CN(C)C, cl: c1c(CN(C)C)cccc1, target: CN(C)C
origin: C(C)(N(CCCCCCC)CC)(C)C, cl: c1ccc(CN(C)C)cc1, target: C(C)(N(CC)C(C)C)C
origin: CCCN(CCC)CCCCC[N+]12CC(C)CCCC1, cl: c1c(CN2CCCC2CO)cccc1, target: CCCN(CCC)CCC
origin: C1CCC(C)[N+](CC)(CC)CCCCCC1, cl: CCN(CC)CC, target: C1CCC(C)[N+](CC)(CC)C1C
origin: OCCN(CCO)CCCCCC1, cl: C(N(CC)CC)C, target: OCCN(CCO)CCO
origin: C1C2C([N+](C)(C)C)CCCCC1, cl: CCN(CC)CC, target: C1C2C([N+](C)(C)C)C3CC1CC(C3)C2
origin: CCN(CC)CCCCCCC[n+](C)c1, cl: C(C)(N(C(C)C)CC)C, target: CCN(CC)CC
origin: c1(C)n(C)c(C)n(C)cc1, cl: C(C)N(CC)CCO, target: c1(C)n(C)c(C)c[n+]1C
origin: CCN(CC)CCCC1, cl: C1CN2CCOCCOCCN(CCOCCOCCO1)CCOCCOCC2, target: CCN(CC)CC
origin: C(C[N+](C)(C)C)CC(C)CCC[N+](CC)CCCCC1, cl: CCN(CC)CC, target: C(C[N+](CCC)(CCC)CCC)C
origin: C(C)(C)N(C)CCCC2, cl: C(CC[n+]1ccn(C)c1C)C, target: C(C)(C)N(CC)C(C)C
origin: CCN(CC)CCCCCC[n+]1ccccc1, cl: C1C(N)CCCC1, target: CCN(CC)CC
origin: C(C)N(CC)CCCC3CC1C, cl: C(C)NCC, target: C(C)N(CC)CC
origin: C1CN(Cc2ccccc2)CC1, cl: C(N(CCO)CC)C, target: C1CN(Cc2ccccc2)CC1
origin: CCN(CC)CCCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: c1cc(F)cc1, cl: N(CC)(CC)CC, target: c1cc(F)cc(CN2CCCC2)c1
origin: CCCN(CCC)(C)C, cl: C1C2C[N+](CC2CCCCC1)(C)C, target: CCCN(CCC)CCC
origin: C(C)CN(CCCCC)CCCC1, cl: C12CC3CC([N+](C)(C)C)(C2)CC1(C)C, target: C(C)CN(CCC)CCC
origin: C(C)C[N+]1(C)CCCC1, cl: OC[C@H]1N2CCCCC2, target: C(C)C[N+](CCC)(CCC)CCC
origin: C(C)CN(CCCCCCCCCCCCCCCCCCC[N+]1(C)CCCCCCCC[N+](C)c(C)cc1, cl: c1ccc(F)c(CN2CCCC2)cc1, target: C(C)CN(CCC)CCC
origin: c1ccccc1[N+](CC)(CCCCCCCCCC[N+](C)(C)CCCCCCCCC[N+](CC)CCCCCCCC1, cl: CCN(CC)CC, target: c1ccccc1[C@H](O)[C@@H](NC)C
origin: [C@@H]12[N+](CC(C)CCCC[N+](C)(C)C)CCCC2, cl: C(N(CCCC)CCCC)CCC, target: [C@@H]12[C@@H]3[N+](C)(C[C@@H]([C@H]4N(CCCC4)C1)C2)CCCC3
origin: [N+]12(C)CCC(CCCCCC(CCCCCCC)c1)CC2, cl: C12CC3CC(CC(C3)C1)([N+](C)(C)C)C2, target: [N+]12(C)C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]1CCCC2
origin: CN[C@H]([N+](CC(C)C)(C)C)CC1, cl: C(C)N(CC)CC, target: CN[C@H]([C@H](O)c1ccccc1)C
origin: C(C)N(CC)CCCCCCC[N+]1(C)CCCCCC1, cl: C(C[N+](C)(C)C)CCCCCCCCCCCCCC[N+](C)(Cc1ccccc1)C, target: C(C)N(CC)CC
origin: C(C)N(CC)CCCC1, cl: C12CC3([N+](C)(C)C)CC(CC(C2)C3)C1, target: C(C)N(CC)CC
origin: CCN(CC)CCCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: c1cc(F)cc1, cl: C1N(Cc2ccccc2F)CCC1, target: c1cc(F)cc(CN2CCCC2)c1
origin: CCN(CC)CCCCCC[N+]1(C)CCCCC1, cl: OC[C@H]1N2CCNCC1CCCN2C, target: CCN(CC)CC
origin: c1(F)cc(C)n(C)c1, cl: C1CCCNCC1, target: c1(F)cc(C[N+](C)(Cc2cc(F)ccc2)C)ccc1
origin: C(C)N(CC)C, cl: C(CCC)[n+]1ccn(C)c1, target: C(C)N(CC)CC
origin: N(CC)(CC)CCCCCCC[n+]2c(C)n(C)c(C)c1C)C, cl: CCN(CC)CC, target: N(CC)(CC)CCO
origin: c1(CN2CCCCCCCC[n+]2c(C)c(C)cn1CCCCCCCCCCCCCC[n+]1ccn(C)cc1, cl: C(C)CN(CCC)CCC, target: c1(CN2CCCC2)ccccc1
origin: c1cc(CN2CCCCCCCC1)cccc1, cl: C1CC[N+](CC1)(C)CCCCC[N+]1(C)CCCC1, target: c1cc(CN2CCCC2)cc(F)c1
origin: c1([C@H](C)(C)C)(C)CCCC(C)CC1, cl: N(C)(C(=N)N(C)C)C, target: c1([C@H]([C@H](C)NC)O)ccccc1
origin: CCN(CC)CCCCCCC[n+]1c(C)c2C, cl: c1(C[N+](C)(C)C)cccc1, target: CCN(CC)CC
origin: C(C)CN(CCCCC2)CCC[N+]1(C)CCN(C)CCCC1, cl: C1OCCN2CCOCCOCCN(CCOCCOCC2)CCOCCOCC1, target: C(C)CN(CCC)CCC
origin: O[C@@H]([N+](C)(C)C)CCCC1, cl: C1CCCCC1N(C)C1CCCCC1, target: O[C@@H]([C@@H](NC)C)c1ccccc1
origin: C(O)[C@@HN(C)CCCC(C)[N+](C)(C)C, cl: [C@@H]([CC(C)(CC(C)C)(C)C)C, target: C(O)[C@@H]1CCCN1Cc1ccccc1
origin: C1CN2CCOCCCCC[N+]1(C)CCCCC1, cl: N(CC)(CC)CC, target: C1CN2CCOCCOCCN(CCOCCOCC2)CCOCCO1
origin: CCN(CC)CCCCC1, cl: N(C(C)C)(C)C(c1ccccc1)O, target: CCN(CC)CC
origin: [C@H]1(CO)CCCC2, cl: C(NCC)C, target: [C@H]1(CO)N(Cc2ccccc2)CCC1
origin: OCCN(CCO)CC2, cl: N1CCN(CCN)CC1, target: OCCN(CCO)CCO
origin: c1cc(CN2CCCCC[n+](C)cc1)C, cl: C([N+](CCO)(C)CCO)O, target: c1cc(CN2CCCC2)ccc1
origin: C(N(CC)CCCCC1)CCCCCCCCCC[N+]1(C)CCCCCCC1, cl: CCCN(CCC)CCC, target: C(N(CC)CC)C
origin: [C@@H]12[N+](C)(C)CCCCC(C)(C)C1, cl: C(O)CN(CCO)CCO, target: [C@@H]12[C@@H]3CN4CCCC[C@H]4[C@H](C[N+]1(C)CCCC2)C3
origin: c1cc(CN2[N+](C)(C)C)CCCC, cl: C(CN(CCC)CCC)CC, target: c1cc(CN2[C@H](CO)CCC2)ccc1
origin: c1cccc(CN(C)C)CCCCCC[N+](C)(C)C, cl: c1c(CN2CCCC2)cccc1, target: c1cccc(CN2[C@H](CO)CCC2)c1
origin: CCN(CC)CCC[N+]1(C)CCCCC1, cl: O[C@H](c1ccccc1)C(C(C)C(C)(C)C)C, target: CCN(CC)CC
origin: N(CC)(CC)CCCC1, cl: C1CN(Cc2c(F)cccc2)C(CO)CC1, target: N(CC)(CC)CC
origin: C([N+](CC)(C)C)CCCCC1, cl: C[N+]12C[N+]3(C)C(C(CC1)CC3)CC2, target: C([N+](CCC)(CCC)CCC)CC
origin: CCCN(CCC)CCCC[n+]1ccn(C)cc1, cl: c1ccc(CN(C(C)C(O)c2ccccc2)C)ccc1, target: CCCN(CCC)CCC
origin: Cc1c(C)n(C)c(C)c1C, cl: CCN(CC)CC, target: Cc1c(C)n(C)c(C)[n+]1C
origin: N(CCC)CCCCCCC[N+]1(C)CCCC, cl: c1c(C[N+](Cc2ccccc2)(C)C)cccc1F, target: N(CCC)CCC
origin: C1N2[C@H](CCCCCC2CCCCC[N+](C)(C)C)CC2, cl: N(CCC)(CCC)CCC, target: C1N2[C@H]([C@@H]3C[N+]4(C)CCCC[C@@H]4[C@H]1C3)CCCC2
origin: N12CCCC[C+]2(C)CCCC1, cl: CC(C)NC(C)C, target: N12CCCC[C@H]1[C@H]1C[C@@H](C2)[C@H]2CCCC[N+]2(C)C1
origin: C1CCCC(N(C)CCCC3)CC1, cl: C(C)N(CC)CC, target: C1CCCC(N(C2CCCCC2)C)C1
origin: N(CC)(C(CCCCCCCC)C)[n+](C)cc1, cl: CCCN(CCC)CCC, target: N(CC)(C(C)C)C(C)C
origin: N(CC)(CC)CC(C)CC1, cl: C1C[C@@H]+]1(CCCCC1CC)C, target: N(CC)(CC)CC
origin: CC(C)N(CC)CCC[N+](C)(C)C, cl: C(N1CCC[CN]2(CC1)C)C, target: CC(C)N(CC)C(C)C
origin: C(CCCNCCCCC)cc2, cl: C1CCN2C[CN3C(CCCC3)C(C1)CN1C2CCCC1, target: C(CCCNCCCCC)C
origin: CN(C)C, cl: CN(C)C(N(C)C)=N, target: CN(C)C
origin: C1CCCCC1N(C)CCCC2, cl: c1n(C)c(C)c(C)[n+]1C, target: C1CCCCC1N(C1CCCCC1)C
origin: c1c[n+](Cccccc2)C1, cl: c1[n+](Cc2ccccc2)ccn1C, target: c1c[n+](CCCC)cc(C)c1C
origin: CCN(CC)CCCCC[N+](CC)CCCC[N+](C)(C)C, cl: CN(C)C(=N)N(C)C, target: CCN(CC)CC
origin: c1ccccc1C[N+]1(C)CCCC1, cl: CCC[N+](CCC)(CCC)CCC, target: c1ccccc1CN(C)C
origin: c1cccc(C[N+]1(C)CCCC1)CCCC1, cl: c1(C)[n+](c(C)c(n1C)C)C, target: c1cccc(C[N+](Cc2ccccc2)(C)C)c1
origin: C(N1[C@H]2(C)CCCC2CC[N+](C)(C)C)CCCC1, cl: C1CN2CCOCCOCCN(CCOCCOCC2)CCOCCOCC1, target: C(N1[C@H](CO)CCC1)c1ccccc1
origin: C1C[N+]2(CCCCC3)CC1, cl: OC[C@@H]12CC[N+](CC2)(C)CCCCC[N+]12CCC(CC2)CC1, target: C1C[N+]2(C)[C@@H]([C@@H]3CN4CCCC[C@H]4[C@H](C2)C3)CC1
origin: C12([N+](C)(C)C)CCCC(C)CCCC1, cl: N(C)(CCO)CCO, target: C12([N+](C)(C)C)CC3CC(CC(C3)C1)C2
origin: C(N(C(C)C)CCC[N+](C)(C)C)CCCCCC1, cl: NC1CCCCC1, target: C(N(C(C)C)C(C)C)C
origin: n1(C)cc[n+](C(C)C)ccc1, cl: C(C)N(CC)CC, target: n1(C)cc[n+](CCCC)c1
origin: CN(C)C, cl: N(CC)(CCO)CC, target: CN(C)C
origin: N(C)(C)C(C)CCCCC[N+]2(C)CCCC1, cl: CCN(CCO)CCO, target: N(C)(C)C(N(C)C)=N
origin: N(C1CCCCC[N+]1(C)CCCC2)CCC1, cl: N(CC)(CC)CC, target: N(C1CCCCC1)(C)C1CCCCC1
origin: [C@H]12[N+](CC)(CCCC[N+]2(C)CCCCC2)CCCC1, cl: C1OCCOCCN2CCOCCOCCN(CCOCCOCC2)CCOCCOCC1, target: [C@H]12[N+](C)(C[C@@H]3C[C@H]1CN1CCCC[C@H]13)CCCC2
origin: CC[N+](CC)(C)CCCCCC1, cl: C(N(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: c1cc([C@@(C)(C)CCCCC2)c1, cl: CCN(CC)CC, target: c1cc([C@@H]([C@H](C)NC)O)ccc1
origin: C1CCCNCC1CCCC[N+](C)CCCC1, cl: CCN(CC)CC, target: C1CCCNCC1
origin: C1CCC[N+](C)(C)CCCC1, cl: CCN(CC)CC, target: C1CCC[N+]1(CCCC)C
origin: C(C)N(CC)CCCC1, cl: C(C)N(CC)CCO, target: C(C)N(CC)CC
origin: Cn1cc[n+](C)ccn1C, cl: C(CC)N(CCC)CCC, target: Cn1cc[n+](Cc2ccccc2)c1
origin: N(CC)(CC)CCC[N+](C)(C)C, cl: C[N+](Cc1ccccc1F)(Cc1c(cccc1)F)C, target: N(CC)(CC)CC
origin: c1(CN2CCCCCCC1)CCCCCCC[n+]1ccn(C)c2C, cl: c1cccc(CN2CCCC2)cc1, target: c1(CN2CCCC2)c(F)cccc1
origin: C(C(C)C)N(C)CC, cl: C1CN(Cc2cccc(F)c2)CC1, target: C(C(C)C)NCC(C)C
origin: C(C)N(CC)CCCC1, cl: C1[C@H]2[NH4+].C(C)C(C=CC2)C[N+](C)(C)C2, target: C(C)N(CC)CC
origin: C(C)N(CC)CCCCC2, cl: CN(C1CCCCC1)C1CCCCC1, target: C(C)N(CC)CCO
origin: C1COCCN2CCCCC1, cl: C(C)C[N+](CCC)(CCC)CCC, target: C1COCCN2CCOCCOCCN(CCOCCOCC2)CCO1
origin: CCN(CC)CCCCCCCC1, cl: c1ccc([C@](c2cccc2N(C)C)C(C)C(cc1)F)C, target: CCN(CC)CC
origin: C(C)NCC, cl: C(N(CCC)CCC)CC, target: C(C)NCC
origin: n1(CC(O)C)cc1, cl: CCN(CC)CC, target: n1(CC(O)CO)c(C)[n+](C)cc1
origin: C(C)N(CC)CCCCC[N+]1(C)CCCC1, cl: N(C)[C@@HNHC, target: C(C)N(CC)CC
origin: N(CC)(CC)CCCCC1, cl: C(CN(CCC)CCC)CC, target: N(CC)(CC)CC
origin: C1[C@@H]2(CCCCCCCCC2)CCCC1, cl: N(CC)(CC)CC, target: C1[C@@H]2[C@@H]3CN4CCCC[C@H]4[C@H](C[N+]2(C)CCC1)C3
origin: CCN(CC)CCCCCCC[N+]1(C)CCCCC1, cl: N1(Cc2ccccc2)C(CCC1)CO, target: CCN(CC)CC
origin: C1CC(N(C)CCCC2)(C)C, cl: CCNCC, target: C1CC(N(C)C2CCCCC2)CCC1
origin: C(N(CC)CCCCC)cccn1CCC, cl: CCCN(CCC)CCC, target: C(N(CC)CC)C
origin: c1cccc(CN(CC)C)C, cl: C1CCCCC1N(C1CCCCC1)C, target: c1cccc(CN2CCCC2)c1
origin: C1C2CC3CC(CC[N+](C)(C)C)CCC1, cl: C(N(CCO)CC)C, target: C1C2CC3CC([N+](C)(CC)C2)CC1C3
origin: C(C)N(CC)CCCCC[n+]1c(C)c(C)c1C, cl: CN(c1ccncc1)C, target: C(C)N(CC)CC
origin: C(CC)N(CC)CCCC, cl: C([N+](CC)(CC)CC)C, target: C(CC)N(CCC)CCC
origin: CN(c1ccncccc2)CCCC1, cl: N(C)(C)C, target: CN(c1ccncc1)C
origin: CN(C)C, cl: C([N+](CCC)(CCC)CCC)C, target: CN(C)C
origin: c1c[n+](C)cc1, cl: [C@H]12C[N+](C)(CC2CC1CC2)C, target: c1c[n+](CC)c(C)n1C
origin: C(C)N(CC)C[N+](C)(C)C, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: c1ccc(CN2CCCCCC1)CCCCCCCCCC[n+]1ccccc1, cl: O[C@H]([CHN+]2CCCCC2)(C)CCCC, target: c1ccc(CN2[C@H](CO)CCC2)cc1
origin: C[N+]12CC1C, cl: C(C)N(CC)CC, target: C[N+]12CC3C4CCCCN4CC(C3)C1CCCC2
origin: N(CC)(CC)CCC[N+]1(C)CCCCCCCCCC1, cl: C1CN2[C@HN+](CC1C1C=CC2CC1)(C)C, target: N(CC)(CC)CC
origin: CN(C)C, cl: C1C[N+]2(CC3CC(CN2C3)CCCC4)C1, target: CN(C)C
origin: C(CC)N(CCCCCCC[N+](C)(C)C)C, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C(CC)N(CCC)CCC
origin: [C@@H]1(CC)(C)CCC(C)(C)CC1, cl: N(C)(C)Cc1ccccc1F, target: [C@@H]1(CO)CCCN1Cc1ccccc1
origin: CC[N+](CC)(CCCCCCCC[N+]2(CCCC)CCCCCCCC[n+](C)c[n+](C)cc2)cccc1, cl: CCN(CC)CC, target: CC[N+](CC)(CC)CC
origin: c1cc(CN2CCCCCCCCCCCCCC[N+]2(C)CCCCCCCC[N+]12CCCCC1, cl: C1N2CCOCCOCCN(CCOCCOCC2)CCOCCOCC1, target: c1cc(CN2C(Cc3ccccc3)CNCC2)ccc1
origin: c1cc(C[n+](C)ccc1)C, cl: C(N(CCC)CCC)CC, target: c1cc(C[n+]2c(C)n(C)cc2)ccc1
origin: C(N(CC)CCCCCCCCCCCCCCCC[n+]1ccccc1)C, cl: C1C[N+]2(CC3CC(CN4C3CCCC4)C2)CC1, target: C(N(CC)CC)C
origin: N1(Cc2ccccc2)ccc1, cl: N1(Cc2ccccc2)CCCC1, target: N1(Cc2cccc(F)c2)CCCC1
origin: C(O)CN(CC)CCCCCC1, cl: N(C)(C)C, target: C(O)CN(CCN(CCO)CCO)CCO
origin: CC[N+](CC)(CC)CCCCC1, cl: CCC[N+](CCC)(CCC)CCC, target: CC[N+](CC)(CC)CC
origin: C(C)C[N+](C)(C)CCC1, cl: CN(C)C, target: C(C)C[N+](CCC)(CCC)CCC
origin: c1c(CN2CCCCCCCCCC[n+]1ccccc1, cl: OC[C@H]1N(Cc1ccccc1)CO, target: c1c(CN2CCC[C@H]2CO)cccc1
origin: C1COCCOCC2[N+]1(C)CCCCC1, cl: CCN(CC)CC, target: C1COCCOCCN2CCOCCOCCN1CCOCCOCC2
origin: C1NCCCCC1C3CCC[N+](C)(C)CCCC1, cl: CC[N+](CC)(C)CC, target: C1NCCCCC1
origin: N(CC)(CC)CCCC[N+](C)(C)CCCC1, cl: N(CCO)(CCO)CC, target: N(CC)(CC)CC
origin: C1CCNCCC1CCCCC1, cl: CN(C)C, target: C1CCNCCC1
origin: N(CCC)(CCCCCCCC[N+]2(C)CCCC2)CC, cl: C(N(CC)CC)C, target: N(CCC)(CCC)CCC
origin: [N+](CC)(CC)CCCCCCCCC[N+](C)(C)C, cl: C(C[N+](CCCC)(CCCC)CCCC)C, target: [N+](CC)(CC)(CC)CC
origin: CC[N+](CC)(CC)CCCC1, cl: C1C2([N+](C)(C)C)CC3CC(C2)CC1C3, target: CC[N+](CC)(CC)CC
origin: C1CCN(Cc2ccccc2)cc2CC1, cl: N1(Cc2ccccc2)C(CO)CCC1, target: C1CCN(Cc2ccccc2)[C@@H]1CO
origin: C(C)N(CC)CCCCCCC, cl: C(C)N(CC)CCO, target: C(C)N(CC)CC
origin: c1ccccc1[N+](C)(C)C, cl: C(N(CC)CC)C, target: c1ccccc1[C@H]([C@@H](NC)C)O
origin: C(C)N(CC)CC, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: C(C)N(CC)CCCCC[N+](C)(CCCCC[N+]2(C)CCCC2)CC, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: C(CN(CCO)CC)CCCCCCCCCC[n+]1ccccc1, cl: N(CC)(C(C)C)C(C)C, target: C(CN(CCO)CCO)N(CCO)CCO
origin: c1cc([C@@(C)(CC)CCC2)CCCC1, cl: CCN(CC)CC, target: c1cc([C@@H](O)[C@@H](NC)C)ccc1
origin: C1CN(Cc2ccccc2)ccc1, cl: C([N+](CCC)(CCC)CCC)C, target: C1CN(Cc2cccc(F)c2)CC1
origin: CCCN(CCC)CCCCCCC[N+]1(C)CCCC(C)C, cl: C1CCC(N(C2CCCCC2)C)CCC1, target: CCCN(CCC)CCC
origin: CCN(CC)CCCCCCCC[n+]1c(C)c(C)c1, cl: c1([C@@H]cccc2)(C)C)cccc2c1)CO, target: CCN(CC)CC
origin: CCN(CC)CCCCCC[n+]1ccccc1, cl: c1cccc(C[N+](C)(C)Cc2ccccc2)cc1, target: CCN(CC)CC
origin: CCN(CC)CCCC1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C(C)(NC(C)CCCC1)CCCCCC1, cl: N1(Cc2c(F)cccc2)CCCC1, target: C(C)(NC(C)C)C
origin: C([N+](CC)(CC)CCCCC2)cc1)c(C)n(C)c1, cl: C1N2CCN(CC2)C1, target: C([N+](CC)(CC)CC)C
origin: C(CN(CCC)CCCCCCCCCCC)cc1, cl: C1C(C)[N+]2(CCCC2)C(CC1)C, target: C(CN(CCC)CCC)C
origin: c1(CN2CCCCCCCCCCC[n+]1ccccc1, cl: C[N+]12CC3CC(CN4C3CCCC4)C2CCC1, target: c1(CN2CCCC2)cc(F)ccc1
origin: C([N+](C)(C)C)c1, cl: CCN(CC)CC, target: C([N+](C)(Cc1cccc(F)c1)C)c1cccc(F)c1
origin: CCN(CC)CCC1, cl: CN(C)C, target: CCN(CC)CC
origin: [C@H]12[N+](C)(C)CCCCC1C2, cl: C1C(N(C2CCCCC2)C)CCCC1, target: [C@H]12[N+](C)(C[C@@H]3C[C@H]1CN1[C@H]3CCCC1)CCCC2
origin: N(C)(C)C(C)C1, cl: CCC[N+](CCC)(CCC)CCC, target: N(C)(C)C(=N)N(C)C
origin: c1cc(C[n+]2c(C)cccc1)C, cl: c1cnccc1N(C)C, target: c1cc(C[n+]2ccn(C)c2)ccc1
origin: CC(C)NC(C)CC1, cl: Fc1cccc(CN2CCCC2CO)cc1, target: CC(C)NC(C)C
origin: CCCN(CCC)CCCC[N+]1(C)CCCC1, cl: CCN(CC)CC, target: CCCN(CCC)CCC
origin: CCN(CC)CC2, cl: C(C)C[N+](CCC)(CCC)CCC, target: CCN(CC)CC
origin: C(N(CC)CCCCCCCCCCCC[n+](cccc2)c1)C, cl: CC[N+]1(CC2C3C4C(C(C2C1)C=C3)C[N+](CC)(CC)C4)CC, target: C(N(CC)CC)C
origin: CCN(CCO)CCCC1, cl: CCN(CC)CC, target: CCN(CCO)CC
origin: C1CCN2C[C+]2(C)CCCCCCCC[n+]1cccc1, cl: C1N(Cc2cccc(F)c2)CCC1, target: C1CCN2C[C@H]3[C@H]4CCCC[N+]4(C)C[C@@H]([C@@H]2C1)C3
origin: N(C1CCCCCC[N+](C)(C)CCCCCCCCC)ccc1, cl: CCN(CC)CC, target: N(C1CCCCC1)(C1CCCCC1)C
origin: C1N(Cc2ccccc2)c1, cl: C(N(CCC)CCC)CC, target: C1N(Cc2ccccc2)CCC1
origin: c1c(CN2[C+](C)(C)C)CCC, cl: CCN(CC)CC, target: c1c(CN2[C@H](CO)CCC2)cccc1
origin: CCN(CC)CCCC1CCCCCC[n+]1c(C)n(C)cc1, cl: [N+](C12CC3CC(CC(C3)C1)C2)(C)C, target: CCN(CC)CC
origin: C(C)CN(CCCCCC)CCCC, cl: C(C)CN(CCC)CCC, target: C(C)CN(CCC)CCC
origin: c1(C)c(C)c(C)c1C, cl: C1NCCCCC1, target: c1(C)c(C)n(C)c(C)[n+]1C
origin: C1[C@@H]2(CCCCC2)CCCCCCCCC[N+]1(C)CCCC(C)CCC[N+](CC)(CC)CCCCCCCCCCCCCCCC1, cl: CCN(CC)CC, target: C1[C@@H]2[C@@H]3[N+](C)(CCCC3)C[C@H]1[C@@H]1CCCCN1C2
origin: OC(CO)Cn1ccc1C, cl: [C@@H]12CC[N+](CC2)(CCCCCC[N+]23CCN(CC2)CC3)C1, target: OC(CO)Cn1cc[n+](C)c1C
origin: C1OCCN2CC(C)(C)CCC1, cl: N(C)(C1CCCCC1)C1CCCCC1, target: C1OCCN2CCOCCOCCN(CCOC1)CCOCCOCC2
