origin: c1ccc(C[N+](C)(Cc2ccccc2)C)cc1, cl: n1(c([n+](cc1C)C)C)C, target: C(C)N(CCO)CC
origin: C(C)N(CC)CC, cl: C[n+]1cc(n(c1)C)C, target: c1ccc(CN2CCCCC2)cc1
origin: c1c(CN2C(CO)CCC2)cccc1, cl: C1[N+](CC)(CC)CCCC1C, target: C1CCNCCC1
origin: C12C3CC(C4CCCCN4C3)C[N+]1(C)CCCC2, cl: C1C(N(Cc2ccccc2)CC1)CO, target: N1CCCCCC1
origin: C(C)C[n+]1ccn(C)c1, cl: c1ccc(cc1)CN1C(CCC1)CO, target: C(C)[N+](CC)(CC)CC
origin: C(C)N(CCC)CCC, cl: C1C2[N+](CCCC2)(C)CC2C3N(CCCC3)C1, target: C(C)N(CC)CC
origin: C(CC)(C)N(CC)CC, cl: c1c(C(O)C(NC)C)cccc1, target: CC[N+](CC)(CC)CC
origin: n1(C)c[n+](CC)cc1, cl: C1CC(CCC1)N(C1CCCCC1)C, target: CC[n+]1ccn(C)c1C
origin: C1C2CC3CC(C2)CC1([n+]1ccn(C45CC(CC(C4)C5)C5)c1)C3, cl: C1(CO)N(CCC1)Cc1ccccc1, target: C1CCN(Cc2cccc(F)c2)[C@@H]1CO
origin: C(C)(C)N(C(C)C)CC, cl: C1N(Cc2c(cccc2)F)CCC1, target: CCN(CC)CC
origin: c1(F)ccccc1CN1CCCC1, cl: C(C)CN(CCC)CCC, target: C(C)N(CC)CC
origin: C(CC)N(CCC)CCC, cl: C1CCN(Cc2cccc(F)c2)C1, target: c1nccc(N(C)C)c1
origin: C(C)[N+](CC)(CC)CC, cl: C(CC)N(CCC)CCC, target: c1(F)cccc(C[N+](C)(Cc2cccc(F)c2)C)c1
origin: N(CC)(CC)CC, cl: c1c(C(O)C(NC)C)cccc1, target: C(C)N(CC)CC
origin: c1ccc(CN2CCCC2CO)cc1, cl: c1(C(C(O)C)NC)ccccc1, target: CC[N+]1(CC)C(C)CCCC1C
origin: c1c(CN2CCCC2)cccc1, cl: N(CC)(CC)CC, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: C1N(Cc2ccccc2F)C(CO)CC1, cl: [N+](CC)(CC)(CC)CC, target: OC[C@H]1N(Cc2cc(F)ccc2)CCC1
origin: c1c(C(O)C(C)NC)cccc1, cl: C(C)[n+]1c(n(cc1)C)C, target: N12[C@H]([C@@H]3C[N+]4(C)[C@H](CCCC4)[C@H](C1)C3)CCCC2
origin: C([n+]1ccn(C)c1C)CC, cl: C(N(CC)CC)C, target: [N+](Cc1cccc(F)c1)(C)(C)Cc1cc(F)ccc1
origin: C(C)N(CC)CC, cl: C([N+](CC)(CC)CC)C, target: CN(C)c1ccncc1
origin: c1ccc(CN2CCCC2)cc1, cl: c1ccc(C[N+](C)(Cc2ccccc2F)C)cc1, target: c1[n+](CC)c(C)n(C)c1
origin: c1ccc(CN2CCCC2)cc1, cl: C1N(CCC1)Cc1ccccc1, target: c1(C)n(C)cc[n+]1CCCC
origin: C(c1ccccc1)N1CCCC1, cl: c1(CN2CCCC2)ccccc1, target: C1N(Cc2ccccc2)CCC1
origin: C(C)(C(NCC)CC)C, cl: c1cc(CN2CCCC2CO)ccc1, target: CCN(CC)CC
origin: C(N(CCC)CCC)CC, cl: C1(CO)CCCN1Cc1cc(ccc1)F, target: N(CC)(CC)CC
origin: c1cc2c3c(cc1)CCC[N+]3(C)CCC2, cl: C1C(CCCC1)N(C)C1CCCCC1, target: C1N2CCOCCOCCN(CCOCCOC1)CCOCCOCC2
origin: C(CC)N(CCC)CCC, cl: Cc1n(c([n+](C)c1C)C)C, target: C1C2CC3C[N+](CC)(C)C1CC(C3)C2
origin: c1cccc(F)c1C(CO)O, cl: C1CC(CCC1)N(C1CCCCC1)C, target: N(CC)(CC)CC
origin: N1(Cc2ccccc2)C(CO)CCC1, cl: C(c1ccccc1)[n+]1ccn(c1C)C, target: CCN(CC)CC
origin: C1CN(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN1C, cl: c1(cccc(c1)C[N+](C)(C)Cc1ccccc1F)F, target: CN(C(=N)N(C)C)C
origin: c1ccc(C(C(C)NC)O)cc1, cl: C1C(N(C2CCCCC2)C)CCCC1, target: C(C)N(CC)CC
origin: C12C3CC(C1C[N+](C)(C)C2)CCCC3, cl: c1cc(CN2CCCC2)ccc1, target: C(CCC[n+]1c(C)n(C)cc1)CC
origin: C(C1CCCCC1)[n+]1cn(C)cc1, cl: c1(C)ccccc1C(O)C(NC)C, target: CCCN(CCC)CCC
origin: c1cccc(C[N+]2(C)CCCC2)c1, cl: C(N(CC)CC)C, target: c1ccccc1CN1[C@H](CO)CCC1
origin: c1cccc(CN2CCCC2CO)c1, cl: c1(ccccc1)C(O)C(C)N(C)Cc1ccccc1, target: c1cn(C)c[n+]1CCCC
origin: C(CC)CC[n+]1ccn(C)c1, cl: C1CC(CCC1)N(C)C1CCCCC1, target: C(C)NCC
origin: c1c(CN2CCCC2CO)cccc1, cl: C1CCCN2CC3C4[N+](CC(C21)C3)(C)CCCC4, target: n1(C)c(C)c(C)[n+](C)c1C
origin: c1ccc(C(C(NC)C)O)cc1, cl: C(C)(N(CC)CC)C, target: C1[C@H]2C[N+]3(C)[C@H](CCCC3)[C@@H]1CN1CCCC[C@@H]21
origin: c1(C)ccccc1CN1CCCC1, cl: c1cc(CN2CCCC2)c(F)cc1, target: C(CCC)[n+]1cn(C)cc1
origin: c1c(CN2CCCC2)cccc1, cl: c1(CN2CCCC2CO)ccccc1, target: C12CN3CCCCC3C(C[N+]3(C)CCCCC13)C2
origin: C1CCCCN1Cc1cccc(F)c1, cl: c1c(CN2CCCC2)cccc1, target: n1(C)c(C)c[n+](C)c1C
origin: N(CC)(CC)CC, cl: C[n+]1c(C)n(cc1)C, target: CN(C)C(N(C)C)=N
origin: c1ccc(CN2C(CO)CCC2)cc1, cl: C(N(CC)CC)C, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: OCC1N(Cc2ccccc2)CCC1, cl: c1cccc(c1)C(O)C(C)NC, target: c1c(F)cc(CN2CCCC2)cc1
origin: c1c(CN2CCCC2)cccc1F, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: C1CCCC2C3CN4CCCCC4C(C[N+]12C)C3, cl: C1CCC[N+]2(C)C(C3CC(C2)C2N(CCCC2)C3)C1, target: C([N+](CCC)(CCC)CCC)CC
origin: C(C1CCCCC1)[N+]1(C)CCCC1, cl: C(C)C(C)N(CCC)CCC, target: C(=N)(N(C)C)N(C)C
origin: [N+]12(C)C(CCCC1)C1CCCCC1C2, cl: C1CCC(CC1)N(C1CCCCC1)C, target: N(CC)(CC)CCO
origin: c1(C)n(C)c(C)[n+](C)c1C, cl: C1C(N(C2CCCCC2)C)CCCC1, target: C(CN(CCC)CCC)C
origin: c1cn(C)c(C)[n+]1C, cl: C1N(Cc2cc(F)ccc2)CCC1, target: C(CN(CC)CC)O
origin: CC(C(c1ccccc1)O)NC, cl: c1ccc(CN2C(CO)CCC2)cc1, target: OC(CNCC(C)O)C
origin: n1(C)c(C)c(C)[n+](C)c1C, cl: C1CCCCC1N(C1CCCCC1)C, target: CCN(CC)CC
origin: C(N(CCC)CCC)C, cl: C(CCC)N(CCCC)CCCC, target: c1cc(CN2CCC[C@H]2CO)ccc1
origin: C(N(CC)CC)C, cl: c1(cc(C[N+](C)(C)Cc2ccccc2)cccc1)F, target: C12CC3CC(CC(C1)C3)[N+](C)(C)C2
origin: C1CCN(Cc2ccccc2)C(CO)C1, cl: c1c(C(O)C(NC)C)cccc1, target: C(N(CC)CC)C
origin: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2, cl: C(c1ccccc1)N1C(CO)CCC1, target: C(N(CC)CC)C
origin: C1CCCCN1Cc1ccccc1, cl: C1C2CC3CC1CC(C3)(C2)[N+](C)(C)C, target: c1([C@H]([C@@H](NC)C)O)ccccc1
origin: C1(CO)CCCC1, cl: C1CC(N(Cc2ccccc2)C1)CO, target: c1cc(CN2[C@H](CO)CCC2)ccc1
origin: c1(F)ccc(C[N+](C)(C)Cc2ccc(F)cc2)cc1, cl: c1cc(CN2CCCC2)cc(F)c1, target: OCCN(CCO)CCO
origin: CC[N+](CC)(CC)CC, cl: C(N(CC)CC)C, target: C(N(CC)CC)C
origin: C(C(c1ccccc1)O)NC, cl: C(C)(C(c1ccccc1)O)NC, target: C(N(CC)CC)C
origin: c1(CN2CCCC2CO)ccccc1, cl: N1(Cc2ccccc2)C(CO)CCC1, target: C1[N+]2(C)C[C@@H]3C[C@H]([C@H]2CCC1)CN1[C@H]3CCCC1
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: C(C)(C)N(CC)C(C)C, target: C(N(CC)CC)C
origin: C(CC)[N+](CC)(CC)CC, cl: C1(CO)N(Cc2ccccc2)CCC1, target: C(C)N(CC)CC
origin: C(C)(C(O)c1ccccc1)NC, cl: c1ccc(c(C[N+](C)(Cc2ccccc2)C)c1)F, target: CCN(CC)CC
origin: C12C[N+]3(C)C(CCCC3)C(CN1CCCC2)C3, cl: C1CCN(C1CO)Cc1cccc(F)c1, target: Cn1c(C)[n+](Cc2ccccc2)cc1
origin: C(CC)NCCC, cl: C(CC)N(CCC)CCC, target: C12CC3CC([N+](C)(C)C)(CC(C3)C1)C2
origin: Cc1cccc(C)[n+]1CCCCC, cl: C(C)CN(CCC)CCC, target: N(CC)(CC)CC
origin: OCC1CCCN1Cc1ccccc1, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C[N+]12CC3CC(CN4CCCCC43)C1CCCC2
origin: C1C2CC3CC(C2)CC1C3[N+](C)(CCCC1)C3, cl: C12CC3(CC(CC(C1)C3)C2)[N+](C)(C)C, target: CN(C)C
origin: c1(C)c(C)[n+](CC)c(C)c1, cl: C1CCCCC1N(C1CCCCC1)C, target: C1[C@@H]2[C@@H]3CN4CCCC[C@H]4[C@H](C[N+]2(C)CCC1)C3
origin: c1(C(O)C(C)NC)ccccc1, cl: C[N+]12CC3C4N(CCCC4)CC(C2CCCC1)C3, target: CN[C@@H](C)[C@H](O)c1ccccc1
origin: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2, cl: c1cccc(C(O)C(C)NC)c1, target: C([N+](CCC)(CCC)CCC)CC
origin: C[N+](C12CC3CC(C1)CC(C3)C2)(C)C, cl: C([N+](CC)(CC)CC)C, target: CCN(CC)CC
origin: N1(Cc2ccccc2)CCCC1, cl: N(CC)(CC)CC, target: N(CC(C)C)CC(C)C
origin: c1cc(CN2C(CO)CCC2)ccc1, cl: c1cccc(C(O)C(C)N(C)C)c1, target: CCN(CC)CC
origin: c1cc(CN2CCCC2)ccc1, cl: C1CN(CC1)Cc1ccncc1, target: N(C)(C)C
origin: OCC1N(Cc2ccccc2)CCC1, cl: c1cccc(C[n+]2ccn(c2C)C)c1, target: N(CC)(CC)CC
origin: c1cc(CN2CCCC2)ccc1, cl: OCC1N(Cc2cc(ccc2)F)CCC1, target: CC(O)CNCC(O)C
origin: C(C)N(CC)CC, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C(N(CC)CC)C, cl: C(N(CC)CC)C, target: C1CC(N(C)C2CCCCC2)CCC1
origin: C1CCCN(Cc2ccccc2)C1, cl: C(c1ccccc1)(O)C(C)NC, target: C(N(CC)CC)C
origin: C1CN(Cc2ccccc2F)CC1, cl: c1cc(CN2CCCC2CO)ccc1, target: c1cc([C@@H](O)[C@H](C)NC)ccc1
origin: C(C)C[n+]1cn(C)cc1, cl: C1CN(Cc2ccccc2)CC1, target: CN(C)C(N(C)C)=N
origin: C1CN(Cc2ccccc2)C1CO, cl: c1ccc(cc1)CN1CCCC1CO, target: [N+]12(C)[C@@H]([C@H]3C[C@H]([C@H]4N(C3)CCCC4)C1)CCCC2
origin: c1ccc(F)cc1CN1CCCC1, cl: C1CC(CCC1)N(C1CCCCC1)C, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: c1c(CN2C(CO)CCC2)cccc1, cl: C1CCC2C3CC(CN2C1)C1[N+](C3)(CCCC1)C, target: N(CC)(CC)CC
origin: c1cc(C[N+](Cc2ccccc2)(C)C)ccc1, cl: C(CC)N(CCC)CCC, target: C([N+](CC)(CC)CC)C
origin: c1cc(Cn2c(C)[n+](C)cc2)ccc1, cl: N(CC)(CC)CC, target: CCCN(CCC)CCC
origin: C1CCN(Cc2ccccc2)C1, cl: c1[n+](cc(C)n1C)CC, target: N=C(N(C)C)N(C)C
origin: C1N(Cc2ccccc2)CCC1, cl: C12[N+](C)(CC3CC(CC(C3)C2)C1)C, target: C(C)N(CC)CC
origin: c1cccc(CN2CCCC2)c1, cl: c1(CN2CCCC2)ccccc1, target: C1CN(Cc2cccc(F)c2)CC1
origin: N(CCC)(CCC)CCC, cl: C1CCN(C1)Cc1ccccc1, target: C(C[N+](CCC)(CCC)CCC)C
origin: C1CN(Cc2ccccc2)C1CO, cl: Cc1n(C)c(C)[n+](c1C)C, target: c1ccccc1[C@H]([C@H](C)NC)O
origin: C(CC)CCNCCCC, cl: C(CCC)[n+]1c(n(C)cc1)C, target: C(C)(C)NC(C)C
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C1CCN(Cc2ccccc2F)C1, target: C(C)N(CC)CC
origin: C12C3CCCC[N+]3(C)CC(C1)C1N(CCCC1)C2, cl: C1C2C3CCCC[N+]3(C)CC1C1N(CCCC1)C2, target: CCCCNCCCC
origin: C(N(CCC)CCCC)CC, cl: c1ccc(C[n+]2c(n(C)cc2)C)cc1, target: C1[C@@H](CO)N(Cc2ccccc2)CC1
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(C)N(CC)CC, target: C1CN(Cc2ccccc2)[C@H](CO)C1
origin: CN(C(c1ccccc1)O)C, cl: C1C2C3CCCCN3CC(C2)C2[N+]1(C)CCCC2, target: c1ccccc1CN1CCCC1
origin: C(C(c1ccccc1)O)(C)N, cl: c1c(CN2C(CO)CCC2)cccc1, target: c1cccc(C[N+](C)(C)Cc2ccccc2)c1
origin: N1(Cc2c(F)cccc2)CCCC1, cl: c1ccc(C[N+](C)(C)Cc2ccc(cc2)F)cc1F, target: CCN(CC)CC
origin: c1ccccc1C(C(O)C(NC)C)O, cl: C(N(CC)CC)C, target: C(C)C[N+](CCC)(CCC)CCC
origin: n1(C)c(C)[n+](C)cc1, cl: c1(ccncc1)N1C(CO)CCC1, target: C(N1CCCC1)c1cc(F)ccc1
origin: C1(N(C2CCCCC2)C)CCCCC1, cl: C(CC)N(CCC)CCC, target: N(CC)(CC)CC
origin: n1(C)cc[n+](CC)c1C, cl: C12CC3CC(CC(C1)C3)C[N+]2(C)CC, target: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C
origin: Cc1n(C)c(C)c[n+]1C, cl: C(C)CN(CCC)CCC, target: C(CC)[N+](CCC)(CCC)CCC
origin: c1c(C(C(C)NC)O)cccc1, cl: c1(ccccc1)C(O)C(NC)C, target: C(O)CN(CC)CC
origin: C1CCCN1Cc1ccccc1, cl: n1(C)c(C)[n+](cc1)CC, target: C(C)N(CC)CC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C1CCCC(C1)N(C1CCCCC1)C, target: C([N+](CC)(CC)CC)C
origin: c1c(CN2CCCC2)ccnc1, cl: C(N(CC)CC)C, target: c1c([C@@H](O)[C@H](C)NC)cccc1
origin: N12CCCCC1C1CC(C3[N+](C)(CCCC3)C1)C2, cl: C1(CO)N(Cc2cccc(F)c2)CCC1, target: CCCN(CCC)CCC
origin: c1c(F)ccc(C[N+](C)(Cc2ccccc2)C)c1, cl: c1(C(O)C(C)NC)ccccc1, target: C([N+](CCC)(CCC)CCC)CC
origin: C1(N(C)C2CCCCC2)CCCCC1, cl: Cc1n(c(C)c(C)[n+]1C)C, target: C1(N(C)C2CCCCC2)CCCCC1
origin: OC(C(c1ccccc1)O)(C)O, cl: C(N(CC)CC)C, target: c1cc(F)cc(C[N+](C)(Cc2cccc(F)c2)C)c1
origin: C(C)N(CC)CC, cl: C(C)(C)N(CC)C(C)C, target: C1CCN(Cc2ccccc2)[C@@H]1CO
origin: C(C)[N+](CC)(CC)CC, cl: c1ccc(cc1)C(O)C(NC)C, target: CN(C)C
origin: c1cccc(C(O)C(C)NC)c1, cl: C(CC[n+]1ccn(C)c1C)C, target: N(CC)(CC)CC
origin: C(N(CC)CC)C, cl: c1cc(C(O)C(C)NC)ccc1, target: CCN(CC)CC
origin: c1(C(C(C)NC)O)ccccc1, cl: c1cc(CN2CCCC2)c(F)cc1, target: C(C)N(CC)CC
origin: C(C(C(O)c1ccccc1)O)NC, cl: C(c1ccc(cc1)F)N1CCCC1, target: c1ccccc1[C@H]([C@@H](NC)C)O
origin: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2, cl: C1N(CCC1)Cc1ccccc1, target: C(N(CC)CC)C
origin: C12C3CCCCN3CC(C1)C1[N+](C)(CCCC1)C2, cl: C1N2CCN(CC2)C1, target: CCN(CC)CC
origin: c1ccc(C[N+](C)(Cc2cc(F)ccc2)C)cc1, cl: C1C2C3C[N+]4(C)C(C(CN2CCC1)C3)CCCC4, target: CCN(CC)CC
origin: c1c(F)cccc1CN1C(CO)CCC1, cl: c1ccc(C(O)C(NC)C)cc1, target: C1C[C@H]2[N+](C)(C[C@@H]3C[C@H]2CN2CCCC[C@H]23)CC1
origin: C1C2CC3CC(C2)CC1[N+]1(C)CCCCC13, cl: c1cccc(C(O)C(NC)C)c1, target: [N+]1(C)(C)C2CC3CC(C1)CC(C3)C2
origin: c1cc(CN2CCCC2CO)ccc1, cl: C(C)CCN(CCCC)CCCC, target: C1CCC(N(C2CCCCC2)C)CC1
origin: C(CC)N(CCC)CCC, cl: C(C)N(CC)CC, target: C(C)N(CC)CC
origin: C(CN(CCC)CCC)C, cl: C(N(CCC)CCC)CC, target: CN(C(=N)N(C)C)C
origin: c1cc(CN2CCCC2)ccc1, cl: c1c(C(C(c2ccccc2)O)NC)cccc1, target: C(C)[N+](CC)(CC)CC
origin: c1cccc(CN2CCCC2CO)c1, cl: CCCN(CCC)CCC, target: CCN(CC)CC
origin: c1c(F)cccc1C(O)C(C)NC, cl: Cc1n(C)cc[n+]1CC, target: c1ccc([C@@H](O)[C@H](C)NC)cc1
origin: C1CCC(CO)N(Cc2ccccc2)C1, cl: c1cc(ccc1)CN1CCCCC1, target: CCC[N+](CCC)(CCC)CCC
origin: c1ccc(CN2CCCC2CO)cc1, cl: C(N(CC)CC)C, target: C(C)[N+](CC)(CC)CC
origin: C(C)[n+]1ccn(C)c1C, cl: C1CC2N(CC3C4CCCC[N+]4(C)CC2C3)CC1, target: c1c(N(C)C)ccnc1
origin: C(C)N(CC)CC, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C1CC[C@@H]2[C@H]3C[C@H]([C@@H]4CCCCN4C3)C[N+]2(C)C1
origin: C1CCN(Cc2ccccc2)C1, cl: C(N1CCCC1)c1cccc(c1)F, target: CCN(CC)CC
origin: c1ccc(CN2CCCC2CO)cc1, cl: C1C2C3CCCCN3CC(C3[N+]1(C)CCCC3)C2, target: CC[n+]1ccn(C)c1C
origin: c1(C[N+](C)(Cc2ccccc2)C)ccccc1, cl: CCCC[n+]1ccn(c1C)C, target: C(C)N(CC)CC
origin: C1N(C)CCCN(C)C1, cl: CC(N(C(C)C)CC)C, target: CCN(CC)CC
origin: c1ccccc1CN(C(C(c2ccccc2)C)C)c1, cl: C(C)CN(CCC)CCC, target: N(CC)(CC)CC
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: C1CC(CCC1)N(C1CCCCC1)C, target: C(C)[N+](CC)(CC)CC
origin: C1CCCC(CO)N1Cc1ccccc1, cl: c1c(cc(cc1)CN1CCCC1)F, target: c1c(CN2CCC[C@H]2CO)cccc1
origin: C1N(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)C1, cl: c1(N(C)C)ccncc1, target: [C@H]12[C@@H]3C[N+]4(C)[C@@H]([C@H](CN1CCCC2)C3)CCCC4
origin: C1N(Cc2ccccc2)CCC1, cl: C(C)CN(CCC)CCC, target: CCN(CC)CC
origin: C1CCC2C3CC([N+](C)(C)C)CC13, cl: N(CC)(CC)CC, target: C1CCC(N(C2CCCCC2)C)CC1
origin: c1ccc(CN2CCCC2)cc1, cl: C12CC3CC(CC(C3)(C1)[N+](C)(C)C)C2, target: C(N(CCC)CCC)CC
origin: c1ccc(CN2CCCC2CO)cc1, cl: C(C)CNCCC, target: [N+](CC)(CC)(CC)CC
origin: c1cccc(CN2CCCC2)c1, cl: C(C(C)NC)(c1ccccc1)O, target: CCN(CC)CC
origin: c1ccccc1CN1CCCC1CO, cl: C1(CCCCC1)N(C)C1CCCCC1, target: C1N(Cc2cccc(F)c2)CCC1
origin: C1CC(CO)[N+](C)(Cc2ccccc2)C1, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: C12C3[N+](CC(C4N(CCCC4)C3)C2)(C)CCCC1, target: C1CCN2C[C@H]3[C@H]4CCCC[N+]4(C)C[C@H](C3)[C@@H]2C1
origin: C1C(N(C)C2CCCCC2)CCCC1, cl: C1CCCC2[N+]1(CC1C3N(CC2C1)CCCC3)C, target: C([N+](CC)(CC)CC)C
origin: c1c(CN2CCCC2)cccc1, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C1CCCC(N(C)C2CCCCC2)C1
origin: OC(c1ccccc1)O, cl: C(C)CNCCC, target: C(C)N(CC)CC
origin: C1CCC(CO)N1Cc1ccccc1, cl: C1CCC[N+]1(C)CCCC, target: CCN(CC)CC
origin: C([n+]1cn(C)cc1)CCC, cl: CCCCN(CCC)CCC, target: CCN(CC)CC
origin: C(C)N(CC(O)C)C, cl: c1cc(ccc1)C(O)C(NC)C, target: C(C)CN(CCC)CCC
origin: c1[n+](CCCC)ccn1C, cl: C1C2C3CN4C(C(C3)C[N+]2(C)CCC1)CCCC4, target: C(C)N(CC)CCO
origin: C1CN(Cc2ccccc2F)CC1, cl: c1cc(C[N+](Cc2ccccc2F)(C)C)ccc1F, target: [C@H]12[C@H]3C[C@@H](CN1CCCC2)[C@H]1CCCC[N+]1(C)C3
origin: c1cc(C(O)C(NC)C)ccc1, cl: C(C)[n+]1ccn(c1)C, target: C1C[C@@H]2[C@@H]3CN4CCCC[C@H]4[C@H](C[N+]2(C)CC1)C3
origin: c1ccc(CN2CCCC2CO)cc1, cl: N12CCCCC1C1CC(C2)C2CCCC[N+]2(C1)C, target: C(N(CC)CC)C
origin: c1(C)n(C)c[n+](C)c1C, cl: C1CCCCN1Cc1ccccc1, target: C(C)N(CC)CC
origin: c1ccc(C(O)C(c2ccccc2)O)cc1, cl: C(N(CC)CC)C, target: C1CCC[C@H]2[C@H]3C[C@H]([C@@H]4[N+](C)(CCCC4)C3)CN12
origin: C1CC2C3CC(C2CCC1)C[N+]1(C)C3CCCC1C3, cl: C(C)CN(CCC)CCC, target: C1CN(CCN)CCN1
origin: C1CCCC2C3CC(C[N+]1(C)C3)CN1CCCC2, cl: C(C(O)c1ccccc1)(c1ccccc1)O, target: CCN(CC)CC
origin: C1C(CO)N(Cc2ccccc2)CC1, cl: c1c[n+](CCCC)c(n1C)C, target: CCN(CC)CC
origin: c1ccccc1C[N+](Cc1ccccc1)(C)C, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C(N(CC)CC)C
origin: c1(CN2CCCC2)ccccc1, cl: C1CCC(CC1)N(C1CCCCC1)C, target: C1N2CCN(CC2)C1
origin: C(CC)N(CCC)CCC, cl: c1cccc(C(O)C(NC)C)c1, target: N(CC)(CC)CC
origin: C(CC)[N+](CCC)(CCC)CCC, cl: C1CC2C3CC(C[N+]2(C)CC1)C1N(C3)CCCC1, target: C1CN2[C@H]([C@@H]3C[N+]4(C)[C@@H]([C@@H](C3)C2)CCCC4)CC1
origin: c1(CN2CCCC2)ccccc1F, cl: c1(ccccc1)C(C(NC)C)O, target: C(C)N(CC)CC
origin: CCCN(CCC)CCC, cl: C(N(CC)CC)C, target: CCN(C(C)C)C(C)C
origin: c1cc(F)ccc1C[N+](C)(Cc1cc(F)ccc1)C, cl: C1N(Cc2ccccc2F)CCC1, target: N(C)(C)C
origin: C1CCCN1Cc1ccccc1, cl: c1[n+](c(n(c1)C)C)CC, target: CCN(CC)CC
origin: c1cccc(CN2C(CO)CCC2)c1, cl: C(C(C)NC)(N(C)C)=N, target: C1OCCN2CCOCCOCCN(CCOC1)CCOCCOCC2
origin: C1NCCCC1, cl: C1CN(Cc2ccc(cc2)F)CC1, target: N(CCC)(CCC)CCC
origin: C(N(CC)CC)C, cl: c1cccc(C(O)C(C)NC)c1, target: CCN(CC)CC
origin: c1ccc(CN2C(CO)CCC2)cc1, cl: c1(c(F)cccc1)CN1CCCC1, target: CCCN(CCC)CCC
origin: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2, cl: C(C[N+](CCO)(CCO)C)O, target: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2
origin: C1CCC2CCCN1CC2, cl: C(CO)N(CCO)C, target: [C@@H]1(CO)CCCN1Cc1ccccc1
origin: C(c1ccccc1)N1CCCC1, cl: c1cccc(C(O)C(C)NC)c1, target: C(N(CC)CC)C
origin: c1(C)n(C)c(C)[n+](C)c1C, cl: C(C)C1N(CCCC1)Cc1ccccc1, target: C(C)[N+](CC)(CC)CC
origin: Cc1n(C)cc[n+]1CCC, cl: c1ccc(c(c1)C[N+](C)(Cc1cc(F)ccc1)C)F, target: C(C)N(CC)CCO
origin: C(C)N(CCC)CCC, cl: C1CCC(N(C2CCCCC2)C)CC1, target: C(N(CC)CC)C
origin: C1C(CO)CCN1Cc1ccccc1, cl: C1(CO)CCCN1Cc1ccccc1, target: CN(C)C
origin: C12CC3CC(CC(C1)C3)C[N+]2(C)C, cl: c1(ccccc1)CN1CCCC1, target: C1CCCCC1N(C)C1CCCCC1
origin: C(C)(N(CCC)CCC)C, cl: C1N(Cc2ccccc2)C(CC1)CO, target: C(C)N(CC)CC
origin: C1CC(CO)N(Cc2ccccc2F)C1, cl: C1CCN(Cc2ccccc2)C1CO, target: C(c1ccccc1)N(C)C
origin: c1ccccc1C(C(C)NC)O, cl: C12C3CCCCN3CC(C1)C1[N+](C)(C2)CCCC1, target: C(CN(CCO)C)O
origin: OCC1CCCN1Cc1ccccc1, cl: N1(C(CO)CCC1)Cc1ccccc1, target: CCC[N+](CCC)(CCC)CCC
origin: N(C(C)C)(C)C, cl: C(N(CC)CC)C, target: C(N(CC)CC)C
origin: [N+](C)(C)(C)CC, cl: C(C(O)c1ccccc1)(NC)C, target: c1c(CN2CCCC2)c(F)ccc1
origin: C(N(CC)CC)C, cl: C(C)[N+](CCC)(CCC)CCC, target: C(N(CC)CC)C
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C(C(C)N(C)C)(O)c1ccccc1, target: C1CCCCNC1
origin: c1(C)cc(CN2CCCC2)ccc1, cl: C1(CO)N(CCC1)Cc1ccccc1, target: C(C)N(CC)CC
origin: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, cl: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, target: C(C)[N+](CC)(CC)CC
origin: C1C(C[N+](C)(C)C)(c2ccccc2)CCC1, cl: C(N(CC)CC)C, target: C(N(CCO)CCO)CN(CCO)CCO
origin: C(C)[N+](CC)(CC)CC, cl: N1(Cc2cc(ccc2)F)C(CO)CCC1, target: c1[n+](CCCC)cc(C)c(C)c1
