origin: C[N+](C1C2CC3CC(CC1C3)C2)(C)C, cl: c1(N(C)C)ccncc1, target: C1C2CC3C([N+](C)(C)C)C1CC(C3)C2
origin: C1CCCCC1N(C1CCCCC1)C, cl: n1(C)c[n+](cc1)CCCC, target: C1CCCCC1N(C)C1CCCCC1
origin: c1ccccc1CN1CCCC1, cl: c1(CN2CCCC2)ccccc1, target: [n+]1(CCCC)ccn(C)c1
origin: C1CCCCC1N(C1CCCCC1)C, cl: c1n(C)c([n+](c1)CCCC)C, target: C1CCCCC1N(C)C1CCCCC1
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: CN(C1CCCCC1)C1CCCCC1, target: c1cccc(C[n+]2ccn(C)c2C)c1
origin: c1ccc(C[N+]2(C)C(CO)CCC2)cc1, cl: [C@H4CCCCC4CC(CCCCCC)(CCCC)C3, target: C1[C@@H](CO)N(Cc2ccccc2)CC1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: CCN(CC)CC, target: C(CN(CCC)CCC)C
origin: C1CCCCC1N(C1CCCCC1)C, cl: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, target: C1CN(CCN)CCN1
origin: c1[n+](C)c(C)n(C)c1C, cl: C1CC(CCC1)N(C)C1CCCCC1, target: C(N(CC)CC)C
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C[N+](C)(C)C1C2CC3CC1CC(C3)C2, target: N(C1CCCCC1)(C)C1CCCCC1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: [C@H2CCCC, target: CCN(CC)CC
origin: C(C)N(CC)CC, cl: N12[N+](CCCC1)(CC1CC2CN2C1CCCC2)C, target: C1CCC(N(C2CCCCC2)C)CC1
origin: C1CCC2C3CC(CN2C1)C1CCCC[N+]1(C)C3, cl: c1(F)cc(CN2CCCC2)ccc1, target: C1CC[N+]2(C)[C@H](C1)[C@@H]1CN3CCCC[C@H]3[C@H](C2)C1
origin: C(O)(C(C)NC)c1ccccc1, cl: C1(N(Cc2ccccc2)CCC1)CO, target: CCN(CC)CC
origin: C12CC3CC(CC(C1)C3[N+](C)(C)C)C2, cl: C1[C+]2(C)C(C3CN4C(C(C3)C2)CCCC4)CCC1, target: C1[C@H]2[C@H]3CCCC[N+]3(C)C[C@@H]([C@@H]3CCCCN13)C2
origin: c1ccccc1C(O)C(C)NC, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: c1cccc(C(O)C(N(C)C)C)c1, cl: CN(C1CCCCC1)C1CCCCC1, target: [C@H](O)(c1ccccc1)[C@H](C)NC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: CCCN(CCC)CCC, target: C(C)N(CC)CC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C(c1ccccc1)N1CCCC1, target: c1ccc([C@@H](O)[C@H](C)NC)cc1
origin: C(N(CCC)CCC)CC, cl: C1N2CCOCCOCCN(CCOCCOC1)CCOCCOCC2, target: C(N(CC)CC)C
origin: C1(CO)N(Cc2ccccc2)CCC1, cl: N12CCCCC1C1CC(C3[N+](CCCC3)(C)C1)C2, target: C1CCCC(N(C2CCCCC2)C)C1
origin: c1ccc(C(O)C(NC)C)cc1, cl: CCN(CC)CC, target: C(CC)N(CCC)CCC
origin: CCN(CC)CC, cl: c1cccc(c1)C(C(NC)C)O, target: N(CC)(CC)CC
origin: c1(CN2CCCC2)cc(F)ccc1, cl: C1CCCC(C1)N(C1CCCCC1)C, target: C(N(C)C)c1ccccc1
origin: C(C)N(CC)CC, cl: c1(CN2CCCC2)ccccc1, target: C(c1cc(F)ccc1)N1CCCC1
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C(N(CC)CC)C, target: N(CC)(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: c1ccc(cc1)CN1CCCC1CO, target: C(C)N(CC)CC
origin: c1(C[n+]2c(C)n(C)cc2)ccccc1, cl: C1N2CCOCCOCCN(CCOCCOCC2)CCOCCOCCOCCOCCOC1, target: CC[N+](CC)(CC)CC
origin: c1cc(CN2CCCC2)ccc1, cl: C1CCCN1Cc1ccccc1, target: C(C)(O)CNCC(O)C
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(CN(CCC)CCC)CC, target: N(CC)(CC)CC
origin: C1CCCN1Cc1ccccc1, cl: C(N(CC)CC)CO, target: C(C)CN(CCC)CCC
origin: c1c(CN2CCCC2)cccc1, cl: c1cc(ccc1)CN1CCCC1CO, target: N1(Cc2cc(F)ccc2)CCCC1
origin: C1CCN(Cc2ccccc2)C1, cl: c1ccc(C[n+]2ccn(C)c2)cc1, target: Cc1[n+](CC)ccn1C
origin: C1CCCCC1N(C)C1CCCCC1, cl: N(CC)(CC)CC, target: CN(C)C
origin: C1C(C)[N+](CC)(CC)C(C)CC1, cl: CC[N+](CC)(CC)CC, target: C1(C)[N+](CC)(CC)C(C)CCC1
origin: C1CCC(N(C)C2CCCCC2)CC1, cl: C1CCCN1Cc1cccc(F)c1, target: C(N(CC)CC)C
origin: C1C(N(C)C2CCCCC2)CCCC1, cl: CCN(CC)CC, target: N(C(C)C)(CC)C(C)C
origin: c1ccccc1CN1C(CO)CCC1, cl: C(CC)N(CCC)CCC, target: c1([C@H](O)[C@H](C)NC)ccccc1
origin: C(O)C1CCCN1Cc1ccccc1, cl: N1CCCCCC1, target: Fc1ccccc1C[N+](Cc1c(F)cccc1)(C)C
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: C1CCCN1Cc1cc(F)ccc1, target: N1(Cc2ccccc2)CCCC1
origin: c1(C)[n+](C)c(C)n(C)c1C, cl: [C@H2CCCCCCCCCCC[N+](C)(C)C, target: n1(C)cc[n+](CCCC)c1
origin: CCN(CC)CC, cl: C(C)CCN(CCC)CCC, target: C(N(CC)CC)C
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: c1c(CN(C)C(C)C(O)c2ccccc2)cccc1, target: C(N(CC)CC)C
origin: C1CCC2C3CC(C[N+]2(C)C1)C1N(CCCC1)C3, cl: C1CCC(CO)N1Cc1ccccc1, target: C[N+](C1C2CC3CC(CC1C3)C2)(C)C
origin: C12C3CC(C4CCCCN4C3)C[N+]1(C)CCCC2, cl: CC(N(CC)C(C)C)C, target: [C@@H]12[C@H]3CCCC[N+]3(C)C[C@@H]([C@@H]3CCCCN3C1)C2
origin: C1CCCCC1N(C)C1CCCCC1, cl: CCN(CC)CC, target: C1C(N(C)C2CCCCC2)CCCC1
origin: C(C)N(CC)CC, cl: c1c(cccc1)CN1CCCC1CO, target: C(C)N(CC)CC
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: CC(NC)C(O)c1ccccc1, target: CCN(CC)CC
origin: c1cc(CN2CCCC2)ccc1, cl: C(C)(C(C)NC)c1ccccc1, target: c1cc(CN2CCC[C@H]2CO)ccc1
origin: C1N(Cc2cc(F)ccc2)CCC1, cl: C(N(CC)CC)C, target: c1c(C[N+](C)(C)Cc2ccc(F)cc2)ccc(F)c1
origin: c1cc(C(O)C(C)NC)ccc1, cl: C([N+](CC)(CC)CC)C, target: C1[N+](CCCC)(C)CCC1
origin: CCN(CC)CC, cl: CCN(CC)CC, target: C(C[N+](CCC)(CCC)CCC)C
origin: c1cccc(C[N+](C)(C)Cc2ccccc2)c1, cl: c1c(cc(cc1)CN1CCCC1)F, target: N1(Cc2cccc(F)c2)CCCC1
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: C(N1CCCC1)c1ccccc1, target: CC[N+](CC)(CC)CC
origin: c1ccccc1C(C(C)N(C)C)O, cl: C1CCCCN1Cc1ccccc1, target: CCCN(CCC)CCC
origin: C1C2C3CC(C4CCCCN4C3)C[N+]2(C)CCC1, cl: c1(CN2CCCC2)ccccc1, target: C1C[N+]2(C)[C@H](CC1)[C@@H]1CN3[C@@H](CCCC3)[C@@H](C1)C2
origin: CN(C)Cc1ccccc1, cl: C12CC3CC(C1)CC(C2)(C3)[N+](C)(C)C, target: CCN(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(C)CCN(CCC)CCC, target: c1cccc([C@@H]([C@H](C)NC)O)c1
origin: CN(C1CCCCC1)C1CCCCC1, cl: C(C)CCNCCCC, target: c1c(CN2CCC[C@H]2CO)cccc1
origin: Cn1c(C)[n+](CCCC)cc1, cl: C(C)CCCNCCCCC, target: C(C)[N+](CC)(CC)CC
origin: C1CC(CO)N(Cc2ccccc2)C1, cl: C(N(CC)CC)C, target: CCCN(CCC)CCC
origin: C1C2C3CCCCN3CC(C3CCCC[N+]13C)C2, cl: C(N(CC)CC)C, target: C[N+]12C[C@H]3[C@@H]4CCCCN4C[C@H](C3)[C@H]1CCCC2
origin: C1CCCCC1N(C)C1CCCCC1, cl: CCCN(CCC)CCC, target: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2
origin: C(C)N(CC)CC, cl: C(N(CCO)CCO)CO, target: OCCN(CCO)CCO
origin: C1CCCN1Cc1ccccc1, cl: n1(C)cc[n+](CCCC)c1, target: C1[C@@H](CO)N(Cc2ccccc2)CC1
origin: CCN(CC)CC, cl: CCNCC, target: C1CN(Cc2ccccc2)[C@H](CO)C1
origin: CCN(CC)CC, cl: C(C)CC[N+]1(CCCC1)C, target: CCN(CC)CC
origin: CC(N(CC)C(C)C)C, cl: N(C(C)C(O)c1ccccc1)C, target: CC[N+](CC)(CC)CC
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: CCN(CC)CC, target: OCCN(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: N(CCO)(CCO)CCO, target: C1CCCCC1N(C)C1CCCCC1
origin: Cc1[n+](C)c(C)n(C)c1C, cl: C1OCCN2CCOCCOCCN(CCOC1)CCOCCOCC2, target: n1(C)cc[n+](Cc2ccccc2)c1
origin: C(CCC)CC[n+]1ccn(C)c1C, cl: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3, target: C(CCC[n+]1ccn(C)c1C)CC
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: C(CO)N(CCO)CCO, target: c1c(CN2CCCC2)cccc1
origin: C1CCNCCC1, cl: C(CN(CCO)CCO)N(CCO)CCO, target: OCCN(CCO)CCO
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(N(CC)CC)C, target: C1CN2CCOCCOCCN(CCOCCO1)CCOCCOCC2
origin: C(CC)C[n+]1cn(C)cc1, cl: C(N(CC)CC)C, target: C(CCC)[n+]1ccn(C)c1
origin: C([n+]1c(C)n(C)cc1)CCCC, cl: C(N(CCC)CCC)CC, target: Cc1c(C)n(C)c(C)[n+]1C
origin: c1cc(N(C)C)ccn1, cl: C(N(CC)CC)C, target: CN(C)c1ccncc1
origin: c1(C)n(C)c(C)c(C)[n+]1C, cl: C(C[N+](CCC)(CCC)CCC)C, target: C([N+](CCC)(CCC)CCC)CC
origin: C1CCCC2C3CC(C4CCCCN4C3)C[N+]12C, cl: CN(C1CCCCC1)C1CCCCC1, target: C1CCCN2C[C@@H]3C[C@@H](C[N+]4(C)CCCC[C@H]34)[C@H]12
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: N(CC)(CC)CC, target: N(C)([C@H]([C@@H](c1ccccc1)O)C)C
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C(C)CN(CCC)CCC, target: C(CN(CCC)CCC)C
origin: C(N(CC)CC)C, cl: N12CCN(CC2)CC1, target: N(CC)(CC)CC
origin: C1CCN(Cc2ccccc2)C1, cl: C(C)CC[n+]1ccn(C)c1, target: N(CC)(CC)CC
origin: c1(F)ccccc1C[N+](C)(Cc1ccccc1F)C, cl: CC(NC)C(O)c1ccccc1, target: CCN(CC)CC
origin: CN(C1CCCCC1)C1CCCCC1, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C(N(CC)CC)C, cl: C1OCCOCCN2CCOCCOCCN(C1)CCOCCOCC2, target: C(C)N(CC)CC
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: C(C)CN(CCC)CCC, target: c1ccc([C@H]([C@@H]([N+](C)(C)C)C)O)cc1
origin: c1cccc(CN2C(CO)CCC2)c1, cl: CCN(CC)CC, target: C(N(CC)CCO)C
origin: C(C)N(CC)CC, cl: C(N(CCC)CCC)CC, target: CCN(CC)CC
origin: [N+]12(C)CC3C4CCCCN4CC(C3)C1CCCC2, cl: C[N+](Cc1ccc(F)cc1)(Cc1ccccc1F)C, target: C1C2N(CCC1)CC1CC2C[N+]2(C)C1CCCC2
origin: c1(C)c(C)[n+](C)c(C)n1C, cl: N(CC)(CC)CC, target: CCCN(CCC)CCC
origin: c1c(C(C(NC)C)O)cccc1, cl: [C@H4CCCCN4CCC(CC(CC)C)C3, target: N1(Cc2ccccc2)[C@H](CO)CCC1
origin: C(C)CC[n+]1c(C)n(C)cc1, cl: [C@H2CCCCC1C1CC(C3CCCCN3C1)C2, target: C(CC)N(CCC)CCC
origin: C(C)(N(CC)C(C)C)C, cl: C(C)CC[n+]1ccn(c1)C, target: C(c1ccccc1)N1CCC[C@H]1CO
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: c1(C)[n+](CCCC)ccn1C, cl: c1cccc(c1)C(O)C(NC)C, target: c1(C)[n+](CCCC)ccn1C
origin: c1nccc(N(C)C)c1, cl: C(N(CC)CC)C, target: CN(C)c1ccncc1
origin: c1cn(C)c(C)[n+]1CC, cl: C1[C+]2(C)C(C3CN4C(CCCC4)C(C3)C2)CCC1, target: n1(C)cc[n+](CCCCCC)c1C
origin: c1cccc(CN2C(CO)CCC2)c1, cl: C(N(CC)CC)C, target: C1CCCNCC1
origin: C1C2C3CCCCN3CC1C1[N+](C)(CCCC1)C2, cl: CCN(CC)CC, target: [N+]12(C)CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@H]2N(CCCC2)C1
origin: C1CCCCC1N(C1CCCCC1)C, cl: CN(C)c1ccncc1, target: CCN(CC)CC
origin: C1CCN(Cc2ccccc2)C1, cl: CCN(CC)CC, target: c1c(CN2CCCC2)c(F)ccc1
origin: C1CCN(Cc2ccccc2)C1CO, cl: C(C)CC[n+]1cccc(c1)C, target: [N+](CCC)(CCC)(CCC)CCC
origin: C1CCCCC1N(C)C1CCCCC1, cl: CCCN(CCC)CCC, target: C(C)N(CC)CC
origin: C1CCN(Cc2ccccc2)C1, cl: C1CCCN2CC3C4CCCC[N+]4(C)CC(C3)C12, target: C(O)CN(C)CCO
origin: C1CCN(Cc2ccccc2)C1, cl: CN(c1ccncc1)C, target: CCN(CC)CC
origin: CCCC[n+]1c(C)n(C)cc1, cl: c1(CN2CCCC2)ccccc1, target: CCC[N+](CCC)(CCC)CCC
origin: N1(Cc2ccccc2)CCCCCC1, cl: c1cc(CN2CCCC2)ccc1, target: C1CCCNCC1
origin: C1CCCN1Cc1ccccc1, cl: C(C)CN(CCC)CCC, target: c1(C)n(CC(O)CO)cc[n+]1C
origin: C(C)N(CC)CC, cl: C1[N+]2(C)C(C3CN4C(CCCC4)C(C3)C2)CCC1, target: C1CNCCCC1
origin: c1ccccc1C(C(C)NC)O, cl: CN(C)C, target: c1ccc(CN([C@H]([C@H](c2ccccc2)O)C)C)cc1
origin: CCN(CC)CC, cl: C(N(C)C)C(c1ccccc1)O, target: C([N+](CCC)(CCC)CCC)CC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C(CCC)CC[n+]1ccn(C)c1, target: CC(N(CC)C(C)C)C
origin: C1CCCCC1N(C)C1CCCCC1, cl: N(CC)(CC)CC, target: C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2
origin: OC(C(NC)C)c1ccccc1, cl: C(N(CC)CC)C, target: C(N(CCO)CC)C
origin: c1cccc(C[n+]2ccn(C)c2)c1, cl: c1ccc(C(O)C(C)N(C)C)cc1, target: c1cc(N(C)C)ccn1
origin: c1ccccc1CN1CCCC1, cl: C12CC3CC(C2)CC(C3)(C1)[N+](C)(C)C, target: c1(C[N+](Cc2cc(F)ccc2)(C)C)cccc(F)c1
origin: C1CCCCC1N(C1CCCCC1)C, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C[N+](C)(Cc1ccccc1)C(C)C(c1ccccc1)O, target: CCCN(CCC)CCC
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(C)(C)N(CC)C(C)C, target: C1CC(N(C2CCCCC2)C)CCC1
origin: c1ccccc1C(C(NC)C)O, cl: CCN(CC)CC, target: O1CCN2CCOCCOCCN(CCOCCOCC2)CCOCC1
origin: C1CNCCCC1, cl: OCCN(CCO)CCN(CCO)CCO, target: N(CC)(CC)CC
origin: C1CCC2N(CC3C4[N+](C)(CC2C3)CCCC4)C1, cl: CC[N+](CC)(CC)CC, target: [C@@H]12CCCCN1C[C@H]1[C@@H]3[N+](C)(CCCC3)C[C@@H]2C1
origin: c1cc(CN2CCCC2CO)ccc1, cl: c1cccc(CN2CCCC2)c1, target: c1cc(N(C)C)ccn1
origin: C(C)N(CC)CC, cl: C1COCCOCCN2CCOCCOCCN1CCOCCOCC2, target: CCN(CC)CC
origin: c1ccc(CN2CCCC2CO)cc1, cl: c1(CN2CCCC2)ccccc1, target: c1(F)cc(CN2[C@H](CO)CCC2)ccc1
origin: C1CCCCC1N(C)C1CCCCC1, cl: CCN(CC)CC, target: C1N2CCOCCOCCN(CCOCCOC1)CCOCCOCC2
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: N1(Cc2ccccc2)CCCCCC1
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: c1c(cccc1)C(O)C(C)NC, target: N(CC)(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(C)CCN(CCC)CCC, target: C(C(C)C)NCC(C)C
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: c1ccc(C[N+](C)(C)Cc2ccccc2F)cc1F, cl: C1CCCC(C1)N(C1CCCCC1)C, target: C(N(CCC)CCC)CC
origin: N1(Cc2ccccc2)CCCC1, cl: C(C)CC[n+]1ccn(c1C)C, target: N(C)(C)c1ccncc1
origin: c1c[n+](Cc2ccccc2)cn1C, cl: C(C)CC[n+]1ccn(C)c1C, target: c1cccc(C[n+]2ccn(C)c2)c1
origin: CCN(CC)CC, cl: c1[n+](CC)ccn1C, target: CC[N+](CC)(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: CCN(CC)CC, target: CCN(CC)CCO
origin: c1(C)[n+](CCCC)ccn1C, cl: C1C2CC3CC1CC(C2)([N+](C)(C)C)C3, target: CN(C1CCCCC1)C1CCCCC1
origin: N(CCC)(CCC)CCC, cl: N(C1CCCCC1)(C1CCCCC1)C, target: c1(C)[n+](C)cc(C)n1C
origin: C1CCN(Cc2ccccc2)C1, cl: C(N(CC)CC)CO, target: CCCN(CCC)CCC
origin: c1cccc(CN2CCCC2CO)c1, cl: C(C)CC[N+](CCC)(CCC)CCC, target: CCN(CC)CC
origin: c1ccccc1CN1CCCC1, cl: C1CCN(C1)Cc1ccccc1, target: C1CN(Cc2ccccc2)[C@H](CO)C1
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: [C@@12CC3CC(CC(C3)C2)C1, target: CCCN(CCC)CCC
origin: C1CCCCC1N(C1CCCCC1)C, cl: CCN(CC)CC, target: c1ccc([C@@H](O)[C@H](C)N(C)C)cc1
origin: C1CCCCC1N(C)C1CCCCC1, cl: C([N+](CC)(CC)CC)C, target: C(N(CC)CC)C
origin: C1CCCCC1N(C)C1CCCCC1, cl: [C@H+](Cc1ccccc1)(C)Cc1ccccc1, target: N(C)(C)C(=N)N(C)C
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: C1CCCCNC1, cl: C([N+](CC)(CC)CC)C, target: C(N(CC)CC)C
origin: c1cc(CN2CCCC2)ccc1, cl: C1C[N+]2(C)C(CC1)C1CN3C(CCCC3)C(C1)C2, target: C(CC)N(CCC)CCC
origin: C1CCN(Cc2ccccc2)C1, cl: O1CCN2CCOCCOCCN(CCOCC1)CCOCCOCC2, target: CCN(CC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(CC)CCC[n+]1ccc(C)c(c1)C, target: N(CC)(CC)CC
origin: C1N2CCN(CC2)C1, cl: CCN(CC)CC, target: N12CCN(CC1)CC2
origin: c1cccc(C(C(C)NC)O)c1, cl: N12C(CCCC2)C2CC(C1)C1CCCC[N+]1(C)C2, target: C([N+](CC)(CC)CC)C
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: C1N2CCOCCOCCN(CCOCCOCC2)CCOCCOCCOCCOCCOC1, target: C1CCN(Cc2cccc(F)c2)C1
origin: N(CC)(CC)CC, cl: C(C)(N(CC)C(C)C)C, target: CCN(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C1CCCC2C3CN4C(CCCC4)C(C3)C[N+]12C, target: C(N(CCC)CCC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: [n+]1(ccn(c1)C)CCCC, target: CCN(CC)CC
origin: N(C)(C)C, cl: C1CCN(C1)Cc1ccccc1, target: C(N(CC)CC)C
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C(N(CC)CC)C
origin: C1CCN(Cc2ccccc2)C1CO, cl: C(C[N+](CCC)(CCC)CCC)C, target: c1c(CN2CCCC2)cc(F)cc1
origin: c1ccc(CC2N(Cc3ccccc3)CNCC2)cc1, cl: c1cc(ccc1)CN1CCCC1CO, target: C1N(Cc2ccccc2)C(Cc2ccccc2)CNC1
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: [C@H2CCCCC1C1CN3C(C(C1)C2)CCCC3, target: C(C[N+](CCC)(CCC)CCC)C
origin: C1CCN(Cc2ccccc2F)C1, cl: C(N(CC)CC)C, target: c1cc(C[N+](Cc2ccccc2)(C)C)ccc1
origin: C1C(N(C)C2CCCCC2)CCCC1, cl: O[C@(Cc1ccccc1)C(C)N(C)C, target: C(N(CC)CC)C
origin: C1CCCCC1N(C)C1CCCCC1, cl: CC(C(O)c1ccccc1)NC, target: C(N(CC)CC)C
origin: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3, cl: CCN(CC)CC, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: c1(C)[n+](C)c(C)n(C)c1C, cl: C(N(CCO)CCO)CO, target: c1(C)[n+](CCCCCC)ccn1C
origin: c1(CN2CCCC2)ccccc1, cl: c1cn(c([n+]1CC)C)C, target: CCN(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1CC(CCC1)N, target: CC(C)N(CC)C(C)C
origin: C1N2C(CCCC2)C2C[N+]3(C)C(C1C2)CCCC3, cl: CCC[N+](CCC)(CCC)CCC, target: [N+]12(C)CCCC[C@@H]1[C@@H]1CN3CCCC[C@H]3[C@@H](C1)C2
origin: c1cccc(C[N+]2(C)C(CO)CCC2)c1, cl: [N+](CC)(CC)(CC)CC, target: Fc1cc(CN2CCCC2)ccc1
origin: C1CCC2C3CC(CN2C1)C1CCCC[N+]1(C)C3, cl: CN(C1CCCCC1)C1CCCCC1, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
