origin: C1N(CN(CCC(CCCCCCCCCC, cl: C1C1C(C)NCNNCCcNC, target: C1NCCN(CCN)C1
origin: C1CCCCCCN)CcCccCCCCCCCCCCCCCCCc(11C11CC11C1CC11111111111CC1111C111C11C111111111111111111111111111111111111111C111C11111C1111111c1111111111, cl: C1O)CC))C)CCCCCCC, target: C(N(CC)CC)C
origin: C1(CCCNNNCCCCCCC(CCcCCCCCCCCccCcCCCcccCcCcC1C1C11cC1C111C11111C, cl: CNN1CCOCNNCcCccNCCcCCCCC(C(cC, target: CN(C)C
origin: C1C)CN+]N(CCCC2ccccc2)CCCC, cl: C1O)CNCCc))CcCNCNc, target: C(O)[C@H]1N(Cc2ccccc2)CCC1
origin: C1[CCNC(((CC[CC22CN(C2)C, cl: [(C1NCCCC)C(CcCcCCC, target: C1OCCOCCN2CCOCCOCCN(C1)CCOCCOCC2
origin: C1nCCN+]1(CCCC2C2CCCC1(, cl: C1NN+]1C))(CCCC)CccCCccc, target: C(C)[N+]1(CC)C(C)CCCC1C
origin: N(11C1CCOccNcccCcCC, cl: C1CC(CC2cccc(2)C(C, target: C(C)N(CC)CC
origin: CN1(N+](C)C)(C)C[CCC, cl: C1(C)CCCC[C12)CCCCCC[1, target: CCC[N+](CCC)(CCC)CCC
origin: CN+]1(CC)(CCCCCC(CC(C1(C2)C1)C2, cl: C1[C(CC2cccc(2))CC1, target: [N+]1(CC)(C)C2CC3CC(CC(C3)C1)C2
origin: C(1(CcCC[c[CCCCCCCCC, cl: C1C1C(C[NCcNNccccCCC(, target: CCN(CC)CC
origin: C11(COCCcCCCCCCCC(CCC((CC(C1CC1CC, cl: CN1(CcCCNNNcCCcCCCCCCc(CCcC1C1C, target: CCNCC
origin: C(C)CN+]N(CN+]]CCC1ccccc1)C)C, cl: CNN1CNN+](Cc(C(Cc1)CcC, target: N(C)[C@H]([C@@H](c1ccccc1)O)C
origin: C(c1CCCcNCcccccccCCC, cl: C1ccC[2C(CC2)cc(c1, target: C(C)N(CC)CC
origin: C1cc<unk>2CCCC2)c[c)cccc1, cl: C1NCCCCC))CcCcccCC, target: c1(CN2CCCC2)c(F)cccc1
origin: C11N(CCC)C1NNNCCN, cl: C1CCCC)2ccccc2)C([([C, target: CCCN(CCC)CCC
origin: C1cc((cCN2CN+]C(CC)CC)2)c1, cl: C1CC22c(C)cccc2)CCC(1, target: c1cccc(CN2[C@H](CO)CCC2)c1
origin: C1(CCCcCCcCCCCCCCcCCCCCCCCCCCCcCC(cCCcC1cC1cCC1111C111111111111111111111111111(111111111111111111111111C11C111(111111111C11111C111C1111111111111111C1111111(111111111111111111111111111111111111111111111111111111111111111, cl: C1[c(Cn++(n(C)CN+]Ccc)c1)c111, target: CN(C)C
origin: C1CCCN+](CC(C)C)CC3CC(C1)CC(C3)C2, cl: C11[(CCN)CCCNNNNNCCC(CCCCC(CCC, target: C12([N+](C)(C)C)CC3CC(C1)CC(C3)C2
origin: C1N+]1(CCCC(((CCC((C(C2)C3, cl: C1cc[c2c)cc[n+]1CC, target: C[N+]1(C)CC2CC3CC1CC(C2)C3
origin: C1N+](C2CN+]CCCCC1CC1ccccc1, cl: C(C1CCcCCCCC)CCCC, target: O[C@@H]([C@H](C)NC)c1ccccc1
origin: C[(((CCCCCC)C[CC2)CC[1, cl: CnC1CCC)C)C)Cc[NNcc, target: C1CC(N(C)C2CCCCC2)CCC1
origin: cN1(CCCCcC[ccccCCcCCcCCCCcc11CCCC1CCC111C1C111, cl: c1cc(Cn2C(CCN+](())1ccc1, target: CCN(CC)CC
origin: C1NCCCCC)OC[CcCCC, cl: C(cCCCNCC)ccCNcCCCCCCCCCCCCCCCCCC, target: C(N(CC)CC)C
origin: C1c1CCCCOCcc[ccCCC, cl: CN(C1Cccc(1)C(CCCCCC, target: C(C)N(CC)CC
origin: C1C1CN+]C(CN+]CC(C2ccccc1)C)C, cl: C1CC(CcCN+]CC2C)CN+]], target: N(C)[C@H]([C@@H](c1ccccc1)O)C
origin: C1(CCC(CC1CN+]1CC(CCC1(CC1)3)C2, cl: C1N1CCCC)CcNcNCccC, target: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2
origin: C11NN+]1C)))(C11)C1C1C, cl: C1CC(CCCCCCCC22)C)CC[1, target: CCC[N+](CCC)(CCC)CCC
origin: C1O1CCCC1OCN(NCCCC, cl: C(C1N(CcOCcNCccccCC, target: C(N(CC)CC)C
origin: C11CCN)(([CCNCCCC(CCC(cCC(, cl: C1[(c[2C(CC[)c[(c1, target: CN(CCO)CCO
origin: N1NC1cc[n+](C)c1C)cC)C, cl: C11N+]C(CCCC2ccccc2)CCCC, target: C(Cn1cc[n+](C)c1C)(O)CO
origin: C1(CccN+]N(CN+]C(C)C1ccccc1, cl: CNC1CC)C)C)CNc[NNNccnCCCC, target: CN(C)[C@H]([C@H](O)c1ccccc1)C
origin: C1N)OCCC)CcCCcCCcCCCCC(CCCCCC, cl: C1(C)C1CCCCCcCC1CCccCCCCCCCCC, target: C(C)N(CC)CC
origin: C1OCCNNn(((C, cl: C1C1(CCC)CCC(CCC)C, target: C(C)CCCNCCCCC
origin: C11(CCNCcN[ccccCCCCCCCCCCCccC111CC, cl: C1(C)CCCNcCCCCCCCCCCCC(CCC(((C(CcCC1, target: CCN(CC)CC
origin: C11(CcCccN[NcCcCCCCC((CcCcc, cl: C1CC(C(((CC2, target: CCN(CC)CC
origin: C1C(NC(1(CCCCC2C221C11)11CC2)C11, cl: C11(CCNCcNNcNNcCCCCCCCCC((CC1C, target: O1CCOCCN2CCOCCOCCN(CCOCCOCC2)CC1
origin: [1ccccccccC[N+](Cc1ccccc2))(C)C)c1, cl: C((C((CN1C)CCCCC2)C)CC, target: c1ccc(F)c(C[N+](Cc2ccccc2F)(C)C)c1
origin: C11(CcNCcNNCccCCCCCC(CC, cl: C(C)CCCCOCcNccccCC, target: CCN(CC)CC
origin: C1N1CCCC))CNCccCCCCCCCCC(CCCCC1C11C11CC1111111C111111111111C111C111C1111C11111C111C11C11C1111111111111111111111111C1C1111C1111111111C11111111111111c1C1111C111111111111111111111111111111111111111111111111111111111C111111, cl: [1(c(((C[N+](Cc(CC1ccccc2)C)c1, target: C(N(CC)CC)C
origin: C(CCC2cccc(2)C(C(N+]N((, cl: c1O1ccC)cccc1)((CC(C(, target: N1(Cc2ccccc2)CCC[C@H]1CO
origin: C11CCCCNC)COCNCCCCc, cl: C1c(((C[N+](Cc2ccccc2)(C)C)ccc, target: CC(N(CC)C(C)C)C
origin: C1cC)ccc)cn+](cCCcc1, cl: C(OCCC)C())cCCcccc, target: n1(C)c(C)[n+](CC)cc1
origin: C11N+]1C)C(CcCC1CC, cl: C1CCN(Cc)CccCcccc, target: CC[N+](CC)(CC)CC
origin: C1((CcOCcNCNN[(C(CCCCCCCCC1(C, cl: C111NN(C(N, target: CCN(CC)CC
origin: CCC(OCCN(CCOCCOCCN(C22C12CC2)C11, cl: C11(CcNCcNCNCCCCCCC(CCCCCCCCCCCCCCCCC1CCC1111C1C1C11C11111C11C11111111111111C1C11111111111111111C11C1111111111111111111C1C11111111111111CC111111c111111111111111C111C1111111111111111111111111111C111C111111111111C111111C1, target: O1CCOCCN2CCOCCOCCN(CCOCCOCC2)CC1
origin: [1ccccC[2CN+]C(CC)CCCc)cc1, cl: C1ccCn2CCCCN+]n(C))cccc)cc1, target: c1ccc(CN2[C@H](CO)CCC2)cc1
origin: C11(CcCCcNNNccCCCCCCCcCC((CccCCcc, cl: CNCCCC)CNOCNCccCc, target: CCN(CC)CC
origin: C1N1CN(Cc))CcCccCcN, cl: C111N+]1CC1((C11NC1C2Cccc(CC, target: C(C)CN(CCC)CCC
origin: C1ccC[2C)C)cc[c1, cl: C1cN+]1C))(CC)C)CC, target: c1c(CN(C)C)cccc1
origin: C1CC)1c(C)[n+](CCcc1)CC, cl: C[CN+](CCCN+CCC(CC(C((CCN+]3(CN++N(CCN+]1(C)CCCC)C, target: OC(Cn1c(C)[n+](C)cc1)CO
origin: C(CCCN[11NCCCCCCCCC, cl: C1NCCCCCC)CC)cnCcNn, target: N1CCCCCC1
origin: C1C12(C))CcNCNCNcC, cl: C1O(NN2(C, target: N(CC)(CC)CC
origin: c1N)CCCC)CcNCcC, cl: CN11CcNCcNCNCc(cCCNCC(CCCCCCcc, target: C(C)N(CC)CC
origin: C1OCCCCCNCcNccCC, cl: C1[[cC[2CCCCN+]c2C))ccc1, target: C(C)N(CC)CC
origin: C1ccCn+]+CcCCCn+]CcC)CcCc1cc1, cl: Cn1nn+](c)cc(nnn1Cc, target: c1c([C@@H](O)[C@H](C)NC)cccc1
origin: C111CcCCcNNNcCCCCCC(CCC((CCCCC, cl: C1(CCCN+]C(CN++C(C((C(N+]3(C1CCN+]CC2CN+cCC21311)C, target: CCN(CC)CC
origin: C1CN+](CC(CC))C)C)(, cl: CN+]1C)))(C1C)(C1C)C, target: C([N+](C)(CCO)CCO)CO
origin: C1[C2N+]((CCCN++C(CC)CN++]C(Cc2CCCCCN+]N(CP+](C(C1)C2, cl: C11(CcNC[NCNcCCCCC(C((CCCCcc, target: C1CC[N+]2(C)[C@H](C1)[C@@H]1CN3CCCC[C@H]3[C@@H](C1)C2
origin: C1C1N+](C)1C(C)CCCcccCcc, cl: C[N))((CcO)CCCCCCc(CC, target: OCC[N+](CCO)(CCO)C
origin: C1(N+]1CC1(CCCC1CCcccc, cl: C1cC)cc(((1Cn1C(CC1, target: CC[N+](CC)(CC)CC
origin: C1CCC(CC(CN+](CC(CCCC(CC1C2)C3)C2, cl: C1CCCCN+](CC(C)C)CC1CC((C(C3)C2, target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: CN+]1C)1cccC)ccc1)(CC1c(cccC)c1)OC)C, cl: C11ccc((1F[N+](CC(CC1ccF)cccc1)C, target: [N+](Cc1cc(F)ccc1)(Cc1cccc(F)c1)(C)C
origin: CNC1CNNN+]1cc(CCcc1, cl: C1NCCCOCcNCNCOccC(C, target: C(C)CC[n+]1cn(C)cc1
origin: C1CCC(CCNCcNCcCCCcCC, cl: C1N+]((CN+CC(CC(C2)CN+]]3(c((C(CCCN+]N(CN+c((C1)cC, target: C(C)N(CC)CC
origin: C1[CCNCC(CN+]1CC(CCCC)CC2C2)C3, cl: C1(C)))(CCCC(CCCCCCC(CC, target: C12CC3CC([N+](C)(C)C1)CC(C2)C3
origin: C1ccCON+]]((C)CCCcN++O2c))ccc11, cl: C1cCcc(C[N+]2CC(CCCC1ccccc2)c1, target: c1c(C[N@+]2(C)CCC[C@H]2CO)cccc1
origin: C1CN+](C(CN+CC(C((([N+]3(C1CCN+]C(CN+](C(C((C(123, cl: C11(CcCCcCCcccccC(CCccC((c, target: C1[C@@H]2[C@H]3CCCC[N+]3(C)C[C@H]1[C@@H]1CCCCN1C2
origin: C11(CcCCcCCccNccCCC(CCCCCcC(CC, cl: C1c(C2cccCcn+](ccC))c1, target: CCN(CC)CC
origin: C(C)N(CCNCNNccCc, cl: C11C(CcN)C(CNCNNNcC(, target: N(CC)(CC)CC
origin: C1cccc(cNNn+N1c)CN++]N+c1)c, cl: CN+]+((CCC)CCCC(, target: c1cccc([C@@H](O)[C@@H](NC)C)c1
origin: C(C1C(Cc)C[nCN-cNc, cl: C1CCC22C(CC(C2CCCC[N+]3(CCCC1C1, target: N(CC)(CC)CC
origin: C[11CcCCcNccccccCCCCCc, cl: C1CN+](C(CN+]C(C((C(N+]3(CCCCN+]C1CN+](C(C((C(132, target: CCN(CC)CC
origin: C1OCNNNN1C)C1)CCC22)C1, cl: C1NCCC)CC)CNCCcCCCC, target: C1CCCC(N(C)C2CCCCC2)C1
origin: C1cc(((1C[(CC(C1, cl: C1ccn+](CC2cnn)n1CC, target: c1ccccc1CN1CCCC1
origin: [1N+]1C)CCC)CC(C1(C2)C3)C2)(C)C, cl: C1c(Ccccn+](c1(C)c1, target: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C
origin: C1N1N+](C)1)(C11)C1C2c[Ccccc, cl: c(N+]1ccC)n(ccccc)c1, target: C(C[N+](CCC)(CCC)CCC)C
origin: CN1(CcNC[NNNccCCCCCCCCCCCCCCCCC, cl: C1(CN+]((CCCCN+]C(CN++CC(C((CC3CcN+](((CN3+C2331)C, target: CCN(CC)CC
origin: C1CCCC((CC2)C1CCCCC, cl: C11CNN+]1(CCCCC2(, target: C1N2CCN(CC2)C1
origin: C1O)NNCCCC)CcC, cl: C(O1)C[N+]1cc(C)cc1, target: C(CC)N(CCC)CCC
origin: C11N(CcO)C(CNNNccc, cl: C1CCC((CCN+](CC(CCCCCC1C1)CC1C3, target: CCCN(CCC)CCC
origin: C(((CcCCcNCNCCC(CCCC(C((((1CC, cl: C1ccc((1CN(C((C1(, target: CCN(CC)CC
origin: C11(CcNCcNNcccCCCcCCNC(((Cc1ccC(, cl: cN1(CcNCcCCcccCCCCCC, target: CCN(CC)CC
origin: C11(CcCCcNCNNcNCCCCCCCCCCCCCCC11CCCCC, cl: C1[C[N+]2cc(C)cc2)cccc(1, target: CCN(CC)CC
origin: C(C1O(Cc1Ccccccc, cl: C11ccC)cn+](ccccc)c1, target: N(CC)(CC)CC
origin: C1[ccN2C(CCN+]+(C))ccc)cc11, cl: C1N1ccc(c1)C(CCCCCNcCcCCC, target: c1c(CN2CCC[C@H]2CO)c(F)ccc1
origin: C(1CCCCCNNCCCCCCNCCCCCCCCCC(Cc, cl: C1ON+]1CcC(CC)C)CC, target: CN(C)C
origin: c1cccc(cN+]C22c)CN++n+c)c1Cc1, cl: CN+]]n1CCN+CCC(CN+](CC(CCN+]CC2CN++33)1C2C11)C2)C2, target: c1cccc([C@@H](O)[C@H](C)NC)c1
origin: N1NCCCCcOCcNNNCccCC, cl: C1c(CN++]CcC)CN++cCccC)C)c1111, target: C(C)N(CC)CC
origin: CnO1CNN+]1Cc1)(C)C)C1c, cl: CNC)[NCCC))CcC, target: C(C)C[N+](CCC)(CCC)CCC
origin: C1O1)CC))N)CcCC)NNNNcc, cl: CNCCCC)C)NNNCcCCC, target: C(CCN(CCCC)CCCC)C
origin: C(([[CCN+CC(CN+]32C1N++CC2C3)CN++C311N+]1C1(C1)CCCC1, cl: C1NCN2NNCCC)CCC12)C)C1, target: C1CCN2[C@H]([C@H]3C[C@@H](C2)[C@@H]2[N+](C)(C3)CCCC2)C1
origin: C11(CcNC[NNcNcccCCCCCCCCC(CcCCC1CC1C1CCC111, cl: CN+]1C)1)(C)1)(CcC)C1C, target: CCN(CC)CC
origin: C11N+](C)C(Cc1C1CCcCNC, cl: C([C[CCCCC1[NcCCCC, target: CC[N+](CC)(CC)CC
origin: C(1cc[n+](cc1C)c1, cl: C1C[22N+]N1CN+]C(C(N+]C(CN+]C3C(1C3N+]1(C1C1)C11, target: Cn1cc[n+](CCCC)c1
origin: C1[CCC(CC(C21CCN+]1C)(C)C)C3)C2, cl: [N+]1(C)1ccn(c(c1C, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
origin: C1cccc(CN+]122C)CN++N+c)c, cl: C1N)C(CCOCcNNNNCC, target: c1cccc([C@@H](O)[C@H](C)NC)c1
origin: C1CCC(CCNCcNccCcCCCCCcC, cl: C1CCc2cccc(2))(CCC1, target: N(CC)(CC)CC
origin: C1(C[[CCC1c((c(F)C1, cl: C1ON+]1ccn(c)ccc)c1)C, target: C1CCCN1Cc1cccc(F)c1
origin: CN+]1C))(CC1(Cc)CcCCcc, cl: C111(C(NCNCCcCCc, target: [N+](CC)(CC)(CC)CC
origin: C11N+](C)1(C11C1CCcCcCC, cl: CN+]n(CCN+CC(C(N+]((CNCcC1CC2C(N+]3(C)C1)CC2C(CC2, target: CC[N+](CC)(CC)CC
origin: C(CCC(CcNCccccccccCCCCCCCCCCCC, cl: cN+]1CC2)(CCC)(Cc[)C1C, target: C(C)N(CC)CC
origin: C1c((C[2C(CC2)c((1FCC, cl: C1c(CcCCcCCccCccCCCCCCCCCccC1Ccc1111111, target: c1cc(CN2CCCC2)ccc1
origin: C1ccCN+]]CCCCCn++cCcCC)C)ccc11, cl: C1O))N(CcC)CcCNCCN, target: c1c([C@@H](O)[C@@H](NC)C)cccc1
origin: C1OCCC)C))CNCNcCC, cl: C1O1ccccc1)N(CN+]C(CC)CCC1, target: C(N(CC)CC)C
origin: cNCCCCOCcNccCccc((C, cl: C1[C[2N+](C2C(CCN+]C(CN+nCC(CN+](C)(CCCC1)C2N+]CC2, target: C(N(CC)CC)C
origin: C1cc)2C(CC2)Cc[((c)c1, cl: C111CcCCnNccccCCCCCCCCCCC(CcC1CcCCCC1CCC1, target: c1(CN2CCCC2)cccc(F)c1
origin: C1NCNN(C1)[1C[NNN[, cl: C1cCccc[N+](C((c1, target: C(CCCNCCCCC)C
origin: C1[CC((CCN+](C1(CC1C1CC(C2)C2, cl: C1C1N(Cc)CccNccncC, target: C1C2CC3C[N+](C)(CC)C1CC(C3)C2
origin: C111CcNCcNCNCNCCCCCC(CCC(C, cl: C1(CCN)(C[CCCCCC((CC(((, target: CCN(CC)CC
origin: C1O11C)C)C[N)c[Ncccc, cl: C(C))(C)NCccccccN, target: C(CN(CCC)CCC)C
origin: C1ONN+](C)CC(CcC)C)C)c, cl: C1CCC2N+]+C2CN+]CC(C(1C(CCCN++3(CN++C(C1N+]2(C)C, target: C(C[N+](CCC)(CCC)CCC)C
origin: C(CCCCNCNNCNNCNCCcCC, cl: C1N)CN(CCC)C1cNCNNN, target: C(N(CC)CC)C
origin: C11(CcNCcNCccccCC(CCCCCCCC, cl: c11(CcCCcNN[NcCCCCCC((CC(CCCC11CCCC11111, target: CCN(CC)CC
origin: C1cc(CN2CNn]])(C)CN++]F1c2ccccc2)C)C)ccc1, cl: CN++(((Cn+]CCCC2ccccc1)C)CC)C, target: c1cc(CN([C@@H](C)[C@@H](c2ccccc2)O)C)ccc1
origin: C1cc(((cN(CCCCN+]22C))c1, cl: [1(C[N+]((CCCCN+]CC(CCN+]C(CN+]C311)C2, target: c1cccc(CN2CCC[C@H]2CO)c1
origin: C1c1NNCCC1)CcNNNNNN, cl: c1[cn2C)CCc[[cc1FC(CC, target: C(CC)N(CCC)CCC
origin: C1C1C(CcOCcNNccN, cl: C1(1(CcN)CCCNNNcNC(, target: N(CC)(CC)CC
origin: c1CC)CCCC[C22)C)CC[C11, cl: C1cc(c[N+](Cc(CCCC2ccccc2)ccc1, target: C1(N(C2CCCCC2)C)CCCCC1
origin: C1NCNN+]1cc(C)cc1)CCCCCCC, cl: N1N1O(Cc)Cc[cNcccCC(, target: C(CC[n+]1cn(C)cc1)C
origin: C111(CcNNCcNNNNNCN(, cl: C1[CNCCCCC1(cCCCC, target: CCCN(CCC)CCC
origin: C1c((((1[(CCCcCCCcC, cl: C1cccN2CN+CC(CC)CC(1)cccc1, target: c1cnccc1N(C)C
origin: C1CCCNCcNCcNccccC, cl: C1C1(CCC(CCC)C)))CcCCC, target: N(CC)(CC)CC
origin: C1ON+]1Cc)(CcCC)CccCcccC, cl: [111CcNCcCCNCccC(CCCC(CCCCCC, target: C([N+](CC)(CC)CC)C
origin: C1[CC((CCN+](CC(CCC1CC1C1)CC1C3, cl: C1ONC1C(C(CCCCCCCc, target: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3
origin: C1cCn2CN+CC(CC)CC12)ccccc1, cl: C1C1CCCCCC(CCNCccCCCCCCC(CCCCCC, target: c1(CN2[C@H](CO)CCC2)ccccc1
origin: c11cnNCCCCCC)CCCCcCO, cl: C1[N+](C(CN+CC(C((C(N+]3(C1C(N+]N(CN+]NC(C(2CC122, target: CC(C)N(C(C)C)CC
origin: c11[(CcC)CccNN[cccc, cl: cc1(Cc)CcCNNcccCCCCcCCCCCC1c(cC11C1CC111C111, target: CCCN(CCC)CCC
origin: C11(CcNCcNNcccCCCCCCCCCC(CCc(CCcCC1, cl: CN(NnN(CCC)C)CC, target: CCN(CC)CC
origin: C1cCCC)CC)c1cccccc, cl: C11(CcNCcNCNcnc(C(C(N(C(CC((CCcC, target: C(N(CC)CC)C
origin: C1CC22C2CCCCNCC2)C)CC1, cl: C(1(CC)C[NNNCNCCCCCCCCCC(cCCcC1, target: C1CCC(N(C2CCCCC2)C)CC1
origin: C1N+NnnCCCCC)CN+]C+C)C1ccccc1, cl: C1CCCC(CCN+](CC(C)C)CC1CC(C2)C3, target: C[C@H](N(C)C)[C@H](O)c1ccccc1
origin: [1[N[[(Cc1cccc(2, cl: C1C)N[N+]1CCC)(C1C)C(C, target: C1CCCN1Cc1ccccc1F
origin: C11(CcNCcccccccCCCCCCCCCCCCcCCCCCCCCcC1C1(C111CC11111C11C111111C1111111111111111C1111111111111C1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111, cl: C1NCCCCCOCcNCcccccc(CC, target: CCN(CC)CC
origin: C1ON+]1CCO)(Cc1)C)C)c, cl: O1N+]N(C1cccc(1)CN++N(C)C, target: C([N+](CCC)(CCC)CCC)CC
origin: C11(CccCc(CNcccCC(, cl: C1cc[(C(CCC)cc1, target: CCN(CC)CC
origin: C1N1CCCCCCcNNNCCcC, cl: C11N+]1CC1(C11c1CCccC, target: C(C)N(CC)CC
origin: C1CCC(CcNCcC[NcNC, cl: C1C1))(C)NNCcNNNCNN, target: N(CC)(CC)CC
origin: C11N+](C)1(Cc1CcC(ccccCCCC, cl: C11CCc1CCCCC)CCCCccc, target: CC[N+](CC)(CC)CC
origin: C(N1CN(Cc))CcCNCcc, cl: C1CCNC(C1NCCC(CCC, target: C(C)CN(CCC)CCC
origin: C1(C((CC1, cl: C12CCcNCcNCNccc(C(CCCCCCCCCCcCC1C1C1Cc111, target: C1CCCNCC1
origin: C1CCCCCCC)CCC[cCC[, cl: C1ccCNccC[2CCCCN+]22)))cc11, target: C(C)N(C(C)C)C(C)C
origin: C11[(CcO)CCCNNNCN, cl: C((CCCCCC[C22)C)CCC[11, target: CCCN(CCC)CCC
origin: C[CN+](CCCN+CCC(C((C[1C1N++2(CN+]N(C(CCCN+]1(C)C2, cl: CNO1CCO)C11)N[NNcc, target: C1[C@@H]2[C@@H]3CCCCN3C[C@H]1[C@H]1CCCC[N+]1(C)C2
origin: C1CCCCCCC(C2)CC1(CN+](CC(C)C)C3, cl: C1NNCCC)OC)[NCNCNcCC, target: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
origin: C1CC1N(N)NNCcNNNNC[N, cl: CN1CCC[[NnCCCCCCCCC(CCCCC(C(CCcCCccC1CCCCCCCC1111CC111CC1CC11C111111C1C111C11C1C11C1111c1111C1C1111111Cc1c1C1111111C11111111C111111111C(11111111111111C(1C11111111111C11111111111111111111111111111111111111111111111111111, target: N(CCC)(CCC)CCC
origin: C1N)CN+](CC)(Cc)C1CC, cl: C((C)CC1c([c(1, target: C(C)[N+](CC)(CC)CC
origin: C(CCCN(C))NC1NNCCNN, cl: C1NCC((C1, target: N(CCC)(CCC)CCC
origin: C[N)CN+]]ncC((C(C(1cccc(1, cl: C1c(cccc[n+]1CC(C, target: C(O)[C@@H]1CCCN1Cc1ccccc1
origin: CN+]1(CC2(CCCC2C(CCC1CC(C2)C2, cl: C1(C[CCCCCCCCCCOCCNC, target: [N+]1(CC)(C)CC2CC3CC1CC(C3)C2
origin: C122221CN+]CC(CN++((C(N+]N(CN+cCN2Cn+](CC(C1)CCCC2)C, cl: C1((CcNCcNNNcNCCCCCC(CC((C((cCCCCC1, target: C1CCCN2[C@@H]1[C@H]1C[C@H]([C@@H]3[N+](C)(C1)CCCC3)C2
origin: C111(CcONCcCNNNccN, cl: C1cccO2CCCC2)cccc)cc1, target: CCCN(CCC)CCC
origin: C1OCC(CcNCnCN(CCcC, cl: C(CCN(CCNCnNccccCC, target: C(C)N(CC)CC
origin: C(O)NN+]1cn(C)cc1)CnCC, cl: C1C2C((CC(CC(CN+](CC(C3C3(C3)C3, target: C(CC[n+]1cn(C)cc1)C
origin: C1NN)(N+](CcC)(C)C)C, cl: C1[((c[(C)CCccc1, target: C(CO)[N+](CCO)(CCO)C
origin: CN+]1C))(Cc)(Cc)C, cl: C111(CcNNCcNNNNNNcc(, target: [N+](CC)(CC)(CC)CC
origin: C1C)CCcC1ccccc1, cl: C1CC[[[1N(CCCCCCCC(1, target: N(C)(C)c1ccncc1
origin: C1cccc(CN2C((C2)c1FONC, cl: C1NC)CCCNCcNNC[NCccccC, target: c1cccc(CN2CCCC2)c1
origin: C1cCnc(c)ccC)[n+](cCc1, cl: c(CC[2(1N(CCCC, target: c1(C)n(C)c(C)[n+](C)c1C
origin: C1OCCC)C))O[CccCc(C(C, cl: C1CCC((1N(CCCCCC, target: C(N(CC)CC)C
origin: CCc1CCCcCcccCcccccCCCC(((CC, cl: C1(CC(CC(CC)CC(C2)C[N+]2(C))C, target: C(C)N(CC)CC
origin: C11N+CN[CN+]C(C)C1ccccc1)C, cl: C(CCCCC)C)CCcOCcCCCNN, target: CN[C@H]([C@H](O)c1ccccc1)C
origin: C1[CCCCCCO112)C[CC[[11, cl: C1CCN[CCC)C[CCcCCCCCCC(CCCC, target: C1(N(C2CCCCC2)C)CCCCC1
origin: C(cCCC)C))C[CNcC, cl: C1C1(CCNCcCCcccCCC, target: C(N(CC)CC)C
origin: c111(CcN)CcNNCNNcc, cl: C1CCC(((CN+](CC(C)C1CC1CC(C2)C3, target: CCCN(CCC)CCC
origin: C1c)C(CcOCcNCNCccC, cl: C11[N+](CC1C(Cc1)C1C1CCcc, target: C(C)N(CC)CC
origin: C11(CcNCcccccccc(c(cc(c((ccccc1ccccc1c, cl: C1[N+]1CC)(Cc1c2ccccC, target: CCN(CC)CC
origin: C1(C)CCCNcCCcCCCCCCNCCCCCCCCCCCCCCCCCCCCCC1C1C11111111C1111111111111111CC1C11C11C1C111C11C111211, cl: C1c((c(C()CCCCN+]22C))c1, target: CN(C)C
origin: C1CC2(CNNCcNNNcccC, cl: C(CCCCCCCCC1112)CCCC11, target: N(CC)(CC)CC
origin: C1NCC1CCNCcNccCOCCCC, cl: C1(CCCCNNCCCCCCCCcCCCCCCCCCcC(CccCcCCCC1CCC1C1C1111CC11C111C111c11C, target: C(C)N(CC)CC
origin: C1NCCC)CnNCNCCCCC, cl: C1N(CcCCcNCNCCcCCCCC(C(C(CC1cCC1c11C1C1111111111C1111111C111111111C1111111111111111C11111111111111111111111C1111111111C111111C1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111(1, target: C(N(CC)CC)C
origin: C1cccc[2C)C)c[c1, cl: C1CN++(C(C)CN+]]CCC1ccccc1)C, target: c1cc(CN(C)C)ccc1
origin: C11N+]1cnC)n(Cccc1, cl: C[((CC2c(cC)ccc2)CC[1, target: CC[n+]1c(C)n(C)cc1
origin: c11(C)OCcNNNNnCCC(CCC((CC(, cl: C11(Cc)CcNCNCNcCCCCC(CCCC(CCc, target: CCN(CC)CC
origin: C11NCCC)C)CC[N(CCC, cl: C1C(CC(CC((C(C3)C[, target: CC(NC(C)C)C
origin: C111N+]1C)))(C1CCC1C1c, cl: C1N)C1(CC))C, target: CCC[N+](CCC)(CCC)CCC
origin: C[OCCCCC1)c1ccc((F)c1, cl: CNNOCCCC)CcCccCc, target: C(N1CCCC1)c1cccc(F)c1
origin: C1N))((CcC(C)C)C)C)CCC, cl: C1(NN(CCC))CNCC[NNNN(, target: C(CO)N(CCN(CCO)CCO)CCO
origin: C(C1CN(C)ONCcNNCNC, cl: C1N1CCCcNCcCCcC, target: N(CCC)(CCC)CCC
origin: C1C1CCCCC)C)CC[CCCc[, cl: C111N+]1CC))(C1C)C1C, target: C(C)(NC(C)C)C
origin: C1ONCCCC)CC, cl: C1[ccc(CN2CN+]C(CC)CC)2)c1, target: C(C)N(CC)CC
